X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	0	1	2	1	2	1	1	2	0	0	0.14110963726933412
2	2	0	2	1	2	0	0	0	1	0	0	0.14110963726933412
1	0	1	2	0	0	0	1	0	0	0	0	0.18258658089288038
0	0	1	1	2	1	0	0	2	2	1	1	0.25502067918223104
0	1	1	0	1	2	0	2	1	1	0	0	0.26232163839139777
2	2	1	2	0	1	1	2	2	0	0	0	0.2749274810228013
1	1	2	1	2	1	0	2	0	1	0	0	0.2892451084545814
1	0	2	0	1	2	2	1	2	1	0	0	0.3007081256506736
0	1	2	2	0	1	1	1	1	2	1	1	0.3007081256506736
0	0	0	0	2	1	0	0	0	0	1	1	0.3007081256506736
0	1	1	0	2	1	1	2	1	2	0	0	0.3007081256506736
2	0	1	1	1	2	0	1	0	2	0	0	0.3007081256506736
0	1	2	0	0	0	1	0	2	2	1	1	0.3007081256506736
2	2	2	2	1	0	0	0	1	1	1	1	0.3007081256506736
1	2	2	1	2	1	1	2	1	0	1	1	0.3007081256506736
2	1	1	1	2	0	1	0	2	2	0	0	0.3143045878523032
0	2	0	1	0	2	1	0	1	1	0	0	0.3143045878523032
1	1	1	0	1	0	0	1	2	1	1	1	0.3143045878523032
2	2	1	2	1	2	2	0	2	0	1	1	0.3143045878523032
0	2	0	0	0	1	0	1	0	0	1	1	0.32725013949062176
2	2	2	2	0	0	0	2	0	2	0	0	0.32725013949062176
0	0	1	1	2	1	2	1	2	0	0	0	0.32725013949062176
0	0	1	0	2	0	2	0	1	0	0	0	0.33909926483449226
2	1	1	1	0	1	0	2	2	1	1	1	0.33909926483449226
0	0	1	1	1	1	2	0	1	0	0	0	0.33909926483449226
0	0	1	2	1	1	0	2	0	0	1	0	0.3423575019969116
0	2	2	2	1	0	2	0	0	1	1	1	0.3423575019969116
2	1	0	1	0	1	2	0	0	0	0	0	0.3423575019969116
0	1	1	1	2	0	0	1	0	1	1	1	0.3423575019969116
0	0	1	2	1	0	0	1	2	1	0	0	0.3423575019969116
2	1	0	2	1	2	2	1	0	2	0	0	0.3423575019969116
0	1	2	2	0	1	2	0	1	0	0	0	0.3423575019969116
2	0	2	1	1	2	2	2	0	1	0	0	0.3423575019969116
1	0	2	2	0	2	1	0	0	2	1	1	0.3423575019969116
0	0	1	0	0	0	0	2	0	0	0	0	0.3423575019969116
1	0	0	2	2	2	2	2	1	0	0	0	0.36217258189791435
1	0	2	0	0	0	1	2	2	1	1	1	0.36217258189791435
1	2	2	2	1	1	0	0	2	0	1	1	0.36217258189791435
2	2	0	2	0	1	0	0	0	2	0	0	0.36217258189791435
2	0	1	0	2	0	0	2	2	2	1	1	0.36217258189791435
1	2	2	2	2	0	0	1	1	0	1	1	0.36217258189791435
1	1	2	0	1	2	0	1	0	0	1	1	0.36217258189791435
2	1	1	1	2	0	0	0	1	0	1	1	0.36217258189791435
2	2	0	1	0	1	0	0	0	0	1	1	0.36217258189791435
2	2	2	0	0	1	0	0	1	2	0	0	0.36217258189791435
1	1	1	1	0	0	2	0	0	2	0	0	0.36217258189791435
1	2	2	0	1	1	1	0	2	0	1	1	0.36217258189791435
1	0	0	2	2	1	2	2	1	0	1	1	0.36217258189791435
0	0	2	0	2	1	0	1	0	1	1	1	0.36217258189791435
0	0	2	2	0	1	0	2	1	2	0	0	0.36217258189791435
0	1	1	0	1	0	2	0	1	2	0	0	0.36217258189791435
0	1	2	1	2	0	1	0	2	1	0	0	0.36217258189791435
1	1	1	1	2	0	2	1	1	2	0	0	0.36217258189791435
0	2	1	0	2	2	0	0	1	1	1	1	0.36217258189791435
2	2	1	0	0	1	1	0	1	0	0	0	0.36217258189791435
0	2	0	0	1	1	1	0	0	2	0	0	0.36217258189791435
0	0	0	1	0	0	2	2	1	2	0	0	0.36217258189791435
1	0	0	2	2	2	1	1	1	1	0	0	0.36217258189791435
0	1	1	0	0	2	2	2	1	2	1	1	0.36217258189791435
1	2	2	1	0	1	2	0	1	2	0	0	0.36217258189791435
1	1	2	2	0	1	0	1	0	0	0	0	0.36217258189791435
2	1	0	1	2	1	2	2	2	0	0	0	0.36217258189791435
1	2	1	2	1	0	2	1	0	2	1	1	0.36217258189791435
0	2	0	1	1	0	0	1	1	0	1	1	0.36217258189791435
1	0	2	0	0	2	0	2	2	0	0	0	0.36217258189791435
1	2	2	2	1	1	0	0	0	1	1	1	0.36217258189791435
1	1	2	0	2	1	0	1	2	1	0	0	0.36217258189791435
0	0	0	2	0	2	2	2	2	1	0	0	0.36217258189791435
0	2	2	1	2	2	2	1	0	0	0	0	0.36217258189791435
1	2	0	1	0	0	0	2	2	2	0	0	0.36217258189791435
2	1	2	1	0	1	2	0	1	1	0	0	0.36217258189791435
0	0	2	2	1	2	0	1	2	0	0	0	0.36217258189791435
0	1	0	2	2	1	0	0	1	2	1	1	0.36217258189791435
0	2	1	2	1	0	2	2	2	1	0	0	0.36217258189791435
1	2	1	1	2	0	0	2	1	1	0	0	0.36217258189791435
0	1	2	0	1	0	2	0	0	2	1	1	0.36217258189791435
0	1	2	2	0	0	0	1	1	0	0	0	0.36217258189791435
0	0	2	0	2	1	1	1	2	0	1	1	0.36217258189791435
1	2	0	0	2	1	1	1	0	2	0	0	0.36217258189791435
2	2	1	1	2	0	2	0	0	2	1	1	0.36217258189791435
0	0	0	2	1	2	0	1	0	1	0	0	0.36217258189791435
1	2	2	2	1	2	1	1	0	1	0	0	0.36217258189791435
0	2	1	1	1	0	0	0	0	1	0	0	0.36217258189791435
1	2	2	1	1	0	2	1	2	2	0	0	0.36217258189791435
2	0	0	1	1	0	2	1	2	1	1	1	0.36217258189791435
2	0	1	2	1	2	0	0	1	0	1	1	0.36217258189791435
0	2	2	2	0	0	2	1	1	2	0	0	0.36217258189791435
0	1	0	0	0	1	1	1	2	0	0	0	0.36217258189791435
2	2	0	2	0	0	0	0	2	1	1	1	0.36217258189791435
0	1	1	2	1	1	2	2	2	1	1	1	0.36217258189791435
0	2	1	2	0	0	2	2	0	0	0	0	0.36217258189791435
2	1	0	1	0	0	0	1	2	0	0	0	0.36217258189791435
2	1	1	2	1	1	0	1	1	2	0	0	0.36217258189791435
0	2	1	0	2	0	0	0	0	2	1	1	0.36217258189791435
2	1	1	0	0	1	0	0	0	0	1	1	0.36217258189791435
1	1	2	2	1	2	2	1	1	2	0	0	0.36217258189791435
0	0	1	0	2	2	2	1	2	2	0	0	0.36836623005058156
2	2	1	2	1	0	0	2	2	1	0	0	0.36836623005058156
0	2	0	1	2	2	2	2	1	0	0	0	0.36836623005058156
1	0	2	1	0	0	1	1	0	1	1	1	0.36836623005058156
2	0	0	0	1	2	0	0	2	1	0	0	0.36836623005058156
0	1	1	0	2	0	0	2	2	0	1	1	0.36836623005058156
2	2	0	0	1	1	2	2	0	1	1	1	0.36836623005058156
2	1	2	1	1	0	2	1	0	2	1	1	0.36836623005058156
1	1	0	1	1	1	0	0	0	1	0	0	0.36836623005058156
2	0	1	0	2	2	1	0	1	1	1	1	0.36836623005058156
