X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	2	2	2	2	0	1	1	2	0	0	0.3853557789104999
0	2	2	2	1	1	0	1	0	2	1	1	0.3870971924066684
1	1	2	0	1	2	0	1	1	0	1	0	0.3870971924066684
0	0	1	1	0	2	0	0	1	2	1	1	0.3870971924066684
2	0	2	0	0	0	2	2	2	2	0	0	0.44294078613351817
1	1	0	0	2	2	1	2	2	1	1	1	0.44294078613351817
2	1	1	1	1	1	2	1	2	1	1	1	0.44294078613351817
0	2	1	0	0	1	1	0	0	0	0	0	0.44294078613351817
1	2	2	2	1	2	1	1	2	1	1	1	0.4489401173954306
2	2	0	2	0	0	0	1	1	0	0	0	0.45925205863115487
2	0	2	2	1	0	0	1	2	1	1	1	0.4826275769621078
1	1	0	0	0	2	1	2	2	2	0	0	0.4855537416497607
1	1	0	0	0	1	2	2	1	0	1	1	0.4855537416497607
0	2	2	2	2	1	0	0	2	0	1	1	0.4855537416497607
1	0	0	1	1	2	0	0	2	1	1	1	0.4855537416497607
0	0	2	1	1	0	1	2	2	0	0	0	0.4855537416497607
1	1	0	1	0	0	2	0	1	0	0	0	0.49863469022743656
2	2	1	0	1	0	1	0	1	1	0	0	0.49863469022743656
0	2	2	0	0	1	2	0	1	1	0	0	0.49863469022743656
1	2	0	1	0	0	1	0	1	2	0	0	0.49863469022743656
1	1	0	0	2	1	1	1	1	2	1	1	0.49863469022743656
1	1	1	1	0	1	1	1	2	0	0	0	0.5031787418096392
0	1	0	0	1	2	2	0	0	1	1	1	0.5031787418096392
0	1	0	1	1	2	1	1	2	1	1	1	0.504609401290617
1	1	1	1	1	0	1	2	0	0	1	1	0.504609401290617
2	1	0	1	1	0	1	1	0	1	1	1	0.504609401290617
2	2	2	2	0	0	1	2	1	0	0	0	0.504609401290617
0	2	2	2	2	2	2	0	0	1	1	1	0.5084573450180301
1	2	1	2	2	2	0	0	0	1	0	0	0.5084573450180301
0	1	2	1	0	0	0	0	1	2	0	0	0.5084573450180301
1	0	0	2	2	0	1	2	0	1	1	1	0.5084573450180301
2	2	2	0	0	1	0	2	0	0	1	1	0.5084573450180301
1	0	0	1	1	1	1	2	1	0	1	1	0.5136705668463559
1	2	0	1	0	1	0	2	2	0	1	1	0.5136705668463559
0	1	0	1	2	2	2	1	0	1	1	1	0.5136705668463559
0	0	2	0	2	2	1	2	0	0	0	0	0.5136705668463559
2	1	1	2	0	1	1	2	1	2	0	0	0.5136705668463559
2	1	0	0	1	0	2	0	1	0	0	0	0.5136705668463559
0	1	2	0	2	0	1	0	1	0	1	0	0.5136705668463559
2	1	2	0	2	0	1	1	1	0	0	0	0.5136705668463559
2	0	0	1	0	1	2	2	2	0	1	1	0.5136705668463559
1	2	2	2	2	1	2	1	0	2	1	1	0.5136705668463559
0	2	1	2	2	2	0	2	0	1	0	0	0.5136705668463559
2	0	2	2	2	0	2	0	1	0	0	0	0.5136705668463559
0	1	0	0	2	2	0	1	2	0	0	0	0.5136705668463559
1	1	2	0	0	0	2	0	2	2	0	0	0.5188603668624311
0	2	2	0	0	0	2	2	0	1	1	1	0.5188603668624311
0	1	0	0	2	2	2	2	0	2	0	0	0.5188603668624311
0	2	1	1	1	2	0	0	2	1	0	0	0.5188603668624311
2	2	1	1	0	2	2	2	0	2	1	1	0.5188603668624311
2	2	2	0	0	1	2	1	2	0	1	1	0.5188603668624311
2	1	2	1	1	2	0	1	2	2	0	0	0.5188603668624311
1	2	1	0	1	1	0	2	0	2	0	0	0.5188603668624311
1	0	1	0	2	1	0	1	0	0	0	0	0.5188603668624311
0	2	2	2	1	2	2	1	0	0	0	0	0.5202672479343273
2	1	0	0	1	1	1	2	2	0	1	1	0.5202672479343273
0	0	2	2	1	2	2	2	0	0	0	0	0.5202672479343273
0	1	2	2	0	0	0	1	2	0	0	0	0.5202672479343273
0	2	1	1	2	1	2	0	1	2	0	0	0.5202672479343273
1	1	0	0	2	2	2	2	0	0	0	0	0.5202672479343273
2	0	1	2	1	2	0	2	0	1	0	0	0.5202672479343273
0	0	0	2	0	2	2	2	0	0	0	0	0.5202672479343273
1	0	1	2	2	1	1	0	2	2	0	0	0.5217388608213184
0	1	2	2	0	0	1	2	0	0	0	0	0.5243657289227156
0	2	0	0	1	1	0	0	2	2	1	1	0.5243657289227156
1	1	0	0	0	2	1	2	2	2	0	0	0.5446857516005319
2	0	2	0	1	2	0	2	1	1	1	1	0.5446857516005319
1	0	2	1	1	0	2	1	0	1	1	1	0.5446857516005319
2	1	1	0	1	2	1	0	0	0	1	1	0.5446857516005319
0	2	1	1	2	1	1	1	0	1	1	1	0.5446857516005319
0	0	1	1	0	1	1	2	1	0	0	0	0.5476443586834213
1	0	1	1	1	1	1	0	2	1	1	1	0.5476443586834213
0	1	0	1	0	0	2	1	2	2	0	0	0.5476443586834213
1	1	0	2	1	2	1	2	1	1	1	1	0.5476443586834213
2	2	2	1	0	2	1	2	2	0	0	0	0.5476443586834213
1	1	2	2	2	2	1	0	1	0	0	0	0.5476443586834213
2	1	2	0	0	2	0	2	2	2	0	0	0.5476443586834213
2	0	1	2	1	2	1	2	0	2	1	1	0.5476443586834213
2	0	2	1	0	2	2	0	1	1	1	1	0.5476443586834213
0	2	0	2	2	2	1	2	0	1	1	1	0.5476443586834213
2	0	1	2	1	1	1	1	1	2	0	0	0.5476443586834213
1	0	2	0	0	1	1	2	1	0	1	1	0.5476443586834213
1	2	0	1	1	1	1	2	1	1	0	0	0.5476443586834213
1	0	0	1	0	1	2	1	0	0	1	1	0.5476443586834213
2	1	0	1	1	1	2	2	0	0	1	1	0.5476443586834213
0	0	1	0	2	0	0	1	0	0	1	1	0.5476443586834213
1	0	1	2	1	2	2	2	1	1	0	0	0.5476443586834213
0	2	0	0	2	1	1	2	1	2	1	1	0.5476443586834213
2	1	2	0	2	0	0	1	1	2	0	0	0.5476443586834213
1	0	0	1	2	2	0	0	0	2	0	0	0.5476443586834213
2	2	0	2	2	2	1	0	2	1	1	1	0.5476443586834213
2	2	0	2	2	0	2	1	2	1	1	1	0.5476443586834213
1	1	2	2	0	1	0	2	0	0	1	1	0.5476443586834213
2	1	1	0	1	0	2	1	2	2	1	1	0.5476443586834213
0	0	0	0	1	1	1	1	0	1	0	0	0.5476443586834213
0	2	1	2	0	1	0	0	1	1	1	1	0.5476443586834213
2	0	1	1	0	1	2	2	2	2	0	0	0.5476443586834213
1	2	0	0	1	2	1	2	0	1	1	1	0.5476443586834213
2	1	0	2	0	1	0	2	2	2	1	1	0.5476443586834213
2	1	0	1	1	2	2	2	0	2	0	0	0.5476443586834213
1	2	2	2	1	1	2	2	2	0	1	1	0.5476443586834213
0	2	0	2	1	0	2	1	1	0	0	0	0.5571522796229312
0	2	1	2	0	2	2	0	0	0	1	1	0.5571522796229312
1	2	2	1	2	1	1	1	0	0	1	1	0.5571522796229312
1	2	0	0	2	2	1	2	1	0	0	0	0.5571522796229312
1	2	2	2	1	2	2	2	0	1	1	1	0.5571522796229312
2	1	1	0	1	1	2	0	0	1	1	1	0.5571522796229312
1	0	2	2	0	2	0	2	0	0	0	0	0.5571522796229312
1	2	2	2	0	2	1	0	2	1	1	1	0.5571522796229312
0	1	0	1	2	0	1	1	1	2	0	0	0.5571522796229312
