X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	0	2	2	1	2	0	2	0	0	-1	0.36538435363671684
1	0	2	2	1	1	1	0	1	1	0	-1	0.4161126212464433
0	1	0	0	2	1	2	2	1	2	1	0	0.43208291772231555
2	0	2	1	1	1	2	2	0	1	1	0	0.45335258927268307
0	0	0	2	0	0	2	1	1	2	0	-1	0.45335258927268307
1	2	2	0	1	1	0	2	0	0	1	0	0.4712673802905619
1	2	2	1	0	1	1	1	2	0	1	0	0.4815620003614832
0	0	1	2	1	0	2	2	0	1	0	-1	0.4815620003614832
0	1	0	0	1	1	1	2	1	2	1	0	0.4815620003614832
1	2	2	2	0	1	0	2	1	0	1	0	0.4815620003614832
0	0	2	1	1	1	1	2	0	0	1	0	0.4815620003614832
2	2	1	2	1	0	1	1	2	1	0	-1	0.4815620003614832
2	1	2	2	0	1	0	2	1	2	1	0	0.48502556590630086
1	0	0	1	0	2	2	0	2	0	1	0	0.49049868966743143
0	1	1	1	0	1	1	0	2	1	0	-1	0.5122710986863886
0	2	1	0	0	2	0	0	0	1	1	0	0.5122710986863886
1	2	0	0	1	2	0	1	2	1	1	0	0.5122710986863886
1	0	2	2	1	2	0	1	2	1	1	0	0.5253517065207135
2	2	1	2	2	2	0	0	1	1	1	0	0.5253517065207135
2	2	2	1	2	0	0	0	2	0	1	0	0.5253517065207135
2	2	1	2	1	1	2	0	0	0	0	-1	0.5253517065207135
0	1	2	0	0	1	2	2	0	1	1	0	0.532525676482815
0	2	0	1	2	2	0	0	2	2	1	0	0.532525676482815
1	1	1	0	2	2	2	0	1	0	1	0	0.5557647363625433
2	0	1	2	0	1	1	1	0	0	0	-1	0.5557647363625433
0	1	1	1	0	2	2	0	1	2	1	0	0.5557647363625433
0	1	1	0	0	0	0	1	2	1	1	0	0.5557647363625433
2	0	0	0	2	0	2	1	1	0	0	-1	0.5557647363625433
1	0	2	0	0	2	2	1	2	0	0	-1	0.5557647363625433
0	2	2	2	0	2	0	1	1	1	0	-1	0.5557647363625433
2	0	1	0	1	1	2	2	2	2	0	-1	0.5557647363625433
1	2	0	2	1	1	2	2	2	1	1	0	0.5557647363625433
2	0	1	0	0	2	2	0	2	0	1	0	0.5557647363625433
2	2	2	1	2	0	0	1	0	2	0	-1	0.5557647363625433
0	1	0	2	1	2	0	1	0	0	1	0	0.5557647363625433
0	0	0	0	0	1	2	0	2	1	1	-1	0.5557647363625433
1	1	0	2	2	0	0	2	1	2	1	-1	0.5557647363625433
1	0	0	0	0	2	2	1	0	0	0	-1	0.5557647363625433
0	2	0	0	1	1	0	0	0	2	0	-1	0.5557647363625433
1	2	0	0	2	1	0	2	1	0	1	0	0.5557647363625433
2	1	1	2	0	0	2	1	2	2	1	0	0.5557647363625433
0	1	1	0	2	1	1	1	2	2	1	-1	0.5557647363625433
2	1	0	1	0	0	2	2	2	0	0	-1	0.5557647363625433
2	0	1	1	2	1	1	2	1	2	0	-1	0.5557647363625433
0	1	1	1	2	1	0	0	0	1	0	-1	0.5557647363625433
2	0	2	0	2	2	0	0	0	1	1	0	0.5557647363625433
2	2	0	0	2	1	2	0	0	1	0	-1	0.5557647363625433
0	1	2	1	0	1	0	0	1	2	0	-1	0.5557647363625433
0	0	1	1	0	2	2	1	0	0	1	0	0.5557647363625433
1	2	1	1	0	2	0	0	1	2	1	0	0.5683269361895575
2	1	0	0	1	2	1	1	0	0	1	0	0.5683269361895575
1	1	2	1	1	0	0	1	2	2	1	0	0.5683269361895575
1	2	1	0	0	0	1	0	1	2	1	0	0.5683269361895575
1	1	1	2	1	0	1	0	2	1	0	-1	0.5683269361895575
2	0	2	2	2	0	1	1	1	0	0	-1	0.5683269361895575
0	0	2	1	2	0	2	2	1	2	0	-1	0.5683269361895575
1	2	0	2	1	2	2	0	0	2	0	-1	0.5683269361895575
1	2	0	1	1	0	0	2	2	0	1	0	0.5683269361895575
0	2	0	0	2	2	2	1	2	0	0	-1	0.5777786412188557
0	0	2	1	1	0	0	1	1	1	1	0	0.5777786412188557
2	2	0	1	2	0	2	2	2	0	0	-1	0.5793266594848542
0	0	0	2	1	2	2	2	1	0	1	0	0.5793266594848542
2	2	2	1	2	2	0	2	0	1	0	-1	0.5793266594848542
1	1	1	1	1	2	0	1	0	1	0	-1	0.5793266594848542
2	0	2	0	1	0	2	0	0	1	0	-1	0.5793266594848542
0	0	2	0	2	2	1	1	1	2	0	-1	0.5793266594848542
1	1	1	0	1	1	0	0	2	1	0	-1	0.5793266594848542
2	2	2	0	0	0	1	2	2	1	0	-1	0.5793266594848542
0	0	0	0	0	2	0	1	1	0	0	-1	0.5793266594848542
0	1	1	2	0	0	0	1	1	2	1	0	0.5793266594848542
0	0	0	1	1	0	2	2	2	0	1	0	0.5793266594848542
2	0	0	2	0	0	1	1	1	1	0	-1	0.5793266594848542
0	2	0	0	2	2	1	1	0	2	0	-1	0.5793266594848542
2	1	0	1	0	2	0	2	2	2	0	-1	0.5793266594848542
0	2	2	0	2	2	0	2	0	0	0	-1	0.5793266594848542
0	2	0	0	1	2	0	2	1	0	1	0	0.5793266594848542
2	1	0	1	2	2	2	0	1	1	1	0	0.5793266594848542
2	1	0	2	0	0	1	1	2	0	0	-1	0.5793266594848542
0	0	0	0	0	0	0	2	1	1	0	-1	0.5793266594848542
0	1	1	2	1	1	0	1	2	2	0	-1	0.5793266594848542
2	2	2	0	1	1	0	0	0	2	0	-1	0.5830155445451235
0	2	0	2	0	2	0	0	2	1	1	0	0.5830155445451235
2	0	1	1	2	1	1	2	0	1	0	-1	0.5830155445451235
1	1	0	2	1	0	0	0	0	1	0	-1	0.5830155445451235
0	1	2	1	1	1	0	1	0	1	1	0	0.5830155445451235
2	0	2	1	2	1	1	2	2	1	1	0	0.5830155445451235
2	1	2	2	0	0	1	1	1	2	0	-1	0.5830155445451235
2	2	2	2	1	1	1	0	0	0	0	-1	0.5830155445451235
0	0	1	1	2	0	1	1	1	0	1	0	0.5830155445451235
2	1	2	0	2	2	2	1	2	1	0	-1	0.5830155445451235
2	0	1	1	0	2	2	0	0	2	1	0	0.5830155445451235
0	2	2	1	0	0	0	1	2	1	0	-1	0.5830155445451235
1	1	1	1	2	2	0	1	0	2	1	0	0.5830155445451235
0	0	1	1	1	1	1	1	1	2	0	-1	0.5830155445451235
1	0	0	2	2	0	0	2	2	0	0	-1	0.5830155445451235
0	0	2	2	0	2	1	1	0	1	0	-1	0.5830155445451235
1	1	0	0	0	1	0	2	1	2	1	0	0.5830155445451235
0	1	2	1	0	2	1	1	1	0	0	-1	0.5830155445451235
1	0	0	2	2	1	2	0	1	0	0	-1	0.5830155445451235
0	2	2	0	0	2	1	0	0	0	1	0	0.5830155445451235
0	0	2	1	0	2	1	0	1	0	1	0	0.5830155445451235
1	2	2	0	1	1	0	0	1	1	0	-1	0.5830155445451235
1	0	1	0	2	2	0	0	0	0	1	0	0.5830155445451235
1	2	2	1	2	1	1	1	2	1	1	0	0.5830155445451235
0	1	2	0	2	2	1	0	2	0	1	0	0.5830155445451235
0	0	1	1	2	2	0	1	2	2	1	0	0.5830155445451235
0	0	1	2	0	2	1	2	1	1	1	0	0.5830155445451235
0	0	2	1	1	1	2	1	1	2	1	0	0.5830155445451235
1	2	2	1	1	1	0	0	1	2	0	-1	0.5830155445451235
0	0	2	2	2	2	1	0	0	0	1	0	0.5830155445451235
0	0	1	0	2	1	2	0	1	2	0	-1	0.5830155445451235
0	0	2	0	0	0	1	2	2	0	0	-1	0.5830155445451235
1	2	0	0	1	1	0	0	0	0	0	-1	0.5830155445451235
2	2	2	2	1	1	0	2	1	1	1	0	0.5830155445451235
2	2	0	2	2	1	1	0	2	2	0	-1	0.5830155445451235
