X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	1	1	1	0	1	2	2	1	1	1	0.0087617049727996
1	2	0	1	0	1	1	2	2	2	1	1	0.023165815167932258
1	2	2	0	0	2	2	2	2	1	1	1	0.023165815167932258
2	1	0	1	0	1	1	0	1	2	1	1	0.023165815167932258
0	2	2	0	2	2	0	1	0	2	1	1	0.023165815167932258
0	1	0	2	2	0	1	2	0	2	0	0	0.023165815167932258
2	1	0	0	1	2	1	2	0	2	0	0	0.046090672041694924
0	1	0	0	2	1	2	2	2	0	1	1	0.10855501136723911
1	1	1	0	0	1	0	1	2	2	1	1	0.1316130491986337
1	0	2	1	0	0	0	0	2	0	0	0	0.139688414115529
1	0	1	0	2	1	1	1	2	1	0	0	0.1492421236221465
0	1	1	2	0	2	1	1	1	2	1	1	0.15139948561977346
2	0	0	0	2	0	1	1	0	2	1	1	0.15139948561977346
2	2	2	0	2	1	0	2	0	0	1	1	0.16188544126704085
0	0	2	1	1	1	0	1	1	0	1	1	0.16647176713509804
0	0	0	0	2	1	0	2	0	1	1	1	0.18875411265757724
1	0	2	1	1	1	1	0	1	1	0	0	0.18875411265757724
0	1	2	1	0	1	1	2	2	0	1	1	0.18875411265757724
2	2	0	1	0	0	0	1	1	1	1	1	0.1996238411219835
1	2	0	0	2	2	1	0	1	1	1	1	0.1996238411219835
0	0	1	0	2	2	1	0	1	2	1	1	0.20392317247808744
2	2	2	1	0	0	2	0	1	2	0	0	0.20392317247808744
0	0	0	1	2	1	0	0	0	1	1	1	0.20392317247808744
2	0	1	2	1	2	0	0	2	0	1	1	0.20392317247808744
1	1	1	2	2	2	0	0	2	1	1	1	0.24085448930084474
1	0	2	1	1	2	2	1	1	1	0	0	0.24085448930084474
1	0	2	2	0	0	1	2	0	2	1	1	0.24085448930084474
1	2	1	0	0	2	2	0	2	1	1	1	0.24085448930084474
0	1	1	1	2	0	1	0	2	1	1	1	0.24085448930084474
1	0	0	2	1	1	1	0	1	0	0	0	0.24085448930084474
1	1	0	2	0	1	0	1	2	0	0	0	0.24085448930084474
1	1	0	0	1	2	0	1	2	0	1	1	0.24085448930084474
1	1	0	0	0	1	2	0	1	0	1	1	0.24085448930084474
2	0	0	2	1	0	1	1	0	0	1	1	0.24085448930084474
0	1	2	0	0	2	2	0	0	0	1	1	0.24085448930084474
0	0	1	0	2	1	1	2	0	0	1	1	0.24085448930084474
0	2	1	0	0	1	2	2	1	2	1	1	0.24085448930084474
2	2	2	2	1	2	1	2	2	0	1	1	0.24085448930084474
2	2	2	2	2	2	2	2	1	0	1	1	0.24085448930084474
