X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	2	2	0	0	2	2	0	0	1	0	0.840817225115039	0.25599457607552256
1	1	0	1	1	2	1	2	2	2	0	0.840817225115039	0.29048609251919555
0	0	2	2	2	1	2	1	0	0	0	0.840817225115039	0.34022181145597064
2	2	1	0	1	1	0	0	0	1	1	1.840817225115039	0.34022181145597064
2	0	2	2	1	2	1	2	0	2	1	0.840817225115039	0.34022181145597064
1	1	0	1	1	0	0	0	0	0	0	0.840817225115039	0.4343316520216013
2	2	1	2	1	2	2	2	1	2	1	1.840817225115039	0.45940459281185037
1	2	0	1	0	2	0	2	1	0	1	1.840817225115039	0.45940459281185037
1	2	1	0	1	1	1	2	2	0	1	1.840817225115039	0.4628753628848391
2	1	0	1	1	2	2	1	2	2	1	1.840817225115039	0.4814922398767406
1	1	0	2	2	2	0	1	2	2	1	1.840817225115039	0.4814922398767406
2	0	0	2	0	0	1	1	2	0	1	1.840817225115039	0.4814922398767406
0	1	2	1	0	1	0	2	2	0	1	1.840817225115039	0.5133761258163916
2	1	2	0	0	2	2	2	2	2	0	0.840817225115039	0.5133761258163916
2	0	0	1	1	0	2	0	0	2	0	0.840817225115039	0.5133761258163916
0	1	0	1	0	1	2	0	0	2	1	1.840817225115039	0.5133761258163916
2	0	0	0	0	2	0	2	2	1	0	0.840817225115039	0.5133761258163916
0	2	1	2	2	1	0	1	0	0	0	0.840817225115039	0.5133761258163916
2	2	0	1	2	2	2	2	2	0	0	0.840817225115039	0.5133761258163916
1	0	0	1	1	1	2	1	1	0	0	0.840817225115039	0.5133761258163916
0	0	2	0	2	0	0	2	2	1	0	0.840817225115039	0.5133761258163916
1	2	2	1	0	1	2	0	1	1	0	0.840817225115039	0.5133761258163916
2	2	0	1	1	0	2	2	0	1	0	0.840817225115039	0.5133761258163916
2	1	2	2	1	2	0	0	2	1	0	0.840817225115039	0.5133761258163916
0	1	0	2	2	0	2	2	2	0	0	0.840817225115039	0.5200139557939215
2	2	2	0	1	0	1	1	0	2	1	1.840817225115039	0.5200139557939215
2	2	2	1	1	0	0	1	1	2	1	1.840817225115039	0.5200139557939215
2	2	2	0	2	0	0	0	2	2	0	0.840817225115039	0.5225442712716056
2	2	1	2	2	0	0	0	1	2	1	1.840817225115039	0.5225442712716056
1	1	0	1	2	0	1	2	1	0	1	1.840817225115039	0.5225442712716056
2	2	0	1	0	1	0	1	2	1	0	0.840817225115039	0.5225442712716056
2	0	2	0	2	0	0	1	2	1	1	1.840817225115039	0.5225442712716056
1	1	2	0	0	1	0	1	1	0	0	0.840817225115039	0.5225442712716056
1	0	0	2	1	2	1	2	2	1	0	0.840817225115039	0.5303576615982384
2	2	2	0	2	0	1	1	2	0	1	1.840817225115039	0.5303576615982384
1	1	2	0	2	0	2	1	2	0	1	1.840817225115039	0.5303576615982384
0	2	2	2	0	2	1	1	0	1	1	1.840817225115039	0.5303576615982384
0	0	1	0	2	0	0	1	0	0	1	1.840817225115039	0.5303576615982384
2	0	2	0	2	2	1	2	2	0	0	0.840817225115039	0.5303576615982384
0	1	2	1	0	1	0	0	1	0	0	0.840817225115039	0.5303576615982384
0	0	2	1	0	2	2	2	0	2	0	0.840817225115039	0.5303576615982384
2	2	2	0	0	2	0	2	1	2	1	1.840817225115039	0.5346738552788051
2	1	1	1	0	0	1	1	0	0	1	1.840817225115039	0.5346738552788051
0	0	2	0	1	0	1	2	0	1	0	0.840817225115039	0.5346738552788051
0	1	0	1	1	1	2	1	1	1	0	0.840817225115039	0.5346738552788051
0	0	0	1	0	1	2	1	1	1	0	0.840817225115039	0.5346738552788051
2	0	0	2	2	0	1	0	0	1	0	0.840817225115039	0.5346738552788051
2	2	1	1	1	0	1	0	2	2	0	0.840817225115039	0.5346738552788051
2	1	0	2	1	2	0	0	2	2	0	0.840817225115039	0.5346738552788051
1	0	2	0	2	0	0	1	2	0	1	1.840817225115039	0.5346738552788051
2	0	1	1	2	2	2	0	0	0	0	0.840817225115039	0.5346738552788051
1	2	2	1	2	0	1	2	1	1	1	1.840817225115039	0.5346738552788051
1	2	1	0	2	2	2	1	0	2	1	1.840817225115039	0.5346738552788051
2	2	2	2	0	0	2	2	0	1	0	0.840817225115039	0.5346738552788051
2	0	1	2	1	2	0	0	2	1	0	0.840817225115039	0.5346738552788051
0	1	1	0	2	0	0	1	2	0	1	1.840817225115039	0.5346738552788051
2	0	0	0	1	1	0	0	0	0	1	1.840817225115039	0.5348417786210886
0	1	2	1	2	2	2	1	1	0	1	1.840817225115039	0.5348417786210886
1	0	1	1	1	1	2	0	2	1	1	1.840817225115039	0.5348417786210886
0	0	1	1	2	0	2	2	2	2	0	0.840817225115039	0.5348417786210886
0	2	2	1	2	1	2	0	1	2	0	0.840817225115039	0.5348417786210886
0	0	1	2	2	2	0	0	1	0	1	1.840817225115039	0.5348417786210886
1	0	2	1	0	1	2	0	2	0	1	1.840817225115039	0.5348417786210886
2	1	0	1	2	2	1	1	0	1	1	1.840817225115039	0.5348417786210886
0	0	2	0	1	2	0	1	2	0	1	1.840817225115039	0.5348417786210886
2	0	2	0	1	2	0	0	0	2	0	0.840817225115039	0.5348417786210886
0	0	2	1	2	2	1	2	1	0	1	1.840817225115039	0.5348417786210886
2	0	1	2	2	1	2	2	0	2	1	1.840817225115039	0.5348417786210886
2	0	0	1	1	2	2	0	0	0	0	0.840817225115039	0.5348417786210886
2	1	2	2	0	0	1	1	1	2	1	1.840817225115039	0.5348417786210886
0	2	1	0	2	1	1	0	0	1	1	1.840817225115039	0.5348417786210886
