X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	0	2	2	2	0	0	0	1	1	0.0	0.1387241223980622
0	1	0	0	0	2	1	1	1	1	1	1.0	0.1387241223980622
0	0	1	0	1	1	1	0	1	1	1	0.0	0.18287919551939213
0	1	0	2	1	1	2	2	1	2	1	0.0	0.1868075539511287
1	1	2	2	2	2	0	0	1	1	1	1.0	0.1868075539511287
2	2	2	0	1	0	2	0	1	2	0	-1.0	0.1868075539511287
0	0	2	0	2	0	2	0	1	1	1	0.0	0.1868075539511287
2	0	2	2	0	2	1	2	2	0	1	0.0	0.1868075539511287
0	2	2	2	0	0	0	1	2	0	0	-1.0	0.1868075539511287
1	0	2	0	1	2	2	2	1	1	0	-1.0	0.1868075539511287
1	0	0	2	1	0	1	1	1	1	1	0.0	0.1868075539511287
1	0	1	0	2	0	0	2	1	1	1	0.0	0.1868075539511287
0	1	1	2	1	1	1	0	0	2	1	1.0	0.1868075539511287
2	2	1	2	1	1	0	2	1	1	0	-1.0	0.1868075539511287
1	2	2	1	2	0	2	1	0	0	1	1.0	0.1868075539511287
1	1	2	0	1	0	1	0	0	0	1	1.0	0.1868075539511287
1	1	1	1	2	0	2	1	1	2	1	0.0	0.1868075539511287
0	2	2	1	1	1	2	1	2	2	1	0.0	0.1868075539511287
2	2	2	0	0	0	0	0	0	0	0	-1.0	0.19059401604166837
1	1	0	0	1	2	1	2	0	0	1	1.0	0.19059401604166837
1	2	1	2	0	0	2	1	0	2	0	-1.0	0.19059401604166837
0	2	2	1	1	2	0	1	0	1	1	0.0	0.19059401604166837
0	2	1	0	1	0	0	2	0	2	0	-1.0	0.19305277352296124
1	2	1	2	1	1	0	0	2	2	0	-1.0	0.19305277352296124
2	2	1	1	1	1	1	1	1	0	1	1.0	0.19305277352296124
1	1	2	2	0	1	2	0	2	1	1	0.0	0.19305277352296124
1	2	2	1	0	0	2	2	1	0	1	0.0	0.19305277352296124
0	0	2	2	2	0	0	1	2	1	1	0.0	0.19305277352296124
2	2	2	1	1	2	0	1	2	2	1	0.0	0.19305277352296124
2	2	1	2	1	1	2	0	2	2	0	-1.0	0.19305277352296124
1	2	2	2	2	1	1	1	1	1	0	-1.0	0.19305277352296124
1	0	0	0	2	1	1	2	0	1	0	-1.0	0.19305277352296124
1	1	0	1	0	1	2	1	0	1	0	-1.0	0.19305277352296124
1	2	0	1	2	2	2	2	0	0	1	1.0	0.19305277352296124
0	2	0	2	2	0	1	0	0	0	0	-1.0	0.19305277352296124
2	1	0	0	2	2	1	2	0	1	1	0.0	0.19305277352296124
1	1	2	1	1	2	1	0	2	2	1	0.0	0.19305277352296124
1	1	2	2	1	0	1	1	0	1	1	1.0	0.19305277352296124
1	2	1	0	0	2	1	2	2	1	1	0.0	0.19305277352296124
2	0	0	1	1	1	2	1	0	1	1	0.0	0.19305277352296124
1	2	1	0	1	1	1	2	0	1	1	0.0	0.19305277352296124
