X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	1	1	2	2	2	2	1	1	1	1	0.3764040554689957
1	2	1	0	0	2	0	2	2	2	0	0	0.3764040554689957
2	2	1	0	0	1	0	2	0	1	1	1	0.3764040554689957
0	1	2	2	1	2	2	0	1	2	0	0	0.38265978095837594
1	0	2	0	1	2	1	1	2	0	1	1	0.38265978095837594
2	1	2	1	2	2	1	2	0	1	0	0	0.38265978095837594
2	2	1	0	0	2	2	2	0	2	0	0	0.4088400790297645
0	1	2	1	0	1	0	0	0	2	0	0	0.4088400790297645
0	0	1	2	0	1	2	0	0	1	1	1	0.4088400790297645
2	2	0	2	0	0	1	2	2	1	0	0	0.4088400790297645
2	2	1	1	1	0	1	2	2	2	1	1	0.4088400790297645
2	1	2	1	0	2	2	0	0	0	0	0	0.4088400790297645
0	0	2	2	2	2	1	2	0	2	1	1	0.412029650338816
0	0	1	1	2	2	1	0	0	1	0	0	0.412029650338816
0	0	0	1	2	2	0	0	2	0	0	0	0.412029650338816
2	0	0	2	2	1	0	2	1	1	1	1	0.412029650338816
0	2	1	2	0	2	2	2	1	2	0	0	0.41343351360864367
2	1	0	1	0	1	0	1	1	1	1	1	0.41343351360864367
1	1	0	1	1	1	0	1	0	0	0	0	0.4143160865569421
2	0	2	2	2	0	2	0	0	1	1	1	0.4143160865569421
0	1	1	1	0	1	0	1	1	1	1	1	0.4143160865569421
2	2	1	2	1	0	2	0	2	1	1	1	0.4143160865569421
2	1	2	1	2	1	1	1	1	2	1	1	0.4143160865569421
2	2	1	1	2	0	1	2	0	2	1	1	0.4143160865569421
1	2	1	2	1	2	1	0	0	0	1	1	0.4145106010426536
1	2	2	0	2	2	2	1	0	1	1	1	0.4219857289284349
1	1	0	2	0	1	0	1	2	1	1	1	0.4219857289284349
1	2	1	1	1	0	0	0	1	1	1	1	0.4219857289284349
2	2	2	0	0	2	0	0	1	1	1	1	0.4219857289284349
0	0	0	0	2	0	2	2	1	2	0	0	0.4219857289284349
0	0	2	1	2	2	0	1	1	2	0	0	0.4219857289284349
0	2	0	2	0	0	0	2	0	1	1	1	0.4219857289284349
2	2	0	2	0	2	2	0	2	0	0	0	0.4219857289284349
0	0	2	2	0	2	2	1	1	2	0	0	0.4219857289284349
1	1	0	0	2	2	1	2	2	0	1	1	0.4219857289284349
2	1	1	2	0	2	2	1	1	2	1	1	0.4219857289284349
2	2	1	0	2	0	1	2	2	0	1	1	0.4219857289284349
0	2	2	0	1	0	1	2	1	2	1	1	0.4219857289284349
2	2	1	1	2	1	1	1	2	2	1	1	0.4219857289284349
1	0	1	1	1	1	0	1	0	0	0	0	0.4219857289284349
1	0	2	0	1	1	1	2	2	0	1	1	0.4219857289284349
1	1	2	1	2	1	1	0	0	2	1	1	0.4219857289284349
1	1	2	1	0	2	1	0	2	2	1	1	0.4219857289284349
0	2	0	0	1	0	0	1	0	1	1	1	0.4219857289284349
2	2	2	2	0	2	2	1	1	2	0	0	0.4219857289284349
1	0	0	2	1	1	0	0	2	1	1	1	0.4219857289284349
1	0	0	1	2	0	2	1	1	2	1	1	0.4219857289284349
2	1	1	0	1	0	1	0	1	1	0	0	0.4220516921745595
1	1	1	2	2	1	1	1	1	2	1	1	0.4220516921745595
0	1	0	2	1	2	2	1	1	2	1	1	0.4220516921745595
2	0	2	1	1	1	1	2	0	0	1	1	0.4220516921745595
2	1	1	2	2	2	0	1	1	2	0	0	0.4220516921745595
1	2	1	0	1	2	1	1	2	1	0	0	0.4220516921745595
1	0	1	0	2	2	2	0	2	2	0	0	0.4220516921745595
2	0	1	1	1	1	1	2	2	1	0	0	0.4220516921745595
1	0	1	0	2	2	1	0	1	2	1	1	0.4220516921745595
2	2	1	2	1	2	1	1	0	1	0	0	0.4220516921745595
0	0	1	1	0	2	1	1	0	2	1	1	0.4220516921745595
2	1	2	2	2	0	2	0	1	1	1	1	0.4220516921745595
0	2	1	1	2	2	0	2	0	1	1	1	0.4220516921745595
