X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	1	1	0	0	1	2	0	1	1	1.3618749381858208	0.4011940847683396
0	1	2	2	1	0	2	0	1	1	1	1.2412499587905472	0.4011940847683396
1	2	2	1	2	0	1	2	1	2	0	0.24124995879054723	0.4185916145405696
0	1	0	1	2	0	0	2	2	0	0	0.0	0.4185916145405696
1	1	1	1	2	0	0	2	1	0	1	1.0	0.4185916145405696
1	1	2	1	2	2	1	0	0	0	0	0.0	0.45466771391797506
1	2	0	1	2	0	2	2	1	2	0	0.24124995879054723	0.45466771391797506
0	2	1	0	2	1	2	1	0	0	1	1.0	0.4581222563494221
2	2	2	0	2	1	0	1	0	2	0	0.36187493818582084	0.4768984243009696
0	1	1	0	0	2	0	1	2	0	1	1.0	0.4768984243009696
0	0	0	1	0	1	2	2	1	0	0	0.0	0.4768984243009696
1	0	1	2	1	2	1	1	1	0	1	1.0	0.4800742708073722
1	1	0	0	1	2	1	2	2	1	1	1.2412499587905472	0.4866532037739492
1	2	0	0	2	2	1	2	0	2	0	0.24124995879054723	0.48884855441988334
1	1	2	1	0	0	0	0	0	1	0	0.24124995879054723	0.5018549020954484
1	1	0	2	0	1	2	2	0	1	0	0.24124995879054723	0.5018549020954484
2	0	2	2	2	2	2	1	1	1	0	0.36187493818582084	0.5039508110566864
1	1	0	1	2	1	2	1	2	0	0	0.0	0.5090567701442039
2	1	2	0	1	2	2	1	2	0	1	1.0	0.5090567701442039
1	1	1	1	2	2	0	2	1	0	1	1.0	0.5090567701442039
0	1	0	2	2	1	1	0	0	1	0	0.0	0.5090567701442039
2	2	0	2	2	2	0	2	0	0	0	0.0	0.5090567701442039
0	0	1	1	2	2	2	0	1	2	1	1.1206249793952736	0.5090567701442039
0	0	1	2	0	0	2	1	0	1	1	1.1206249793952736	0.5090567701442039
0	1	2	0	2	0	1	0	0	1	0	0.24124995879054723	0.5090567701442039
0	1	1	0	2	2	0	2	0	0	1	1.0	0.5091231837999093
2	0	0	2	2	0	2	1	2	1	0	0.12062497939527361	0.5091231837999093
2	2	0	0	0	2	1	1	0	0	0	0.0	0.5174469520011971
