X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	0	2	2	0	2	2	2	1	1	1	0.038373177511212386
2	2	0	2	0	2	1	0	2	1	1	1	0.038373177511212386
2	2	2	0	2	0	2	1	1	0	1	1	0.038373177511212386
1	1	1	1	1	2	1	1	2	0	1	1	0.04410287498808363
1	2	2	1	2	2	2	2	1	0	0	0	0.04410287498808363
0	2	0	1	0	0	1	1	1	1	0	0	0.04410287498808363
1	0	0	2	2	0	2	0	0	0	0	0	0.04442066091015473
2	1	0	1	0	0	2	2	1	2	0	0	0.04442066091015473
2	0	1	2	0	1	0	0	2	0	1	0	0.04442066091015473
2	2	0	1	1	1	0	2	2	1	1	0	0.04442066091015473
1	1	2	2	2	1	2	2	1	0	1	0	0.04442066091015473
1	0	0	2	2	2	0	2	1	0	1	0	0.04442066091015473
0	1	0	0	2	0	0	0	2	2	1	1	0.04442066091015473
2	1	1	0	1	2	2	2	2	0	1	0	0.04442066091015473
0	0	0	2	2	0	1	1	1	2	1	0	0.045278586358064477
2	0	0	2	2	0	1	2	0	1	1	0	0.05013998278967424
2	2	1	2	0	2	1	2	2	0	1	0	0.0654418659595718
1	1	0	1	2	1	1	0	0	2	1	0	0.0654418659595718
0	2	0	1	1	1	0	0	2	2	1	0	0.0654418659595718
1	2	2	2	1	2	0	0	2	2	1	1	0.0654418659595718
2	1	1	0	1	0	0	1	2	0	1	0	0.0654418659595718
0	2	1	1	2	0	2	2	1	1	1	1	0.0654418659595718
0	2	0	1	0	0	2	2	2	1	1	0	0.07217443017701053
0	0	2	0	1	0	2	1	2	0	0	0	0.07217443017701053
2	0	0	2	1	1	1	2	1	1	1	1	0.07217443017701053
1	0	2	0	0	1	0	0	0	0	1	1	0.0919526426356998
2	1	0	1	0	1	0	2	0	0	0	0	0.0919526426356998
1	0	1	2	2	2	0	1	0	2	0	0	0.0919526426356998
2	1	1	2	1	1	1	2	1	2	0	0	0.0919526426356998
1	2	1	0	0	1	2	1	1	0	0	0	0.0919526426356998
1	1	2	1	0	1	0	0	2	2	0	0	0.0919526426356998
1	2	1	0	0	2	2	2	0	1	0	0	0.0919526426356998
0	0	2	1	2	2	0	2	0	1	0	0	0.0919526426356998
1	0	2	2	0	1	1	2	1	2	1	1	0.0919526426356998
1	2	2	2	0	2	1	1	0	1	1	1	0.09925282512751421
1	1	1	1	1	1	0	2	1	2	0	0	0.09925282512751421
2	0	2	0	1	1	2	2	2	0	1	1	0.09925282512751421
2	1	2	1	1	1	0	1	1	1	0	0	0.09925282512751421
0	0	1	0	2	1	0	1	0	2	0	0	0.09925282512751421
1	0	0	1	0	2	2	0	0	0	0	0	0.09925282512751421
0	0	0	2	1	2	2	0	0	0	0	0	0.09925282512751421
2	0	2	0	0	1	1	0	2	1	1	1	0.09925282512751421
2	2	2	0	0	2	0	1	0	0	1	1	0.09925282512751421
0	0	2	0	2	2	0	2	0	1	0	0	0.09925282512751421
2	2	0	0	1	2	2	1	2	2	1	1	0.09925282512751421
2	1	1	1	2	0	0	0	1	0	1	1	0.09925282512751421
2	2	0	1	0	1	0	2	1	2	0	0	0.09925282512751421
2	2	2	2	1	0	0	1	0	0	1	1	0.10618658837044648
1	1	2	0	2	1	0	0	1	2	0	0	0.10618658837044648
0	1	0	2	2	1	2	0	1	0	0	0	0.10618658837044648
2	2	2	1	2	2	1	1	1	2	0	0	0.10618658837044648
0	2	2	0	1	0	0	2	1	0	1	1	0.10618658837044648
1	2	2	1	0	0	0	1	1	2	0	0	0.10618658837044648
2	1	1	1	1	1	0	1	1	1	1	0	0.10618658837044648
2	0	1	0	0	1	0	2	0	2	1	0	0.10618658837044648
0	1	1	0	1	1	1	2	2	1	1	0	0.10618658837044648
0	2	2	0	2	2	2	0	2	0	1	1	0.10618658837044648
0	2	2	1	0	0	0	2	0	2	1	0	0.10618658837044648
2	1	0	0	2	0	0	2	0	1	1	1	0.10618658837044648
0	0	2	1	1	0	0	0	1	0	1	0	0.10618658837044648
0	1	2	2	0	2	1	0	2	1	1	1	0.10618658837044648
1	0	2	2	0	0	2	2	0	0	1	0	0.10618658837044648
1	1	0	2	1	2	1	0	1	1	1	1	0.10618658837044648
1	1	0	1	1	1	0	1	1	1	1	0	0.10618658837044648
1	0	1	0	2	1	0	2	2	0	1	0	0.10618658837044648
1	0	2	1	0	2	0	1	1	0	1	0	0.10618658837044648
