X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	2	1	0	0	1	0	1	2	1	0	0.0	0.29176522994176024
1	0	1	0	0	2	0	2	1	2	0	0.0	0.33290924060623395
2	0	1	2	1	0	2	1	0	2	1	1.0	0.33290924060623395
0	2	2	0	0	2	2	1	0	0	1	1.0	0.33290924060623395
0	1	1	2	2	2	2	0	2	0	0	0.0	0.33290924060623395
0	0	2	1	0	0	0	2	2	2	0	0.0	0.3477721343371656
0	2	2	0	1	1	2	0	0	1	0	0.0	0.3477721343371656
0	0	2	0	1	0	1	1	0	1	0	0.0	0.3588234634559172
1	2	0	2	2	1	2	0	0	2	1	1.0	0.3588234634559172
1	1	2	0	2	1	2	2	0	0	1	1.0	0.3630757245469882
0	2	2	2	0	1	2	0	0	1	1	1.0	0.3630757245469882
0	1	1	0	2	2	1	0	0	0	0	0.0	0.3630757245469882
2	0	0	0	0	2	0	1	2	0	1	1.0	0.3630757245469882
2	2	2	1	1	1	1	2	1	0	0	0.0	0.3630757245469882
2	2	1	1	2	0	2	2	0	0	1	1.0	0.3768179007603645
1	1	1	2	2	0	0	2	1	0	0	0.0	0.3768179007603645
1	2	1	0	0	1	0	0	0	0	0	0.0	0.3768179007603645
2	1	1	1	1	1	1	0	1	1	1	1.0	0.38815380807257716
1	2	0	2	2	1	0	1	0	0	1	1.0	0.4351350302596728
0	0	2	1	0	1	1	1	2	1	0	0.0	0.4351350302596728
2	2	2	0	1	1	1	2	2	1	0	0.0	0.4351350302596728
2	2	2	1	1	1	1	2	1	0	0	0.0	0.4351350302596728
0	1	2	2	0	2	2	0	2	0	1	1.0	0.4351350302596728
0	2	0	1	2	1	1	0	1	2	0	0.0	0.4351350302596728
2	1	0	0	0	1	0	1	0	1	1	1.0	0.469498777368775
2	2	2	1	1	1	1	1	1	2	0	0.0	0.469498777368775
0	0	2	1	1	1	1	2	0	1	0	0.0	0.469498777368775
0	0	1	0	1	0	1	0	1	2	1	1.0	0.469498777368775
1	2	1	1	1	0	2	1	2	2	1	1.0	0.469498777368775
1	0	1	1	2	2	1	1	1	1	1	1.0	0.469498777368775
2	1	0	0	1	1	2	2	2	0	0	0.0	0.469498777368775
0	2	0	0	2	2	0	2	1	2	1	1.0	0.469498777368775
0	0	1	1	0	2	1	1	1	2	1	1.0	0.469498777368775
2	2	2	0	0	2	2	2	0	1	1	1.0	0.469498777368775
0	2	2	1	0	2	2	1	2	2	0	0.0	0.469498777368775
2	2	1	0	2	1	0	1	0	1	0	0.0	0.469498777368775
1	2	0	0	0	1	2	2	0	2	1	1.0	0.469498777368775
1	2	2	2	0	0	2	2	0	2	1	1.0	0.469498777368775
2	1	0	2	1	2	2	2	1	1	0	0.0	0.469498777368775
2	1	1	2	1	0	2	1	1	1	1	1.0	0.4825758537489996
1	0	0	2	0	1	1	2	0	2	1	1.0	0.4825758537489996
0	1	0	0	1	0	0	0	0	0	0	0.0	0.4825758537489996
0	0	1	2	2	1	1	1	0	2	0	0.0	0.4825758537489996
1	0	2	0	0	1	1	0	2	2	1	1.0	0.4825758537489996
2	0	1	2	2	1	2	2	0	1	0	0.0	0.4825758537489996
2	1	0	0	2	1	1	0	1	0	1	1.0	0.4825758537489996
2	0	2	1	2	1	0	0	1	2	0	0.0	0.4825758537489996
0	0	1	2	0	0	0	1	0	2	0	0.0	0.4825758537489996
