X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	0	1	1	0	2	2	2	1	0	-25.726018397464653	0.09679603565947392
2	0	1	0	2	0	0	1	1	2	0	-660.8280225866898	0.09679603565947392
2	1	1	1	0	2	2	2	2	1	0	-24.726018397464653	0.09679603565947392
1	2	2	2	2	2	0	1	2	2	1	1.0	0.10426265450935435
0	0	2	1	0	1	0	0	2	1	1	1.0	0.11778841536174933
1	2	2	1	1	0	0	1	1	0	1	-8.360637312507823	0.11778841536174933
2	2	0	1	2	1	2	2	1	2	1	-1.0	0.11778841536174933
0	2	0	0	0	2	1	2	1	2	0	-661.8280225866898	0.11778841536174933
2	0	1	0	0	2	2	2	0	2	1	0.0	0.11778841536174933
1	2	0	1	1	1	0	0	2	1	0	-25.726018397464653	0.12033832831487556
0	2	1	0	2	2	0	0	1	1	1	0.0	0.12033832831487556
1	0	2	1	2	1	2	2	0	0	0	-105.34280552132932	0.12033832831487556
2	2	1	0	1	2	1	0	0	0	1	-9.360637312507823	0.12033832831487556
0	0	2	2	2	2	0	2	2	0	0	-659.8280225866898	0.12033832831487556
1	2	0	1	1	1	1	0	0	2	0	-25.726018397464653	0.12596610848499856
0	1	2	2	1	2	0	0	1	0	1	1.0	0.12596610848499856
0	1	0	0	1	2	0	2	1	0	1	-1.0	0.12801300036194774
0	2	2	2	2	0	2	2	2	0	1	1.0	0.13803776601401185
1	0	1	0	1	2	1	0	0	2	0	-24.726018397464653	0.13803776601401185
1	2	1	1	2	2	1	1	1	1	1	0.0	0.13803776601401185
2	1	1	1	0	0	2	0	2	0	1	-9.360637312507823	0.13803776601401185
1	1	0	1	0	0	0	1	1	0	1	-10.360637312507823	0.13803776601401185
2	1	2	2	0	2	1	1	1	1	0	-23.726018397464653	0.13803776601401185
2	1	1	1	0	2	0	2	2	0	1	-9.360637312507823	0.13803776601401185
2	1	0	2	0	1	2	1	0	2	0	-25.726018397464653	0.13803776601401185
0	0	2	1	2	1	0	1	1	1	0	-659.8280225866898	0.13803776601401185
1	1	1	1	0	0	1	1	1	1	0	-24.726018397464653	0.13803776601401185
2	0	0	1	1	1	0	2	0	2	0	-25.726018397464653	0.13803776601401185
1	1	0	1	1	1	1	2	1	1	1	-1.0	0.13803776601401185
0	0	1	1	0	2	0	0	0	2	1	0.0	0.13803776601401185
