X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	1	2	2	0	1	2	0	2	0	0.0	0.021031862145872493
2	0	2	2	0	0	0	0	0	1	1	1.0	0.021031862145872493
1	0	2	2	0	0	0	0	2	0	0	0.0	0.021031862145872493
0	0	1	2	1	1	0	1	2	1	0	0.0	0.022734739024500072
0	2	2	2	1	1	1	0	1	0	1	1.0	0.03295069733518474
1	1	0	0	2	1	0	2	1	0	0	0.0	0.03859218394202202
0	1	1	1	1	1	0	0	0	2	1	1.0	0.04041794557417444
2	0	1	1	1	0	2	0	1	0	1	0.0	0.06904848685891207
0	0	1	2	0	2	0	1	2	1	1	1.0	0.06904848685891207
2	2	0	2	0	2	2	2	0	1	0	0.0	0.06904848685891207
2	2	0	1	2	0	0	0	1	2	0	0.0	0.06904848685891207
2	1	0	0	2	0	2	2	2	0	1	1.0	0.06904848685891207
0	2	0	2	0	0	2	0	2	1	0	0.0	0.07362070043981339
0	1	1	2	2	0	0	0	2	2	1	1.0	0.08209778464941209
0	0	2	2	2	1	1	2	2	1	1	1.0	0.09336346430105236
1	2	1	2	1	1	0	0	1	1	0	0.0	0.09336346430105236
1	1	1	2	0	2	1	1	0	0	1	1.0	0.09336346430105236
2	1	2	2	2	0	0	2	1	0	0	0.0	0.12593824053702463
1	2	1	1	0	0	1	0	1	1	0	0.0	0.12593824053702463
1	1	1	0	2	2	2	1	1	2	1	1.0	0.12593824053702463
0	0	0	2	1	1	0	1	2	2	0	0.0	0.14042044358082095
1	0	0	1	2	2	1	0	2	2	0	0.0	0.14042044358082095
0	2	0	2	0	1	2	2	2	0	1	1.0	0.14042044358082095
0	2	2	0	1	0	2	2	0	1	0	0.0	0.14042044358082095
0	1	1	1	2	1	1	1	2	1	0	0.0	0.16268669793045254
1	2	1	2	1	0	2	2	1	0	1	1.0	0.16268669793045254
1	1	0	0	2	0	0	2	2	0	0	0.0	0.16268669793045254
2	1	2	1	0	0	2	1	0	2	0	0.0	0.16268669793045254
2	2	2	2	2	1	1	0	1	1	1	1.0	0.16268669793045254
2	0	2	0	0	2	2	1	2	2	1	1.0	0.16268669793045254
1	2	0	1	1	1	2	1	2	2	1	1.0	0.18902841825715466
1	0	0	2	0	0	2	1	0	0	0	0.0	0.18902841825715466
1	0	0	0	2	1	1	0	2	0	1	1.0	0.18902841825715466
1	0	0	1	0	0	2	1	0	0	0	0.0	0.18902841825715466
2	0	2	2	1	0	1	0	0	2	1	1.0	0.18902841825715466
1	0	0	0	1	2	2	0	1	1	0	0.0	0.20004102187774575
0	2	1	2	2	0	0	2	0	2	1	1.0	0.20004102187774575
1	1	0	1	0	2	1	1	0	1	1	1.0	0.20004102187774575
0	2	2	2	0	2	2	1	1	0	1	1.0	0.20004102187774575
0	0	1	2	0	1	0	2	2	1	0	0.0	0.20004102187774575
1	1	0	0	0	1	2	0	2	0	1	1.0	0.20004102187774575
0	0	1	2	0	0	2	0	1	1	1	1.0	0.20004102187774575
2	0	0	0	2	2	2	2	2	0	0	0.0	0.20004102187774575
2	2	1	1	1	2	1	2	1	0	0	0.0	0.20004102187774575
0	2	2	0	2	0	1	0	1	0	1	1.0	0.20004102187774575
2	1	0	0	1	0	0	1	0	1	1	1.0	0.20004102187774575
0	0	1	2	0	1	1	0	1	1	1	1.0	0.20004102187774575
2	1	1	1	1	1	0	0	2	1	0	0.0	0.20004102187774575
0	1	2	0	0	0	0	2	0	1	1	1.0	0.20004102187774575
2	2	0	2	0	1	0	2	2	1	1	1.0	0.20004102187774575
0	2	2	2	0	2	2	2	2	0	1	1.0	0.20004102187774575
0	2	1	1	2	2	0	2	0	1	0	0.0	0.20004102187774575
2	2	1	0	1	1	0	1	0	0	1	1.0	0.20004102187774575
1	0	2	0	0	1	2	1	2	0	1	1.0	0.20004102187774575
2	1	0	2	1	1	1	0	2	1	0	0.0	0.20004102187774575
0	1	0	2	2	0	1	2	2	1	0	0.0	0.20004102187774575
1	2	0	2	0	2	0	2	1	2	0	0.0	0.20004102187774575
