X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	1	2	0	0	1	2	1	0	0	0.0	0.2205490729468199
2	1	0	0	2	0	1	2	0	0	0	0.0	0.2705746548712329
2	1	2	1	1	2	1	2	2	1	1	1.0	0.2705746548712329
0	2	0	0	1	1	2	0	1	1	1	1.0	0.2705746548712329
1	1	1	2	0	2	0	0	0	0	0	-1.0	0.2928457574430612
2	2	1	1	0	1	2	1	1	2	1	2.0	0.3335287665123299
0	2	0	1	2	1	0	0	2	2	1	2.0	0.3335287665123299
0	1	1	0	2	1	0	0	1	0	1	2.0	0.3335287665123299
1	0	2	2	1	1	2	0	1	0	0	-1.0	0.3335287665123299
2	2	1	2	2	0	2	2	0	2	0	0.0	0.3335287665123299
2	2	2	0	0	1	1	1	1	0	1	2.0	0.3421045095324924
1	2	2	0	2	0	1	2	0	1	0	-1.0	0.3421045095324924
2	2	2	2	2	2	0	2	0	1	0	0.0	0.3421045095324924
0	0	1	0	2	2	0	0	0	1	1	2.0	0.39417621612708736
2	1	1	2	0	1	2	1	1	2	1	2.0	0.39417621612708736
0	2	2	0	2	0	2	2	2	0	1	2.0	0.39417621612708736
2	0	2	2	0	2	0	2	0	1	1	2.0	0.39417621612708736
2	1	0	1	2	0	2	2	0	0	0	0.0	0.39417621612708736
2	0	0	2	2	0	2	0	0	2	0	0.0	0.39417621612708736
1	1	0	2	1	2	0	0	0	1	0	-1.0	0.39417621612708736
1	0	0	1	0	0	2	0	0	2	0	-1.0	0.39417621612708736
2	0	0	2	2	2	2	1	2	1	0	0.0	0.3966207932308865
1	2	1	1	2	2	1	2	1	2	0	-1.0	0.3966207932308865
2	0	2	0	1	2	0	1	0	1	1	1.0	0.3966207932308865
1	0	2	0	0	0	1	0	2	1	0	-1.0	0.4070052218888074
1	2	1	0	1	0	0	0	0	2	0	-1.0	0.4070052218888074
1	2	2	1	0	0	2	2	1	2	0	-1.0	0.4070052218888074
0	1	0	1	2	0	1	1	1	1	1	2.0	0.4070052218888074
1	1	1	0	0	0	0	1	2	1	0	-1.0	0.4070052218888074
1	1	0	2	0	0	0	0	1	1	0	-1.0	0.4070052218888074
1	1	2	2	2	1	0	2	1	2	0	-1.0	0.4245156546235907
0	2	2	1	2	0	1	1	1	2	1	2.0	0.4245156546235907
1	1	1	2	1	0	0	2	2	1	0	-1.0	0.4265615808520249
2	2	0	1	0	1	2	0	0	1	1	2.0	0.4265615808520249
1	0	2	1	0	0	1	0	1	1	0	-1.0	0.4334185111886514
2	0	0	0	2	1	1	0	2	0	0	0.0	0.4334185111886514
2	0	1	0	1	0	2	1	2	0	1	1.0	0.4334185111886514
2	2	1	2	1	2	2	0	1	0	1	1.0	0.43807383999479405
1	2	2	1	0	0	1	1	0	0	0	-1.0	0.43807383999479405
1	2	2	0	1	1	2	0	2	1	0	-1.0	0.43807383999479405
2	0	2	0	2	2	0	2	1	0	0	0.0	0.4438358035618824
2	1	1	1	2	0	1	2	2	0	0	0.0	0.4438358035618824
2	2	2	1	0	2	1	2	1	2	1	2.0	0.4438358035618824
2	0	1	1	0	1	1	0	1	0	1	2.0	0.4438358035618824
2	1	1	0	1	0	2	1	2	2	1	1.0	0.4438358035618824
1	1	2	2	0	2	1	1	2	2	0	-1.0	0.4438358035618824
1	2	0	1	2	2	1	2	0	2	0	-1.0	0.4438358035618824
2	0	1	2	1	0	1	2	2	0	1	1.0	0.4448824348868653
2	2	0	2	1	2	0	0	0	0	1	1.0	0.4448824348868653
1	1	0	2	1	1	0	1	2	2	0	-1.0	0.4448824348868653
0	1	0	0	1	0	1	1	1	1	1	1.0	0.4448824348868653
1	1	1	2	1	0	0	1	0	1	0	-1.0	0.4448824348868653
0	1	1	2	1	1	2	2	0	0	1	1.0	0.4448824348868653
0	0	0	0	0	0	2	2	1	0	0	0.0	0.4448824348868653
0	2	1	1	1	1	1	1	1	2	1	1.0	0.4448824348868653
1	0	0	2	1	0	2	2	0	1	0	-1.0	0.4448824348868653
0	2	2	2	2	0	1	1	2	0	1	2.0	0.4448824348868653
0	1	1	0	1	2	1	0	0	1	1	1.0	0.4448824348868653
2	0	1	0	0	1	2	2	0	2	1	2.0	0.44703172706598776
1	2	2	2	0	2	1	1	2	0	0	-1.0	0.44703172706598776
2	1	0	0	2	1	1	2	1	2	0	0.0	0.44703172706598776
0	0	2	0	1	0	1	0	1	0	1	1.0	0.44703172706598776
2	2	2	1	0	0	1	1	2	0	1	2.0	0.44703172706598776
2	0	2	2	2	2	2	2	0	1	0	0.0	0.44703172706598776
2	2	1	1	0	2	0	1	1	2	1	2.0	0.44703172706598776
2	1	1	2	0	2	0	1	2	1	1	2.0	0.44703172706598776
1	1	1	2	1	2	1	1	2	0	0	-1.0	0.44703172706598776
2	0	1	2	2	1	2	2	0	0	0	0.0	0.44703172706598776
2	2	1	1	2	1	2	0	2	0	0	0.0	0.4511317172589779
1	2	1	0	0	2	0	0	1	0	0	-1.0	0.4511317172589779
2	1	1	0	0	0	2	2	2	2	1	2.0	0.4511317172589779
2	1	1	1	0	0	1	0	0	0	1	2.0	0.4511317172589779
0	0	0	0	1	0	2	0	1	2	1	1.0	0.4511317172589779
1	0	2	0	0	1	1	1	0	1	0	-1.0	0.4511317172589779
2	0	2	2	0	2	2	0	1	2	1	2.0	0.4511317172589779
2	2	0	0	2	2	2	1	0	2	0	0.0	0.4511317172589779
1	2	0	2	2	1	2	2	2	0	0	-1.0	0.4511317172589779
