X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	1	0	0	2	2	2	1	0	0	0	0.024714901986597648
2	1	1	1	2	2	0	0	0	2	1	0	0.024714901986597648
0	0	0	0	0	0	0	2	1	1	1	0	0.024714901986597648
2	2	2	2	2	1	2	1	2	0	1	0	0.024714901986597648
0	1	1	2	0	0	0	1	2	1	1	0	0.02600104594698377
1	0	0	0	1	2	0	1	0	2	1	0	0.027203213036200047
1	2	0	1	2	2	2	0	2	2	1	0	0.027203213036200047
1	1	2	0	2	0	0	0	0	2	1	0	0.027203213036200047
0	1	2	1	1	1	0	0	0	2	1	0	0.027203213036200047
1	1	0	0	0	1	1	1	1	1	1	0	0.033279270924818194
2	2	1	0	1	0	0	1	2	2	1	0	0.033279270924818194
0	1	2	0	1	0	0	2	1	2	1	0	0.033279270924818194
2	2	1	2	2	2	1	2	2	0	1	0	0.033279270924818194
1	1	1	1	1	2	0	2	0	0	1	0	0.033279270924818194
1	2	0	0	1	0	1	2	1	2	1	0	0.033279270924818194
0	2	1	1	0	1	0	1	0	0	1	0	0.033279270924818194
2	2	2	1	2	1	2	2	2	1	1	0	0.033279270924818194
1	2	1	2	2	0	2	2	0	2	1	0	0.033279270924818194
0	1	0	1	2	1	1	1	1	0	1	0	0.033279270924818194
0	1	1	0	1	1	2	2	1	2	1	0	0.033279270924818194
2	1	2	0	0	1	1	1	0	2	1	0	0.033279270924818194
0	2	0	1	2	1	0	0	0	1	1	0	0.033279270924818194
1	2	2	0	1	2	0	2	2	1	1	0	0.033279270924818194
2	0	2	0	2	0	0	1	2	1	1	0	0.033279270924818194
0	0	1	1	2	1	0	2	1	2	1	0	0.033279270924818194
0	0	1	0	2	2	1	2	1	2	1	0	0.033279270924818194
1	2	1	1	2	2	0	1	2	0	1	0	0.033279270924818194
2	1	2	0	1	2	0	0	0	2	1	0	0.033279270924818194
2	0	1	0	2	0	2	2	2	0	1	0	0.033279270924818194
1	2	2	0	2	2	1	1	1	2	1	0	0.033279270924818194
1	0	0	2	0	1	1	1	0	2	1	0	0.033279270924818194
0	2	0	1	2	1	1	0	1	0	1	0	0.03441058519587553
2	2	1	0	1	0	0	0	0	2	1	0	0.03441058519587553
0	2	0	1	1	1	1	1	1	0	1	0	0.03441058519587553
2	0	2	0	2	0	2	0	0	2	1	0	0.03441058519587553
1	2	2	1	1	2	1	0	1	0	1	0	0.03441058519587553
2	2	2	2	1	2	2	0	2	2	1	0	0.03441058519587553
2	1	0	2	0	2	2	0	1	0	1	0	0.03441058519587553
0	0	2	1	2	1	0	1	1	2	1	0	0.03441058519587553
2	1	0	2	2	2	2	1	2	2	1	0	0.03441058519587553
0	0	0	0	1	1	1	1	2	1	1	0	0.03441058519587553
0	2	1	1	1	2	0	1	0	2	1	0	0.03441058519587553
1	0	0	2	0	0	1	2	2	2	1	0	0.03441058519587553
1	1	0	2	0	1	1	1	1	0	1	0	0.03441058519587553
1	0	2	0	1	1	0	1	1	2	1	0	0.03441058519587553
1	0	0	2	1	2	0	1	1	1	1	0	0.03441058519587553
2	0	0	2	0	0	1	2	2	1	1	0	0.03441058519587553
0	0	0	2	2	2	2	1	2	1	1	0	0.03441058519587553
2	0	2	1	0	2	1	1	1	2	1	0	0.04313772104268826
1	2	2	2	2	0	0	1	0	1	1	0	0.04313772104268826
1	1	1	2	0	0	1	0	0	1	1	0	0.04313772104268826
1	0	2	2	0	1	2	0	2	1	1	0	0.04313772104268826
2	1	1	0	2	0	2	0	0	1	1	0	0.04313772104268826
1	1	0	2	0	2	0	1	2	2	1	0	0.04313772104268826
0	2	1	0	1	0	0	1	2	1	1	0	0.04313772104268826
1	0	0	0	1	0	2	1	1	2	1	0	0.04313772104268826
1	1	2	1	2	2	0	2	0	2	1	0	0.04313772104268826
0	1	0	0	2	2	0	1	1	2	1	0	0.04313772104268826
2	2	2	0	1	0	0	1	0	1	1	0	0.04313772104268826
0	0	1	0	2	2	2	2	2	2	1	0	0.04313772104268826
2	0	0	2	1	1	0	2	2	2	1	0	0.04313772104268826
0	0	0	0	2	1	2	0	2	2	1	0	0.04313772104268826
0	0	1	0	2	1	1	2	0	0	1	0	0.04313772104268826
1	0	1	0	0	0	0	1	0	2	1	0	0.04313772104268826
1	2	2	2	1	1	2	0	2	2	1	0	0.04313772104268826
0	2	2	2	2	0	1	2	0	1	1	0	0.04313772104268826
1	0	1	0	2	1	2	1	0	2	1	0	0.04313772104268826
2	2	1	2	1	0	0	1	1	0	1	0	0.04313772104268826
0	0	0	1	1	1	1	2	2	1	1	0	0.04313772104268826
0	0	0	1	0	1	2	2	1	1	1	0	0.04313772104268826
2	1	0	2	1	0	2	0	2	0	1	0	0.04313772104268826
0	1	0	0	0	0	0	2	1	2	1	0	0.04313772104268826
1	1	2	1	2	2	2	0	2	1	1	0	0.04313772104268826
2	1	0	1	0	1	0	2	1	0	1	0	0.04313772104268826
1	2	0	1	2	1	0	0	0	2	1	0	0.04313772104268826
2	2	1	1	1	0	0	0	1	0	1	0	0.04313772104268826
1	1	1	0	1	2	2	2	0	0	1	0	0.04313772104268826
1	0	1	0	0	0	0	1	2	1	1	0	0.04313772104268826
0	1	0	0	0	2	0	2	1	2	1	0	0.04313772104268826
2	1	1	1	1	0	0	1	1	1	1	0	0.04313772104268826
0	2	2	1	0	2	2	1	2	1	1	0	0.04313772104268826
0	1	2	0	1	2	2	0	1	1	1	0	0.04313772104268826
2	1	0	2	2	1	1	0	0	1	1	0	0.04313772104268826
0	2	1	2	1	0	0	2	1	1	1	0	0.04313772104268826
1	1	1	2	1	1	1	1	2	0	1	0	0.04313772104268826
1	2	1	1	2	2	1	2	1	0	1	0	0.04313772104268826
2	2	2	1	0	0	1	1	2	1	1	0	0.04313772104268826
1	1	0	1	0	1	2	2	0	0	1	0	0.04313772104268826
1	0	0	0	1	0	1	1	2	2	1	0	0.04313772104268826
2	2	2	0	1	0	1	1	2	0	1	0	0.04313772104268826
2	0	0	2	2	1	1	1	2	2	1	0	0.04313772104268826
2	2	0	1	0	1	1	1	1	1	1	0	0.04313772104268826
1	0	2	2	2	1	0	1	1	0	1	0	0.04313772104268826
2	0	1	1	0	2	1	2	2	1	1	0	0.04313772104268826
1	2	1	2	1	1	2	1	0	2	1	0	0.04313772104268826
0	2	1	2	2	0	1	2	0	0	1	0	0.04313772104268826
0	1	1	0	2	1	2	2	2	0	1	0	0.04313772104268826
2	1	2	0	2	0	1	1	0	2	1	0	0.04313772104268826
2	0	2	2	0	1	0	2	2	2	1	0	0.04313772104268826
