X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	1	2	0	2	1	1	0	1	0	0.0	0.07809477722864111
1	2	2	0	1	0	2	1	1	1	1	1.0	0.07809477722864111
0	1	2	1	1	0	2	0	2	1	0	0.0	0.09829116773244984
2	1	0	0	0	1	2	0	2	2	0	0.0	0.09829116773244984
0	1	0	0	1	2	2	1	1	2	1	1.0	0.1085282743860958
1	2	2	0	0	0	0	0	2	0	1	1.0	0.1085282743860958
2	0	1	0	1	0	2	1	0	1	1	1.0	0.1085282743860958
0	1	0	2	0	1	2	1	1	2	1	1.0	0.1085282743860958
1	1	0	2	1	0	2	1	0	1	0	0.0	0.1085282743860958
1	2	1	1	2	1	0	2	1	2	1	1.0	0.1085282743860958
2	0	0	1	2	2	0	0	1	1	0	0.0	0.1085282743860958
2	1	1	0	1	0	1	2	2	0	1	1.0	0.12192192640770039
0	2	2	1	0	1	1	0	0	2	0	0.0	0.12192192640770039
1	0	0	0	2	2	1	1	0	2	0	0.0	0.12192192640770039
0	0	2	0	1	1	2	1	0	1	1	1.0	0.12192192640770039
0	0	1	2	0	0	0	1	1	2	1	1.0	0.12192192640770039
0	1	0	2	1	1	2	0	0	2	0	0.0	0.15174054362846134
1	1	2	0	2	2	1	2	2	2	1	1.0	0.15174054362846134
1	1	0	1	0	1	1	1	0	2	0	0.0	0.15174054362846134
2	1	2	1	2	1	1	0	0	0	0	0.0	0.15174054362846134
0	0	2	2	2	0	1	1	2	2	0	0.0	0.15174054362846134
1	1	2	1	2	0	1	0	1	2	0	0.0	0.15174054362846134
1	0	1	0	1	2	1	1	1	1	1	1.0	0.16088704822370153
0	2	0	2	1	2	0	2	2	2	1	1.0	0.16088704822370153
2	1	2	2	0	1	1	0	0	1	0	0.0	0.16088704822370153
0	0	2	2	1	1	2	1	1	2	0	0.0	0.16088704822370153
2	0	0	1	0	0	2	2	1	1	1	1.0	0.17274890089041783
1	2	2	2	0	2	2	0	0	2	0	0.0	0.17274890089041783
1	0	1	0	0	1	1	0	2	0	1	1.0	0.1729592874642335
2	2	0	1	1	2	2	2	1	0	0	0.0	0.1729592874642335
2	1	1	2	1	0	1	0	0	0	1	1.0	0.1729592874642335
2	1	0	2	0	1	1	2	0	2	0	0.0	0.1729592874642335
0	1	1	2	1	1	0	0	1	2	1	1.0	0.1729592874642335
2	2	1	1	2	1	0	0	2	0	1	1.0	0.1729592874642335
2	0	0	2	1	0	2	2	1	0	1	1.0	0.17437124664199433
0	1	0	1	0	2	0	1	1	0	1	1.0	0.17437124664199433
0	2	1	0	1	1	2	2	0	2	0	0.0	0.17437124664199433
0	1	2	1	2	2	2	2	0	0	0	0.0	0.17437124664199433
1	0	1	1	1	0	1	2	0	2	1	1.0	0.17437124664199433
2	2	0	2	1	2	2	0	0	1	0	0.0	0.17437124664199433
0	0	2	2	1	1	1	1	1	2	0	0.0	0.20054438942988217
0	1	2	2	0	2	2	2	0	2	0	0.0	0.20054438942988217
0	2	2	2	1	2	1	1	2	0	1	1.0	0.20054438942988217
1	1	0	2	0	0	1	2	1	2	0	0.0	0.20054438942988217
1	2	2	0	1	0	2	2	1	2	0	0.0	0.20054438942988217
2	0	0	2	2	1	0	2	1	1	1	1.0	0.20054438942988217
2	0	0	2	2	0	2	1	2	1	0	0.0	0.20054438942988217
1	0	1	0	1	1	1	1	2	2	1	1.0	0.20054438942988217
1	0	2	1	2	1	2	1	1	2	0	0.0	0.20054438942988217
1	2	2	0	1	0	2	2	0	1	1	1.0	0.20054438942988217
2	1	1	0	1	1	1	2	0	0	0	0.0	0.20054438942988217
1	0	0	0	1	2	0	2	0	1	1	1.0	0.20054438942988217
1	1	2	1	1	1	2	0	1	1	0	0.0	0.20054438942988217
0	0	0	1	2	1	2	2	0	1	1	1.0	0.20054438942988217
0	1	1	1	1	0	0	2	2	2	0	0.0	0.20054438942988217
2	2	1	0	2	2	0	0	0	1	0	0.0	0.20054438942988217
0	2	2	1	0	1	2	2	0	1	1	1.0	0.20054438942988217
1	2	0	0	0	2	0	2	0	2	0	0.0	0.2021677266888675
2	2	2	1	2	1	1	0	2	2	0	0.0	0.2021677266888675
0	1	0	2	0	0	0	0	2	0	1	1.0	0.2021677266888675
2	0	1	0	0	2	2	0	2	1	0	0.0	0.2021677266888675
2	1	2	1	2	2	1	1	1	2	1	1.0	0.2021677266888675
2	2	0	0	2	1	0	2	0	2	1	1.0	0.2021677266888675
0	0	2	1	2	0	1	0	2	2	0	0.0	0.2021677266888675
0	2	0	0	2	2	1	1	0	0	1	1.0	0.2021677266888675
2	2	1	1	0	2	2	2	2	0	0	0.0	0.2021677266888675
1	0	0	2	1	1	1	0	1	1	1	1.0	0.2021677266888675
0	1	0	1	1	1	0	1	1	2	1	1.0	0.2021677266888675
2	2	0	1	1	0	0	0	2	2	1	1.0	0.2021677266888675
1	0	2	1	1	1	0	0	2	2	0	0.0	0.2021677266888675
0	0	0	1	2	2	2	1	1	0	1	1.0	0.2021677266888675
0	2	1	1	0	1	1	2	2	0	1	1.0	0.2021677266888675
1	2	2	1	0	0	2	1	1	2	1	1.0	0.2021677266888675
2	1	2	1	1	2	1	1	0	0	0	0.0	0.2021677266888675
0	2	2	2	1	0	1	0	1	0	1	1.0	0.2021677266888675
1	1	0	1	2	1	2	0	0	0	0	0.0	0.2021677266888675
2	0	1	0	0	2	2	2	1	1	1	1.0	0.2021677266888675
1	0	2	0	1	0	2	1	0	1	1	1.0	0.2021677266888675
1	0	2	0	0	0	2	0	0	2	1	1.0	0.2021677266888675
0	2	1	2	0	0	2	0	0	1	1	1.0	0.2021677266888675
0	1	2	2	2	0	1	0	0	0	1	1.0	0.2021677266888675
2	1	2	2	1	0	2	2	2	0	0	0.0	0.2021677266888675
0	1	0	1	2	2	0	2	1	0	0	0.0	0.2021677266888675
2	0	0	1	2	1	1	0	2	1	0	0.0	0.2021677266888675
2	2	0	1	1	2	1	0	1	2	1	1.0	0.2021677266888675
0	1	1	0	2	1	1	0	2	2	1	1.0	0.2021677266888675
2	2	2	1	0	0	0	0	1	1	0	0.0	0.2021677266888675
2	0	0	0	2	2	0	2	2	0	1	1.0	0.2021677266888675
1	2	1	1	2	2	1	1	1	2	0	0.0	0.2021677266888675
1	0	0	1	1	1	2	0	1	1	1	1.0	0.2070504394613426
0	1	2	0	2	1	1	1	2	0	0	0.0	0.2070504394613426
2	0	1	2	0	2	1	2	0	2	0	0.0	0.2070504394613426
0	2	0	2	0	0	2	2	2	2	1	1.0	0.2070504394613426
0	1	0	0	1	0	2	2	2	1	0	0.0	0.2070504394613426
1	1	0	2	0	0	1	0	1	0	1	1.0	0.2070504394613426
1	0	1	1	0	2	1	1	0	0	0	0.0	0.2070504394613426
2	2	2	1	0	0	2	1	0	1	1	1.0	0.2070504394613426
2	1	0	2	1	0	2	1	2	1	0	0.0	0.2070504394613426
2	0	1	1	1	0	0	2	1	2	1	1.0	0.2070504394613426
0	0	2	1	2	2	2	1	1	0	0	0.0	0.20849227042419194
1	1	2	1	1	2	0	0	1	1	0	0.0	0.20849227042419194
2	0	1	2	1	2	2	2	2	0	1	1.0	0.20849227042419194
1	1	1	0	0	1	2	2	0	2	1	1.0	0.20849227042419194
0	1	1	2	2	2	2	2	2	1	0	0.0	0.20849227042419194
1	1	0	2	0	2	0	0	1	0	1	1.0	0.20849227042419194
1	0	1	1	0	2	1	0	1	2	1	1.0	0.20849227042419194
1	1	1	0	1	0	1	0	0	2	0	0.0	0.20849227042419194
2	0	0	1	1	0	2	0	1	0	0	0.0	0.20849227042419194
1	1	0	0	1	1	1	0	0	1	0	0.0	0.20849227042419194
0	2	2	1	0	0	2	1	2	0	1	1.0	0.20849227042419194
1	2	1	0	2	2	2	2	2	0	1	1.0	0.20849227042419194
2	1	0	2	0	1	1	2	0	0	0	0.0	0.20849227042419194
2	2	0	1	2	1	1	2	1	0	0	0.0	0.20849227042419194
1	2	2	0	2	0	1	1	0	2	0	0.0	0.20849227042419194
2	2	1	0	0	0	1	2	2	0	0	0.0	0.20849227042419194
1	1	0	0	2	2	0	0	0	1	0	0.0	0.20849227042419194
1	2	0	0	0	2	1	1	1	2	0	0.0	0.20849227042419194
1	0	0	2	1	1	2	2	2	0	0	0.0	0.20849227042419194
2	2	0	2	0	0	2	2	2	1	0	0.0	0.20849227042419194
1	1	0	2	1	0	2	0	0	2	0	0.0	0.20849227042419194
2	2	0	0	2	0	1	2	1	2	0	0.0	0.20849227042419194
0	0	2	1	2	0	1	1	0	2	1	1.0	0.20849227042419194
2	0	1	2	2	2	1	1	2	0	0	0.0	0.20849227042419194
1	1	2	1	1	0	1	2	2	1	1	1.0	0.20849227042419194
0	0	2	0	2	0	0	1	0	2	1	1.0	0.20849227042419194
2	1	0	0	1	0	1	0	0	1	1	1.0	0.20849227042419194
1	0	1	0	2	1	0	2	2	1	0	0.0	0.20849227042419194
2	1	2	1	1	1	1	0	2	2	1	1.0	0.20849227042419194
1	0	0	2	1	1	0	0	2	1	1	1.0	0.20849227042419194
2	0	2	1	2	2	2	2	1	2	0	0.0	0.20849227042419194
1	2	1	1	1	1	2	1	2	1	0	0.0	0.20849227042419194
2	2	2	1	1	1	2	1	1	0	0	0.0	0.20849227042419194
1	1	2	0	0	0	1	1	0	0	1	1.0	0.20849227042419194
0	2	0	0	2	2	2	2	0	0	0	0.0	0.20849227042419194
2	1	1	2	2	2	2	1	0	1	1	1.0	0.20849227042419194
0	2	0	0	2	2	0	2	2	0	1	1.0	0.20849227042419194
2	0	1	0	0	0	2	1	2	2	0	0.0	0.20849227042419194
1	1	2	0	1	1	2	0	1	2	0	0.0	0.20849227042419194
2	1	1	0	2	0	0	0	1	2	0	0.0	0.20873850779231362
2	0	2	2	1	0	0	2	1	2	0	0.0	0.20873850779231362
0	1	0	0	0	2	2	0	0	1	0	0.0	0.20873850779231362
0	2	1	0	0	2	2	0	2	0	0	0.0	0.20873850779231362
0	2	2	0	2	1	1	1	2	1	1	1.0	0.20873850779231362
2	0	1	2	1	0	2	2	2	0	1	1.0	0.20873850779231362
0	1	0	2	1	0	1	1	2	1	1	1.0	0.20873850779231362
1	0	0	1	1	0	0	1	2	0	1	1.0	0.20873850779231362
0	0	1	2	1	1	1	0	0	2	0	0.0	0.21957890044552414
2	0	0	1	0	2	1	2	2	0	1	1.0	0.21957890044552414
2	0	0	0	2	0	2	2	2	2	1	1.0	0.21957890044552414
0	1	1	2	1	2	0	2	1	0	0	0.0	0.21957890044552414
2	0	1	2	1	1	0	1	0	0	1	1.0	0.21957890044552414
2	0	2	1	1	1	0	2	2	1	0	0.0	0.21957890044552414
0	0	2	1	1	1	2	0	0	1	1	1.0	0.21957890044552414
2	2	1	0	0	1	1	0	2	0	1	1.0	0.21957890044552414
1	1	1	2	1	1	2	1	1	0	1	1.0	0.21957890044552414
1	2	2	2	1	2	2	1	1	1	1	1.0	0.21957890044552414
2	1	1	0	2	1	0	1	1	0	0	0.0	0.21957890044552414
0	1	2	2	2	2	2	2	2	1	1	1.0	0.21957890044552414
1	2	0	1	1	2	2	0	2	0	0	0.0	0.21957890044552414
0	2	0	2	1	0	2	2	0	2	0	0.0	0.21957890044552414
1	2	2	2	0	0	1	2	2	0	0	0.0	0.21957890044552414
1	2	1	0	1	0	2	1	2	0	0	0.0	0.21957890044552414
0	2	1	0	2	2	0	0	1	2	0	0.0	0.21957890044552414
2	1	1	1	0	0	1	1	1	2	0	0.0	0.21957890044552414
2	2	2	2	2	0	1	2	2	0	1	1.0	0.21957890044552414
0	2	0	2	0	0	1	1	0	2	1	1.0	0.21957890044552414
2	2	1	2	2	2	1	2	0	0	1	1.0	0.21957890044552414
1	1	2	0	2	2	2	0	1	0	0	0.0	0.21957890044552414
0	1	0	1	2	1	1	0	0	1	0	0.0	0.21957890044552414
1	1	2	2	1	1	2	2	1	2	1	1.0	0.21957890044552414
1	0	0	1	0	0	1	1	0	0	0	0.0	0.21957890044552414
2	0	1	0	0	0	2	0	1	1	0	0.0	0.21957890044552414
