X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	2	1	0	2	1	0	0	0	2	0	80	0.11230062204750102
1	0	0	0	0	0	0	0	0	0	1	84	0.11696533074838944
0	0	0	2	0	2	1	0	0	0	1	86	0.1342348130418829
1	2	0	0	2	2	0	1	0	2	0	79	0.1342348130418829
0	0	1	2	0	0	1	0	2	0	1	83	0.1342348130418829
0	2	2	2	0	1	0	0	1	2	1	83	0.1342348130418829
1	2	2	0	0	0	1	1	0	2	0	80	0.1342348130418829
2	1	0	2	1	1	0	2	1	0	1	83	0.1342348130418829
2	1	2	2	1	1	2	0	1	1	1	85	0.1342348130418829
2	0	1	2	2	0	2	2	0	1	1	82	0.13499920954319056
2	0	0	1	2	2	0	1	2	0	1	83	0.13499920954319056
0	1	0	0	2	1	1	2	1	1	0	76	0.13499920954319056
0	0	0	0	2	1	1	1	2	1	0	78	0.13499920954319056
0	0	1	0	1	2	1	1	2	0	0	81	0.13499920954319056
1	1	2	1	0	0	2	1	0	0	1	84	0.13499920954319056
0	1	2	1	2	0	2	1	0	0	0	81	0.1364936413533041
1	2	0	2	0	2	1	2	0	1	1	82	0.1364936413533041
0	0	1	1	2	1	0	1	2	2	0	79	0.1364936413533041
1	0	2	1	1	1	2	1	0	0	1	85	0.1364936413533041
1	2	1	0	0	1	1	2	1	0	0	80	0.1370277214423734
0	1	2	1	2	0	2	1	0	1	0	80	0.1370277214423734
0	0	1	2	1	2	1	0	2	2	1	83	0.14102411682536053
0	2	2	0	0	2	1	1	1	0	1	82	0.15400609223522677
0	1	1	1	2	0	1	2	0	2	0	77	0.15400609223522677
2	1	2	2	2	1	2	1	2	1	1	82	0.15657798342109464
0	2	0	0	1	2	0	2	0	0	0	80	0.15657798342109464
2	1	2	0	1	0	2	1	0	2	0	81	0.15657798342109464
2	2	0	2	1	2	0	1	0	1	1	84	0.15657798342109464
1	0	2	1	2	2	2	1	2	2	0	81	0.16961755355836494
