X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	2	1	0	2	0	1	0	0	1	0	1	0.03515402663755951
2	0	2	1	2	1	1	2	0	0	1	1	0.04542250446941176
1	0	1	1	1	0	1	1	2	2	1	1	0.049775337657680274
2	1	2	1	2	1	1	1	2	2	1	1	0.05337555508721292
2	2	2	2	2	0	0	2	2	0	1	1	0.05337555508721292
2	2	1	2	2	1	1	2	1	0	1	1	0.05337555508721292
2	1	0	0	0	0	0	2	2	0	1	1	0.05676283907929647
0	0	0	0	0	2	2	2	0	1	1	1	0.057138629467508195
1	2	2	0	2	0	2	2	1	1	1	1	0.057138629467508195
0	0	1	2	1	0	0	1	2	0	1	1	0.06513588880697191
0	0	0	2	1	0	1	1	2	2	0	0	0.06513588880697191
0	1	2	2	2	2	0	1	0	2	1	1	0.06513588880697191
0	2	0	1	2	0	1	2	2	2	1	1	0.06931355713483184
0	1	1	2	2	2	2	0	2	0	1	1	0.06931355713483184
2	2	2	1	0	2	0	1	1	2	1	1	0.06931355713483184
0	2	0	0	1	1	1	1	0	0	0	0	0.06931355713483184
2	1	0	2	0	2	2	1	1	0	1	1	0.06931355713483184
0	1	2	1	0	1	1	1	1	0	1	1	0.06931355713483184
1	1	0	1	0	1	0	0	0	0	1	1	0.06931355713483184
1	1	0	2	2	0	0	1	0	1	1	1	0.06931355713483184
1	0	2	1	1	2	0	1	0	1	1	1	0.06979967120778696
1	0	0	2	1	0	2	0	2	2	1	1	0.06979967120778696
1	2	2	0	2	0	2	1	1	2	1	1	0.06979967120778696
1	0	0	2	0	2	1	1	0	0	1	1	0.06979967120778696
2	2	1	2	2	1	0	1	0	2	1	1	0.07100917962378528
2	1	0	2	0	0	1	0	2	1	1	1	0.07100917962378528
1	1	0	2	0	2	0	0	1	0	0	0	0.07100917962378528
0	0	0	0	1	0	1	2	0	1	0	0	0.07100917962378528
2	2	2	1	2	1	0	0	0	1	1	1	0.07100917962378528
2	2	2	1	1	0	1	1	0	2	1	1	0.07100917962378528
2	1	1	0	1	2	2	0	2	1	1	1	0.07100917962378528
2	0	0	2	1	0	0	0	1	1	1	1	0.07100917962378528
1	0	0	1	1	0	1	0	0	1	1	1	0.07100917962378528
0	2	0	0	2	2	2	2	2	1	1	1	0.07100917962378528
2	0	1	1	2	1	1	1	1	2	1	1	0.07100917962378528
