X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	0	0	2	0	1	0	2	2	0	1	0.08141671373377435
2	2	2	0	2	0	0	0	2	2	1	1	0.08141671373377435
0	2	0	2	0	0	1	1	2	0	1	1	0.08141671373377435
1	2	2	0	1	2	1	0	1	2	1	1	0.08222084228167892
2	0	1	0	1	2	2	1	2	1	1	1	0.08280161117737883
2	2	2	0	0	2	0	2	0	0	0	0	0.0914738571963083
0	0	1	1	1	0	2	1	0	1	1	1	0.09357998124920419
1	0	2	2	0	1	0	2	1	0	1	1	0.09357998124920419
2	2	2	2	1	1	1	1	0	0	1	1	0.09599656501021825
1	0	1	0	1	1	1	1	2	2	1	1	0.10660027264489125
0	1	1	0	1	2	0	0	2	1	0	0	0.10660027264489125
1	0	1	1	0	0	0	2	2	2	1	1	0.10660027264489125
1	0	1	2	2	1	1	1	2	1	1	1	0.10660027264489125
0	2	0	1	0	1	2	1	2	2	1	1	0.10660027264489125
1	0	2	2	1	1	1	1	0	2	0	0	0.10660027264489125
0	0	1	2	0	1	2	1	1	1	1	1	0.10660027264489125
0	2	2	1	2	2	2	0	0	2	1	1	0.10660027264489125
1	2	2	0	1	2	0	2	0	1	1	1	0.10660027264489125
1	2	2	0	0	0	0	1	1	2	1	1	0.10660027264489125
0	0	2	2	0	1	1	1	1	0	1	1	0.10660027264489125
0	2	2	2	1	0	2	1	0	1	1	1	0.10660027264489125
2	1	2	1	0	2	0	0	0	0	0	0	0.10660027264489125
0	2	2	1	2	2	1	0	0	0	0	0	0.10660027264489125
2	2	1	1	0	0	0	0	1	2	1	1	0.10660027264489125
0	0	0	1	0	0	0	2	0	1	1	1	0.10660027264489125
1	0	1	1	2	2	1	0	2	1	0	0	0.10660027264489125
2	2	2	2	2	0	1	1	2	0	1	1	0.10660027264489125
0	0	1	1	2	1	0	2	2	1	1	1	0.10660027264489125
0	0	2	2	0	1	1	0	0	0	1	1	0.10660027264489125
2	1	2	0	2	1	2	1	2	0	1	1	0.10660027264489125
2	2	1	1	2	1	0	0	2	1	1	1	0.11617625058504488
1	2	0	2	2	0	0	1	2	1	1	1	0.11617625058504488
1	1	0	0	0	1	2	2	0	2	1	1	0.11617625058504488
0	0	1	0	1	2	2	2	2	2	1	1	0.11617625058504488
0	2	0	2	1	2	0	0	2	1	0	0	0.11617625058504488
1	2	1	1	2	2	0	1	1	2	0	0	0.11617625058504488
1	0	2	0	2	2	1	1	0	1	0	0	0.11617625058504488
