X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	0	1	0	0	0	0	2	0	1	1.0	0.006820335242753273
1	2	2	1	1	0	2	1	2	1	1	1.0	0.009744678783617844
2	0	2	0	2	1	1	0	0	1	0	0.0	0.01908057155275511
0	1	1	2	0	2	1	0	1	1	0	0.0	0.025618275035524607
2	1	2	1	0	1	2	0	2	1	0	0.0	0.030089825548886617
1	0	2	0	0	2	1	2	2	2	1	2.0	0.030089825548886617
1	2	1	2	1	2	0	2	2	2	1	1.0	0.030089825548886617
1	2	1	0	1	1	1	1	1	2	1	2.0	0.030089825548886617
0	0	2	0	2	1	1	0	0	1	1	3.0	0.035393971009268554
2	1	0	2	0	0	0	2	0	1	0	-4.0	0.035393971009268554
0	1	0	2	0	2	1	0	1	0	1	0.0	0.035393971009268554
2	1	0	0	1	0	1	0	2	1	1	2.0	0.035393971009268554
0	2	2	1	0	2	2	0	2	2	1	3.0	0.035393971009268554
0	1	2	1	0	1	1	2	2	0	1	0.0	0.035393971009268554
1	0	0	1	1	1	2	0	0	0	1	0.0	0.035393971009268554
0	1	1	0	0	0	2	0	0	1	1	0.0	0.035393971009268554
0	0	1	1	0	1	1	0	2	2	1	0.0	0.035393971009268554
1	2	2	0	2	1	2	0	2	0	1	0.0	0.035393971009268554
2	1	2	2	0	1	2	0	2	0	1	-0.0	0.037046204823018236
2	2	0	0	1	1	1	1	2	1	1	2.0	0.037046204823018236
2	2	1	2	0	1	0	2	0	1	1	-0.0	0.037046204823018236
0	2	1	0	2	1	1	2	1	0	1	4.0	0.037046204823018236
0	1	1	1	1	2	1	2	1	2	1	3.0	0.037046204823018236
0	2	2	2	1	1	0	1	1	0	0	0.0	0.037046204823018236
1	2	0	0	1	2	2	1	1	0	0	0.0	0.037046204823018236
1	2	0	1	0	0	2	0	0	1	0	-0.0	0.037046204823018236
1	2	0	1	1	1	2	2	1	2	1	1.0	0.037046204823018236
0	0	2	0	2	1	0	2	0	2	1	3.0	0.037046204823018236
0	0	0	1	0	1	0	2	0	2	0	0.0	0.037046204823018236
2	1	2	2	0	1	0	0	1	1	0	-0.0	0.037046204823018236
0	1	0	1	2	2	2	1	0	2	0	0.0	0.04666554111804766
0	2	0	0	0	0	1	1	0	0	1	1.0	0.04666554111804766
2	1	0	1	1	2	0	2	2	0	0	0.0	0.04666554111804766
2	2	0	2	2	0	2	2	2	1	0	0.0	0.04666554111804766
2	1	1	1	0	2	0	2	2	0	0	0.0	0.04666554111804766
1	1	1	2	2	1	1	0	1	0	0	0.0	0.04666554111804766
2	0	2	0	2	1	2	1	0	2	1	1.0	0.04666554111804766
1	0	1	0	0	1	1	0	1	2	0	0.0	0.04666554111804766
1	0	2	2	2	1	1	0	1	2	0	0.0	0.04666554111804766
2	1	2	1	1	0	2	1	0	1	0	-2.0	0.04666554111804766
0	2	1	1	2	0	0	2	2	2	1	3.0	0.04666554111804766
2	1	0	0	1	2	1	0	1	1	1	1.0	0.04666554111804766
1	0	2	0	2	1	2	0	1	1	0	0.0	0.04666554111804766
2	1	1	2	1	2	0	2	1	0	0	-1.0	0.04666554111804766
0	0	1	0	1	0	1	0	2	1	0	0.0	0.04666554111804766
2	1	1	1	0	0	1	1	2	1	0	-1.0	0.04666554111804766
2	1	2	0	1	2	2	1	0	0	0	0.0	0.04666554111804766
0	2	2	1	0	1	1	0	2	1	1	0.0	0.04666554111804766
0	2	0	0	1	0	0	1	2	0	1	4.0	0.04666554111804766
1	2	2	1	0	0	0	0	2	1	1	0.0	0.04666554111804766
2	1	0	2	1	0	2	2	1	0	0	-2.0	0.04666554111804766
2	0	1	1	1	2	0	1	2	2	1	2.0	0.04666554111804766
1	0	1	2	1	0	2	2	2	1	1	0.0	0.04666554111804766
2	0	0	2	1	0	1	0	1	2	0	-2.0	0.04666554111804766
0	0	1	0	0	1	1	2	2	2	1	3.0	0.04666554111804766
2	0	0	2	1	2	1	1	2	2	1	0.0	0.04666554111804766
1	0	1	0	1	0	0	0	2	1	1	3.0	0.04716142594384465
2	0	0	0	2	0	1	1	1	1	1	0.0	0.04716142594384465
0	0	1	0	2	0	2	1	2	2	1	5.0	0.04716142594384465
2	0	0	2	0	2	1	2	2	2	0	-1.0	0.053447760862842086
2	0	1	0	2	0	2	1	2	0	1	0.0	0.053447760862842086
1	0	0	2	1	0	0	1	2	2	1	0.0	0.053447760862842086
1	2	0	1	2	0	2	0	2	2	1	0.0	0.053447760862842086
1	2	1	1	2	2	0	0	2	1	1	0.0	0.053447760862842086
