X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	0	2	1	0	1	1	0	1	0	0	0.14500134788811203
2	0	1	1	0	2	0	2	2	0	0	0	0.14500134788811203
2	0	2	1	1	0	2	1	2	2	0	0	0.16860089850328575
1	1	0	2	2	1	2	0	1	0	1	1	0.16860089850328575
0	1	2	2	2	0	1	0	1	1	0	0	0.1747046605425151
1	0	2	2	2	2	1	2	2	1	1	1	0.1747046605425151
2	2	0	0	2	2	1	1	0	2	1	1	0.20499954037324897
2	2	0	1	0	2	1	0	0	1	0	0	0.20499954037324897
1	1	1	0	1	0	0	1	1	0	1	1	0.20499954037324897
0	1	1	1	2	0	0	1	2	2	1	1	0.20499954037324897
2	1	0	0	1	2	1	2	2	0	1	1	0.232482298168337
2	1	0	0	2	2	2	1	0	2	1	1	0.232482298168337
0	0	0	0	2	0	0	1	2	0	0	0	0.232482298168337
0	2	0	2	0	0	1	1	2	0	0	0	0.232482298168337
0	1	1	2	0	1	2	0	0	1	0	0	0.232482298168337
0	1	2	0	0	2	0	1	1	0	0	0	0.232482298168337
0	1	0	2	2	0	1	0	0	1	0	0	0.232482298168337
1	0	1	0	0	0	0	1	0	1	1	1	0.232482298168337
0	0	2	2	1	1	1	0	1	2	1	1	0.232482298168337
0	2	0	0	1	2	1	1	1	1	0	0	0.232482298168337
0	1	1	2	0	0	2	1	1	2	1	1	0.232482298168337
2	1	1	1	2	0	0	1	2	2	1	1	0.232482298168337
1	1	1	2	1	0	0	1	0	2	0	0	0.23447692324298652
1	2	2	1	1	0	0	0	2	2	1	1	0.23447692324298652
0	2	2	1	1	1	1	2	1	0	1	1	0.23447692324298652
0	1	0	0	2	1	0	2	1	2	1	1	0.23447692324298652
0	0	1	1	2	1	1	2	2	0	0	0	0.23447692324298652
1	0	0	1	1	2	0	1	1	2	0	0	0.23447692324298652
2	0	2	0	0	1	2	2	1	0	0	0	0.23447692324298652
0	1	2	2	2	2	1	2	1	2	1	1	0.23447692324298652
2	1	0	0	1	0	1	0	2	1	1	1	0.23447692324298652
2	2	0	2	0	0	1	1	1	2	1	1	0.23447692324298652
2	1	1	2	1	2	1	2	1	1	0	0	0.23447692324298652
2	2	2	2	2	0	2	0	0	0	1	1	0.23447692324298652
2	2	2	1	0	1	0	0	2	1	0	0	0.23447692324298652
0	2	2	2	0	1	0	0	2	0	1	1	0.23447692324298652
2	0	0	0	1	2	0	0	1	1	1	1	0.23447692324298652
1	2	2	1	0	1	0	1	1	2	1	1	0.23447692324298652
1	2	2	1	2	0	1	0	1	2	0	0	0.23447692324298652
1	0	1	1	0	0	1	1	2	2	1	1	0.23447692324298652
1	0	0	0	1	0	1	2	1	1	0	0	0.23447692324298652
2	1	0	2	1	2	1	0	0	1	1	1	0.23447692324298652
2	1	0	0	0	2	2	2	2	2	1	1	0.23447692324298652
1	1	0	2	2	2	1	1	2	0	0	0	0.23447692324298652
1	2	2	2	2	0	1	1	2	2	1	1	0.23447692324298652
0	1	0	2	1	1	1	2	0	1	0	0	0.23447692324298652
0	0	0	0	0	1	2	2	2	0	0	0	0.23447692324298652
2	1	1	2	1	2	2	1	2	0	1	1	0.23447692324298652
0	2	0	2	2	2	1	1	0	0	0	0	0.23447692324298652
0	2	0	0	2	2	0	0	2	1	0	0	0.23447692324298652
0	2	2	1	2	2	1	0	1	0	1	1	0.23447692324298652
2	1	1	1	2	1	2	0	2	2	0	0	0.23447692324298652
2	0	2	1	2	0	0	2	0	2	1	1	0.23447692324298652
1	0	2	2	2	0	2	0	1	1	0	0	0.23447692324298652
1	1	0	1	0	1	2	0	2	1	0	0	0.23447692324298652
1	0	2	1	0	1	0	1	0	2	1	1	0.23447692324298652
2	2	1	1	0	2	0	1	0	0	0	0	0.23447692324298652
2	2	1	2	0	1	2	0	1	1	0	0	0.23447692324298652
2	0	1	0	0	0	2	1	1	0	0	0	0.23447692324298652
1	0	1	1	0	1	2	2	1	0	0	0	0.23447692324298652
0	1	2	1	2	2	1	1	0	1	1	1	0.23447692324298652
0	1	1	0	2	1	2	0	2	0	1	1	0.23447692324298652
1	1	0	2	0	1	2	1	0	0	0	0	0.23447692324298652
2	1	0	1	2	0	0	2	1	2	1	1	0.23447692324298652
2	0	1	1	0	1	2	2	0	2	1	1	0.23447692324298652
1	0	2	1	1	2	2	1	1	0	1	1	0.23447692324298652
0	0	0	0	0	1	1	2	2	2	1	1	0.23447692324298652
1	2	2	0	1	0	1	1	0	1	0	0	0.23447692324298652
1	1	0	2	0	1	2	2	1	2	1	1	0.23447692324298652
0	2	0	0	2	2	1	1	0	0	0	0	0.23447692324298652
2	2	2	0	2	0	1	1	0	1	1	1	0.23447692324298652
0	0	1	0	1	1	1	0	1	1	1	1	0.23447692324298652
1	0	2	0	1	1	2	2	1	0	1	1	0.23447692324298652
1	1	2	2	2	1	1	2	2	2	1	1	0.23447692324298652
2	0	1	2	1	1	2	1	0	1	0	0	0.23447692324298652
1	2	1	2	0	2	2	1	1	1	1	1	0.23447692324298652
1	1	2	0	0	1	0	1	1	2	1	1	0.23447692324298652
1	2	0	0	1	2	0	1	2	0	1	1	0.23447692324298652
1	0	2	1	1	1	1	2	1	0	1	1	0.23447692324298652
2	0	1	2	0	2	0	2	2	2	1	1	0.23447692324298652
2	0	2	0	2	1	2	1	1	1	1	1	0.23447692324298652
2	0	1	2	1	2	1	1	1	0	1	1	0.23447692324298652
0	0	1	2	1	0	1	0	0	0	0	0	0.23447692324298652
2	2	0	1	1	1	1	0	1	2	1	1	0.23447692324298652
2	1	1	2	2	2	1	1	0	2	1	1	0.23447692324298652
0	1	1	1	1	2	1	2	0	0	1	1	0.23447692324298652
2	2	0	0	1	0	1	0	2	1	1	1	0.23447692324298652
1	1	1	0	1	1	2	1	2	1	0	0	0.23508632760781956
2	1	1	2	0	1	2	2	2	0	0	0	0.23508632760781956
1	2	1	0	1	2	0	0	2	1	1	1	0.23508632760781956
1	0	2	0	1	0	2	0	0	2	1	1	0.23508632760781956
1	0	1	0	1	1	0	2	0	0	1	1	0.23508632760781956
0	1	0	2	1	1	1	0	0	1	1	1	0.23508632760781956
1	2	2	0	2	1	2	0	2	0	1	1	0.23508632760781956
0	2	2	0	0	2	2	0	1	0	1	1	0.2390191920949637
0	1	2	2	0	1	1	1	1	1	1	1	0.2390191920949637
1	0	1	0	0	1	0	0	0	0	1	1	0.2390191920949637
1	1	0	2	1	2	0	2	2	2	0	0	0.2390191920949637
1	0	1	0	0	0	2	0	0	0	1	1	0.2390191920949637
0	2	2	2	1	1	2	1	0	2	0	0	0.2390191920949637
2	0	1	2	2	2	1	2	2	1	1	1	0.2390191920949637
1	1	2	1	0	1	2	1	2	2	1	1	0.2390191920949637
2	2	0	1	0	0	0	0	2	0	1	1	0.2390191920949637
1	0	0	1	0	0	2	0	1	2	0	0	0.2390191920949637
1	1	0	2	0	1	2	0	2	0	1	1	0.2390191920949637
2	0	1	2	1	1	0	1	0	2	0	0	0.2390191920949637
2	1	2	0	0	2	1	1	2	0	0	0	0.2390191920949637
2	1	2	2	2	0	0	0	0	1	0	0	0.2390191920949637
