X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	2	1	2	1	0	2	0	2	1	1	0.14500252223699384
1	1	0	1	2	1	0	1	2	2	0	0	0.14500252223699384
0	1	0	1	0	0	1	2	2	1	0	0	0.14500252223699384
1	2	1	2	0	1	1	0	1	1	0	0	0.14500252223699384
1	1	2	1	1	1	1	1	2	2	1	1	0.15041862789859695
0	2	0	1	0	1	2	0	2	0	0	0	0.1528124804365265
2	2	0	1	1	2	1	0	1	1	0	0	0.2210708702169325
0	1	0	0	0	1	1	1	1	1	1	1	0.2210708702169325
2	2	2	2	1	1	0	1	1	0	0	0	0.2210708702169325
0	1	2	2	1	0	2	2	1	0	0	0	0.2210708702169325
0	1	0	1	0	0	0	1	2	0	1	1	0.2210708702169325
2	0	2	2	2	2	1	0	2	0	0	0	0.2210708702169325
1	0	2	2	2	0	0	0	0	1	1	1	0.2210708702169325
2	0	1	2	1	0	2	0	0	2	0	0	0.22599348367629746
2	2	1	0	0	2	2	2	2	1	1	1	0.22599348367629746
1	1	1	0	1	0	0	0	1	1	0	0	0.22599348367629746
0	1	2	2	1	2	0	0	2	0	1	1	0.22599348367629746
0	2	0	0	0	2	2	0	0	0	1	1	0.22599348367629746
1	2	0	1	0	0	0	0	2	0	0	0	0.22599348367629746
2	0	1	0	2	1	0	0	0	2	0	0	0.22599348367629746
0	0	1	1	0	1	2	2	0	0	0	0	0.2733072229545511
2	1	0	2	0	2	1	0	2	0	0	0	0.2733072229545511
2	1	1	2	0	1	1	2	1	2	1	1	0.2733072229545511
2	2	0	2	2	1	1	2	0	2	0	0	0.30327427962392106
2	0	2	1	2	0	1	2	1	2	0	0	0.30327427962392106
0	0	2	0	2	2	2	2	2	0	1	1	0.30327427962392106
2	2	1	2	2	2	2	0	2	0	0	0	0.30327427962392106
0	2	2	1	0	0	1	1	2	1	0	0	0.30327427962392106
2	2	1	2	2	1	2	0	1	1	0	0	0.30327427962392106
