X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	1	1	0	1	2	2	1	1	1	1	0.376750700326807
2	0	1	2	0	2	1	2	0	2	1	1	0.376750700326807
2	0	1	2	0	1	0	1	0	0	0	0	0.376750700326807
2	0	0	2	1	0	0	2	0	1	1	1	0.376750700326807
0	2	1	1	0	1	2	0	1	2	1	1	0.40783110989302473
1	1	1	2	0	1	0	2	1	1	1	1	0.40783110989302473
1	0	2	1	2	2	0	1	2	0	1	1	0.40783110989302473
2	0	0	2	2	0	2	1	2	0	1	1	0.40783110989302473
0	2	0	0	1	2	0	1	2	0	1	1	0.40783110989302473
1	1	0	1	0	0	0	2	1	1	0	0	0.4249493516724525
0	2	0	2	2	1	0	0	2	1	0	0	0.4249493516724525
0	0	1	2	1	2	0	1	1	1	0	0	0.4249493516724525
2	1	0	1	2	2	0	1	1	0	0	0	0.4249493516724525
0	0	2	0	1	1	0	2	0	1	0	0	0.4249493516724525
1	0	2	0	0	2	1	0	0	0	1	1	0.4249493516724525
1	2	0	0	0	0	2	1	1	0	0	0	0.4249493516724525
1	0	1	0	1	1	0	0	2	0	0	0	0.4249493516724525
1	1	2	2	1	1	1	0	0	2	0	0	0.4249493516724525
0	1	2	0	2	2	2	2	1	0	0	0	0.4249493516724525
2	2	0	0	0	0	0	1	1	0	0	0	0.4249493516724525
0	2	0	1	0	0	2	0	2	2	1	1	0.4249493516724525
0	2	1	2	2	1	0	0	1	0	1	1	0.4249493516724525
1	2	1	1	1	0	1	0	1	1	1	1	0.4249493516724525
2	0	2	0	0	0	0	2	1	1	0	0	0.4249493516724525
0	1	2	0	2	2	0	0	2	0	1	1	0.4249493516724525
0	2	1	1	0	2	0	0	1	0	0	0	0.4249493516724525
0	2	1	1	2	1	0	2	0	1	0	0	0.4249493516724525
2	1	1	2	1	0	1	1	2	2	0	0	0.4249493516724525
1	1	1	1	2	2	0	1	1	2	0	0	0.4249493516724525
1	2	1	1	0	0	2	0	2	0	0	0	0.4249493516724525
1	1	1	2	2	2	1	1	1	0	0	0	0.4249493516724525
2	1	1	0	0	0	2	1	1	2	1	1	0.4249493516724525
0	0	1	0	0	2	1	0	0	0	1	1	0.4249493516724525
0	1	1	2	2	0	2	0	0	1	0	0	0.42757707632041797
2	2	0	0	0	0	0	2	2	1	1	1	0.42966350929265174
1	0	0	1	0	2	2	0	2	1	1	1	0.42966350929265174
1	2	2	0	0	0	2	2	1	2	0	0	0.42966350929265174
2	2	0	1	2	2	0	2	0	1	1	1	0.42966350929265174
2	1	2	1	1	1	0	1	1	0	1	1	0.42966350929265174
1	2	2	2	0	0	0	2	0	0	1	1	0.42966350929265174
1	1	0	1	1	2	2	1	0	1	1	1	0.42966350929265174
1	1	2	0	1	2	1	0	0	1	1	1	0.4333341789630878
0	1	0	0	1	2	1	2	2	2	1	1	0.4333341789630878
1	0	0	0	0	0	1	1	1	2	0	0	0.4333341789630878
1	2	1	0	2	0	2	0	0	2	0	0	0.43881073063213183
0	1	0	0	2	2	0	0	2	2	1	1	0.43881073063213183
1	0	2	0	1	2	0	1	2	2	1	1	0.43881073063213183
1	0	2	0	1	1	1	0	1	2	1	1	0.43961989223289843
0	2	1	1	2	0	1	2	1	0	1	1	0.43961989223289843
0	1	1	1	0	2	0	1	0	2	1	1	0.43961989223289843
0	0	2	2	0	2	0	1	2	0	1	1	0.43961989223289843
0	0	2	0	2	2	1	1	0	0	1	1	0.43961989223289843
1	1	2	1	1	1	0	0	1	0	1	1	0.45216087620461
