X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	0	0	0	1	1	0	2	1	1	1	0.4171346461562254
1	1	2	1	0	1	0	0	1	2	1	1	0.4171346461562254
0	2	2	0	1	0	1	0	1	0	0	0	0.4171346461562254
0	2	2	2	1	1	0	2	1	1	0	0	0.47495251272021355
1	2	1	1	1	1	2	2	2	1	0	0	0.47495251272021355
0	2	2	1	2	2	2	2	0	0	0	0	0.47495251272021355
0	2	1	2	0	2	1	0	2	0	1	1	0.5111339515073066
0	1	2	2	0	0	2	0	1	0	1	1	0.5111339515073066
0	1	2	1	2	2	1	1	0	2	0	0	0.5111339515073066
0	2	2	1	1	0	1	2	0	0	0	0	0.5270076656595403
2	2	1	1	0	1	1	0	2	0	1	1	0.5270076656595403
0	1	1	2	1	1	0	1	0	1	1	1	0.5270076656595403
2	0	2	2	0	0	0	0	1	0	0	0	0.5270076656595403
1	0	0	0	0	0	2	2	1	1	0	0	0.5270076656595403
0	2	2	0	2	2	2	1	0	0	0	0	0.5270076656595403
2	0	0	1	0	2	2	2	1	0	1	1	0.5286998139835498
2	1	1	1	1	0	0	2	2	0	1	1	0.5286998139835498
0	2	2	2	1	0	0	2	1	1	1	1	0.5412996381610666
2	1	1	2	0	2	1	1	1	0	0	0	0.5412996381610666
1	1	1	2	1	1	1	0	2	1	0	0	0.5412996381610666
1	1	2	0	1	1	2	2	0	2	1	1	0.5412996381610666
2	2	1	1	0	0	1	2	2	2	0	0	0.5412996381610666
1	0	0	2	0	1	0	2	0	0	0	0	0.5470066873267047
0	1	2	1	2	0	0	0	1	0	1	1	0.5470066873267047
1	0	0	0	1	2	1	1	2	2	0	0	0.5470066873267047
2	1	2	0	1	2	2	2	2	2	1	1	0.5486402085570152
2	0	1	1	1	2	1	1	1	0	0	0	0.5486402085570152
1	0	0	1	2	2	2	1	0	1	1	1	0.5486402085570152
2	0	1	2	1	1	1	1	1	1	1	1	0.5486402085570152
0	0	2	0	0	2	2	2	0	1	1	1	0.5489435715289281
2	0	2	0	2	1	0	0	2	1	0	0	0.5489435715289281
2	0	2	2	2	1	0	2	1	2	0	0	0.5489435715289281
0	2	0	1	2	0	0	0	1	1	1	1	0.5489435715289281
2	1	1	1	2	2	1	1	0	0	0	0	0.5539896605652723
1	0	0	2	2	0	1	2	0	2	1	1	0.5539896605652723
2	0	0	0	0	2	2	1	2	0	1	1	0.5539896605652723
2	2	0	2	2	2	1	1	1	0	1	1	0.5539896605652723
2	0	0	1	0	0	1	1	2	0	1	1	0.554252649528231
2	1	2	1	2	1	2	1	1	1	1	1	0.554252649528231
0	0	1	1	2	1	1	0	0	0	1	1	0.554252649528231
0	1	0	2	0	2	2	0	2	0	1	1	0.554252649528231
1	0	0	2	1	1	0	2	2	1	0	0	0.554252649528231
2	0	0	1	0	0	0	2	0	0	0	0	0.554252649528231
1	1	1	1	2	2	2	1	1	1	1	1	0.554252649528231
2	1	1	0	0	0	1	1	2	2	0	0	0.554252649528231
1	0	2	1	0	2	1	0	1	2	0	0	0.554252649528231
2	1	2	1	1	1	2	2	1	1	1	1	0.554252649528231
0	2	0	0	0	0	1	2	1	2	0	0	0.554252649528231
2	1	2	2	0	0	0	0	0	0	1	1	0.554252649528231
1	2	1	0	1	1	0	2	2	1	0	0	0.5602823002791613
1	2	0	1	0	0	1	1	2	0	0	0	0.5641538159898375
2	0	0	2	2	2	1	0	0	1	0	0	0.5641538159898375
1	0	1	2	1	2	1	0	1	1	0	0	0.5641538159898375
0	2	1	0	1	0	0	1	0	2	1	1	0.5641538159898375
0	0	2	2	1	1	2	1	1	1	0	0	0.5641538159898375
2	0	0	1	1	2	0	0	1	0	1	1	0.5641538159898375
2	1	0	0	2	1	1	1	1	2	0	0	0.5641538159898375
1	2	0	2	0	0	2	0	0	2	1	1	0.5641538159898375
2	2	1	2	0	1	0	0	0	1	0	0	0.5641538159898375
2	0	2	2	2	2	2	0	2	2	1	1	0.5641538159898375
1	1	0	1	0	1	2	0	2	2	1	1	0.5641538159898375
2	2	0	0	1	0	2	2	2	1	1	1	0.5641538159898375
0	2	0	2	2	2	1	0	2	1	1	1	0.5641538159898375
0	0	1	0	0	1	0	2	2	2	0	0	0.5641538159898375
0	2	2	2	1	0	1	2	1	2	0	0	0.5641538159898375
1	0	1	0	1	1	2	1	0	2	0	0	0.5641538159898375
0	2	2	1	1	0	0	1	0	0	1	1	0.5641538159898375
0	2	2	0	2	0	2	0	2	2	1	1	0.5641538159898375
1	1	2	1	1	1	1	2	2	1	0	0	0.5641538159898375
0	2	0	0	2	0	1	0	1	1	0	0	0.5641538159898375
2	0	2	0	2	0	1	2	2	2	1	1	0.5641538159898375
0	1	0	1	0	0	2	0	1	2	1	1	0.5641538159898375
2	2	2	2	1	2	0	0	1	1	0	0	0.5641538159898375
2	2	1	2	2	1	2	0	0	2	0	0	0.5641538159898375
2	1	2	1	1	2	1	2	2	2	0	0	0.5641538159898375
2	2	1	1	0	1	2	1	1	0	0	0	0.5641538159898375
1	2	0	2	1	0	2	2	1	0	1	1	0.5641538159898375
0	1	0	0	2	2	1	0	0	1	0	0	0.5641538159898375
1	0	2	0	1	1	0	1	0	1	0	0	0.5641538159898375
0	1	2	2	2	1	0	0	2	1	1	1	0.5641538159898375
0	2	2	2	1	1	1	2	2	1	1	1	0.5641538159898375
2	0	0	2	2	2	1	2	2	1	0	0	0.5641538159898375
2	2	2	2	1	2	0	0	1	2	0	0	0.5641538159898375
1	1	2	0	1	2	0	2	0	1	1	1	0.5641538159898375
0	2	2	1	2	2	1	2	1	1	1	1	0.5641538159898375
0	0	2	0	1	0	2	0	0	0	0	0	0.5641538159898375
0	1	1	0	2	2	1	2	1	1	0	0	0.5641538159898375
0	0	0	0	1	2	2	2	2	1	1	1	0.5641538159898375
