X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	2	1	2	1	0	0	0	1	0	1	0.3285863665514932
1	2	2	0	1	1	2	0	1	0	1	2	0.3285863665514932
1	0	0	2	0	2	2	1	0	2	0	1	0.3798231724610637
1	1	1	0	1	2	0	0	2	0	1	2	0.40886013166922375
2	0	1	1	2	2	1	0	1	2	1	2	0.40886013166922375
2	1	0	0	0	0	2	0	1	1	1	2	0.40886013166922375
2	1	0	0	2	0	1	0	1	0	1	2	0.4380041777352425
0	1	2	1	1	0	1	0	0	0	1	2	0.4380041777352425
2	2	0	0	0	1	1	0	0	0	0	1	0.4380041777352425
0	2	2	0	0	1	1	0	1	1	1	2	0.4469538350246771
0	1	2	2	1	0	1	0	1	1	0	1	0.4469538350246771
0	2	0	0	1	2	1	2	2	1	1	2	0.4470457988337868
1	2	0	1	0	1	2	1	1	1	0	1	0.4470457988337868
0	1	2	2	1	0	2	2	2	0	0	1	0.4644141870960412
2	1	2	1	1	2	0	2	2	0	1	2	0.4644141870960412
1	2	2	2	2	1	2	0	0	2	0	1	0.466501763708546
0	2	1	1	1	0	1	1	0	0	1	2	0.466501763708546
2	0	0	2	0	1	1	2	2	0	0	1	0.466501763708546
2	0	1	0	0	2	1	2	2	0	0	1	0.466501763708546
0	0	0	1	2	2	2	2	1	1	0	1	0.466501763708546
1	1	0	1	1	0	1	2	1	0	1	2	0.466501763708546
0	2	0	1	0	2	2	1	2	1	0	1	0.466501763708546
2	2	0	1	2	0	1	1	1	0	1	2	0.466501763708546
0	0	0	0	1	0	1	0	0	1	0	1	0.4769470482086011
1	2	1	1	0	2	2	1	2	2	0	1	0.47866274639827733
0	0	0	2	0	1	2	2	0	0	1	2	0.47866274639827733
1	0	2	2	2	0	2	1	2	1	1	2	0.47866274639827733
2	2	2	0	0	2	2	1	0	0	1	2	0.47866274639827733
1	0	2	0	0	2	2	1	0	2	0	1	0.47866274639827733
2	2	2	0	1	0	2	2	0	1	1	2	0.47866274639827733
0	1	2	2	2	0	0	0	1	2	1	2	0.47866274639827733
2	2	0	0	0	1	1	1	1	1	1	2	0.5004267989872414
0	0	2	0	2	0	0	2	1	2	1	2	0.5004267989872414
1	1	1	2	1	1	0	1	2	1	0	1	0.5004267989872414
2	0	1	1	1	1	1	2	2	1	1	2	0.5004267989872414
0	1	1	1	1	0	2	1	1	0	0	1	0.5004267989872414
0	0	1	2	2	2	2	2	1	1	0	1	0.5004267989872414
2	0	1	2	1	2	0	0	0	2	0	1	0.5004267989872414
0	2	2	2	0	1	1	2	0	2	1	2	0.5004267989872414
1	0	0	0	1	0	0	2	1	2	1	2	0.5004267989872414
1	2	0	2	0	1	2	0	0	1	0	1	0.5004267989872414
1	2	2	2	1	1	1	0	1	0	0	1	0.5004267989872414
0	0	1	0	1	2	1	1	0	2	1	2	0.5004267989872414
1	1	1	2	2	1	1	0	2	2	1	2	0.5004267989872414
0	0	0	1	0	2	0	2	2	0	1	2	0.5004267989872414
1	0	1	1	1	0	2	2	1	1	1	2	0.5004267989872414
2	0	0	1	0	0	1	0	2	2	0	1	0.5004267989872414
0	0	2	0	1	2	1	0	0	2	1	2	0.5004267989872414
0	2	1	1	2	2	1	0	0	2	1	2	0.5004267989872414
0	0	1	0	1	0	2	0	2	2	1	2	0.5004267989872414
0	0	1	2	1	1	0	2	2	0	1	2	0.5004267989872414
1	1	1	1	2	1	1	2	2	1	1	2	0.5004267989872414
0	0	0	0	1	1	1	1	1	0	0	1	0.5004267989872414
2	2	0	2	2	1	0	2	2	0	1	2	0.5004267989872414
2	2	1	2	2	2	1	0	0	1	1	2	0.5004267989872414
2	1	0	1	2	2	2	2	1	1	0	1	0.5004267989872414
1	1	1	2	2	2	2	1	2	1	0	1	0.5004267989872414
1	1	2	2	2	0	1	0	0	1	0	1	0.5004267989872414
1	1	0	1	2	1	2	0	0	1	0	1	0.5004267989872414
0	1	0	0	0	1	2	2	2	0	1	2	0.5004267989872414
0	1	0	2	1	2	1	1	0	2	1	2	0.5004267989872414
2	1	2	2	1	2	1	1	2	2	1	2	0.5004267989872414
0	2	1	2	0	2	0	0	0	2	0	1	0.5004267989872414
1	0	2	2	2	1	2	0	1	0	1	2	0.5004267989872414
2	2	2	1	0	0	2	1	1	0	0	1	0.5004267989872414
2	0	0	2	0	2	0	2	2	2	0	1	0.5004267989872414
2	1	1	2	2	1	2	1	1	0	1	2	0.5004267989872414
2	1	1	1	2	2	0	1	1	0	1	2	0.5004267989872414
0	0	2	1	0	2	2	0	2	0	1	2	0.5004267989872414
0	0	2	2	1	2	1	2	1	1	1	2	0.5004267989872414
1	1	0	1	2	0	1	1	1	0	1	2	0.5004267989872414
2	1	1	1	0	1	1	0	1	0	0	1	0.5004267989872414
1	2	2	0	2	2	1	0	0	2	1	2	0.5004267989872414
2	1	1	1	0	1	1	1	1	1	1	2	0.5004267989872414
1	2	2	0	0	2	1	1	0	0	0	1	0.5004267989872414
1	2	2	0	2	2	2	2	1	1	0	1	0.5004267989872414
2	0	2	0	2	0	2	2	0	2	1	2	0.5004267989872414
2	0	0	2	2	0	1	0	0	1	0	1	0.5004267989872414
2	1	0	2	0	2	1	1	1	1	1	2	0.5004267989872414
2	2	1	0	1	1	2	2	0	2	0	1	0.5004267989872414
2	1	0	0	0	0	0	2	2	0	0	1	0.5004267989872414
1	0	2	2	2	1	0	0	2	0	1	2	0.5004267989872414
1	2	0	0	1	1	0	2	1	0	1	2	0.5004267989872414
1	1	2	0	0	0	1	2	0	0	1	2	0.5004267989872414
0	2	1	2	2	1	1	1	2	2	1	2	0.5004267989872414
2	2	0	0	2	2	1	2	2	2	1	2	0.5004267989872414
1	0	2	1	1	0	0	2	1	0	0	1	0.5004267989872414
1	1	0	1	0	0	0	0	2	2	1	2	0.5004267989872414
0	2	0	0	0	0	1	2	0	2	0	1	0.5004267989872414
1	0	0	2	1	0	0	1	2	1	1	2	0.5004267989872414
0	1	0	2	0	0	0	2	2	2	1	2	0.5004267989872414
1	2	1	2	0	0	2	1	2	2	1	2	0.5004267989872414
2	0	2	1	2	0	0	0	1	0	0	1	0.5004267989872414
1	2	2	0	1	2	1	2	1	0	0	1	0.5004267989872414
1	2	0	1	0	0	1	0	0	0	1	2	0.5004267989872414
0	2	0	2	0	2	0	0	1	0	1	2	0.5004267989872414
0	2	0	2	1	2	1	2	0	2	1	2	0.5004267989872414
0	2	1	2	2	1	2	2	2	0	1	2	0.5004267989872414
0	2	1	2	0	2	0	2	0	2	0	1	0.5004267989872414
1	1	0	1	0	0	1	1	1	0	1	2	0.5004267989872414
0	0	2	0	1	2	0	2	0	1	0	1	0.5004267989872414
2	1	2	0	0	0	0	2	0	2	1	2	0.5004267989872414
2	2	1	0	2	1	2	2	0	2	0	1	0.5004267989872414
1	0	0	0	0	0	2	1	0	2	1	2	0.5004267989872414
2	0	1	1	2	2	1	0	2	0	0	1	0.5004267989872414
2	1	0	0	0	2	2	2	2	2	0	1	0.5004267989872414
