X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	0	0	2	1	1	2	2	2	0	-8	0.13363921820094882
1	2	1	2	0	0	0	0	2	2	1	-5	0.13564482169301084
1	1	1	1	1	2	0	1	0	2	1	-5	0.13564482169301084
0	0	0	2	1	0	1	1	2	1	1	-6	0.14257804872299118
1	1	0	0	1	2	1	2	1	1	0	-8	0.14257804872299118
1	0	0	2	0	2	2	1	0	2	1	-6	0.15005924403761117
2	0	2	0	1	0	1	1	0	2	1	-3	0.15005924403761117
2	2	0	1	1	0	1	1	0	0	0	-8	0.15005924403761117
1	0	2	2	2	1	1	1	2	2	0	-8	0.15005924403761117
2	0	2	0	2	0	1	0	0	1	1	-4	0.15005924403761117
2	2	1	0	1	2	1	1	2	2	0	-9	0.15005924403761117
0	0	1	0	1	2	2	2	0	2	1	-5	0.15005924403761117
2	2	2	1	2	1	2	2	2	1	0	-13	0.15103545512407468
1	0	0	2	1	2	0	0	1	0	0	-7	0.1574126339111146
0	0	0	1	0	0	2	1	2	0	1	-6	0.1574126339111146
2	2	1	1	1	0	1	0	1	1	0	-7	0.1574126339111146
1	0	1	1	0	0	2	2	2	1	0	-7	0.1574126339111146
0	0	2	2	0	2	0	2	1	2	1	-5	0.1574126339111146
1	0	1	1	2	2	1	0	1	1	0	-7	0.16123149273140858
0	1	1	1	1	0	0	1	0	2	1	-2	0.16123149273140858
0	2	2	2	1	0	2	2	0	2	0	-7	0.16123149273140858
2	1	0	1	2	1	0	1	0	0	0	-8	0.16123149273140858
1	0	1	0	1	0	1	2	1	2	1	-4	0.16123149273140858
2	0	0	2	2	2	2	1	1	2	0	-10	0.16123149273140858
1	1	1	0	1	0	2	2	1	1	0	-7	0.16123149273140858
0	2	0	1	0	1	2	2	0	2	1	-6	0.16123149273140858
0	1	2	1	2	1	2	2	1	2	0	-8	0.16123149273140858
0	0	2	2	2	2	1	2	0	0	0	-9	0.16123149273140858
0	1	1	1	1	0	0	1	1	2	1	-3	0.16123149273140858
1	0	2	0	2	2	1	0	0	0	1	-6	0.16123149273140858
