X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	0	1	1	0	0	2	1	0	0	0	0.018822595751537996
2	1	0	1	1	1	1	1	2	2	1	0	0.022107521480583148
2	1	1	2	2	2	0	2	2	0	1	1	0.0312644036017693
2	2	0	2	0	0	0	0	1	1	1	0	0.0312644036017693
1	0	0	1	0	1	0	2	2	0	1	0	0.0312644036017693
2	1	0	0	1	1	1	0	2	2	1	0	0.03205060845277352
2	0	2	0	1	0	0	2	2	0	1	0	0.03205060845277352
2	2	1	0	2	1	1	2	1	0	1	0	0.03205060845277352
2	2	1	0	1	1	1	0	0	0	1	0	0.03205060845277352
2	1	1	1	0	1	1	0	1	0	1	0	0.04005769871985421
0	0	0	2	2	0	0	1	0	0	1	0	0.04005769871985421
1	2	0	0	0	2	2	0	0	1	1	1	0.04005769871985421
0	2	1	2	2	1	0	2	0	2	1	0	0.04005769871985421
1	0	1	2	2	0	0	1	0	0	1	0	0.04005769871985421
2	2	2	2	0	1	2	1	1	1	1	0	0.04005769871985421
2	1	0	0	0	0	2	0	1	2	1	0	0.04005769871985421
2	0	2	2	0	0	1	1	0	0	1	0	0.04005769871985421
2	2	0	0	2	1	1	2	1	1	1	0	0.04005769871985421
2	0	1	1	1	2	0	0	2	0	1	1	0.04005769871985421
1	1	2	1	0	0	2	0	1	1	1	0	0.04005769871985421
0	2	1	2	2	1	1	1	0	1	1	0	0.04005769871985421
1	0	0	2	2	0	0	0	1	1	1	0	0.04005769871985421
0	0	1	0	1	1	2	2	2	2	1	0	0.04005769871985421
2	0	2	1	0	0	0	0	2	2	1	0	0.04005769871985421
1	2	0	2	1	1	2	2	1	0	1	0	0.04005769871985421
0	2	2	0	2	2	2	0	1	1	1	1	0.04005769871985421
1	1	0	2	1	2	2	0	1	1	1	1	0.04005769871985421
1	2	0	0	1	2	2	0	2	1	1	1	0.04005769871985421
2	1	0	2	1	1	0	0	2	0	1	0	0.04005769871985421
0	1	0	1	0	2	2	0	0	0	1	1	0.04005769871985421
0	0	2	1	1	2	1	2	0	2	1	1	0.04005769871985421
0	0	2	2	2	2	0	2	1	0	1	1	0.04005769871985421
1	2	1	0	1	0	2	0	2	1	1	0	0.04005769871985421
2	1	0	1	0	2	2	0	0	1	1	1	0.04005769871985421
1	2	2	1	2	1	1	0	0	1	1	0	0.04005769871985421
1	2	1	2	0	0	2	2	2	1	1	0	0.04005769871985421
0	1	2	0	2	2	2	1	2	0	1	1	0.04005769871985421
2	2	0	1	1	2	2	2	2	2	1	1	0.04005769871985421
0	1	1	2	0	1	0	1	0	1	1	0	0.04287071048940372
2	1	1	1	2	0	2	2	1	1	1	0	0.04287071048940372
2	0	2	1	0	1	0	1	1	2	1	0	0.04287071048940372
2	2	1	2	2	2	1	2	2	1	1	1	0.04287071048940372
0	1	0	1	0	1	2	2	1	2	1	0	0.04287071048940372
2	0	1	1	2	2	0	1	2	2	1	1	0.04287071048940372
1	1	1	0	1	1	0	0	0	0	1	0	0.04287071048940372
1	2	0	0	0	2	2	0	0	1	1	1	0.04287071048940372
2	2	2	0	1	2	1	2	1	0	1	1	0.04287071048940372
2	1	2	2	2	1	0	2	2	1	1	0	0.04287071048940372
2	1	0	1	2	1	2	1	1	1	1	0	0.04287071048940372
0	0	0	2	2	2	2	0	0	2	1	1	0.04287071048940372
0	0	2	0	2	2	1	0	1	0	1	1	0.04287071048940372
0	0	1	0	2	1	0	0	1	2	1	0	0.04287071048940372
2	1	2	2	1	0	2	1	2	2	1	0	0.04287071048940372
2	0	1	2	1	0	2	1	2	2	1	0	0.04287071048940372
1	1	2	1	0	2	0	2	1	1	1	1	0.04287071048940372
0	2	2	0	2	1	1	0	2	1	1	0	0.04287071048940372
0	0	0	2	0	2	2	2	1	1	1	1	0.04287071048940372
0	2	1	0	1	1	2	1	2	1	1	0	0.04287071048940372
1	0	1	1	1	1	0	1	1	2	1	0	0.04287071048940372
0	0	2	2	0	0	1	1	0	2	1	0	0.04287071048940372
0	1	2	2	0	0	2	0	0	1	1	0	0.04287071048940372
0	0	0	1	1	2	1	1	1	2	1	1	0.04287071048940372
2	2	0	0	2	1	1	2	2	2	0	0	0.04287071048940372
0	1	2	1	2	2	1	1	0	1	1	1	0.04287071048940372
2	1	1	0	2	1	0	2	1	2	0	0	0.04287071048940372
0	0	2	2	1	2	1	2	1	2	1	1	0.04287071048940372
2	2	2	2	1	2	2	1	1	1	1	1	0.04287071048940372
0	0	0	0	1	2	0	1	0	2	1	1	0.04287071048940372
0	2	0	0	0	1	0	0	1	2	0	0	0.04287071048940372
0	1	2	0	0	2	0	0	0	1	1	1	0.04287071048940372
2	1	1	0	0	1	1	2	1	0	0	0	0.04287071048940372
1	1	2	1	1	0	1	2	1	2	0	0	0.04287071048940372
2	0	0	2	2	0	2	2	2	1	0	0	0.04287071048940372
1	1	0	1	0	2	0	0	1	2	1	1	0.04287071048940372
1	1	1	1	0	0	0	0	1	1	0	0	0.04287071048940372
0	2	1	0	2	1	2	0	1	2	0	0	0.04287071048940372
0	2	1	1	0	1	1	1	0	0	0	0	0.04287071048940372
0	2	1	0	0	2	0	0	0	0	1	1	0.04287071048940372
1	0	0	2	1	1	1	0	1	0	0	0	0.04287071048940372
0	0	0	1	2	1	1	1	1	2	0	0	0.04287071048940372
0	1	1	2	2	2	2	2	2	2	1	1	0.04287071048940372
0	1	2	2	2	0	1	1	2	0	0	0	0.04287071048940372
1	0	2	2	0	2	2	1	2	0	1	1	0.04287071048940372
2	0	1	2	0	0	1	2	1	0	0	0	0.04287071048940372
1	1	1	2	2	1	0	2	2	2	0	0	0.04287071048940372
0	0	1	1	1	0	2	2	1	1	0	0	0.04287071048940372
1	2	1	0	2	2	1	1	1	1	1	1	0.04287071048940372
0	0	0	2	1	2	0	1	2	2	1	1	0.04287071048940372
0	2	2	0	2	1	2	2	0	2	0	0	0.04287071048940372
0	0	1	1	2	2	0	1	0	2	1	1	0.04287071048940372
2	2	0	0	1	2	1	2	0	1	1	1	0.04287071048940372
1	1	2	2	2	1	2	1	0	1	0	0	0.04287071048940372
1	1	2	1	1	1	1	1	0	1	0	0	0.04287071048940372
0	2	0	1	1	2	0	0	0	2	1	1	0.04287071048940372
0	2	2	1	2	0	2	2	1	2	0	0	0.04287071048940372
2	2	2	2	2	0	2	2	2	0	0	0	0.04287071048940372
2	0	1	1	2	2	0	1	1	1	1	1	0.04287071048940372
2	0	0	2	1	1	2	1	0	2	0	0	0.04287071048940372
0	1	2	2	1	2	2	1	1	0	1	1	0.04287071048940372
2	0	0	1	2	0	0	1	1	1	0	0	0.04287071048940372
1	0	1	0	2	0	0	1	2	0	0	0	0.04287071048940372
0	1	0	0	0	2	0	0	1	1	1	1	0.04287071048940372
0	2	2	0	1	1	0	2	2	1	0	0	0.045312874654857116
2	2	0	1	1	0	2	1	1	0	0	0	0.045312874654857116
0	1	1	2	2	1	2	1	2	0	1	0	0.045312874654857116
0	2	0	0	2	2	1	1	2	1	1	1	0.045312874654857116
0	2	2	2	2	2	2	0	1	1	1	1	0.045312874654857116
0	1	1	2	1	2	2	0	0	0	1	1	0.045312874654857116
1	1	2	0	1	2	0	0	2	1	1	1	0.045312874654857116
2	0	2	2	2	1	1	0	0	2	1	0	0.045312874654857116
1	0	0	1	0	0	0	0	0	0	1	0	0.045312874654857116
2	0	1	1	1	1	2	1	0	2	1	0	0.045312874654857116
0	0	2	2	2	2	0	2	2	0	1	1	0.045312874654857116
0	1	0	2	0	2	0	0	0	1	1	1	0.045312874654857116
0	1	1	2	2	2	1	1	0	0	1	1	0.045312874654857116
1	0	1	2	0	1	2	1	0	0	1	0	0.045312874654857116
2	1	1	0	1	1	0	0	2	2	1	0	0.045312874654857116
1	0	2	1	2	1	2	2	1	1	1	0	0.045312874654857116
2	2	2	1	2	1	2	1	1	2	1	0	0.045312874654857116
2	2	0	1	0	0	0	2	1	2	1	0	0.045312874654857116
0	0	1	2	0	1	1	0	0	2	1	0	0.045312874654857116
1	1	2	2	2	2	1	1	2	2	1	1	0.045312874654857116
1	2	2	0	0	2	0	1	0	2	1	1	0.045312874654857116
1	2	2	1	1	1	1	2	0	0	1	0	0.045312874654857116
0	0	2	0	0	0	2	1	1	0	0	0	0.045312874654857116
2	0	2	1	0	2	1	0	2	2	1	1	0.045312874654857116
1	1	0	1	1	1	1	0	0	2	0	0	0.045312874654857116
0	2	2	2	2	1	0	2	1	1	0	0	0.045312874654857116
1	0	2	0	2	1	0	0	0	0	0	0	0.045312874654857116
2	0	0	1	0	1	0	0	1	1	0	0	0.045312874654857116
1	1	0	2	1	2	1	2	0	0	1	1	0.045312874654857116
0	1	2	2	1	2	1	2	1	2	1	1	0.045312874654857116
1	0	2	1	2	2	2	0	1	2	1	1	0.045312874654857116
2	0	1	2	1	1	2	0	1	1	1	0	0.045312874654857116
1	1	2	1	0	1	1	1	2	2	1	0	0.045312874654857116
2	0	2	1	2	0	0	1	0	2	1	0	0.045312874654857116
0	1	2	2	1	1	0	2	2	2	1	0	0.045312874654857116
1	2	2	0	1	0	2	0	2	2	1	0	0.045312874654857116
2	0	1	1	0	0	0	1	1	1	1	0	0.045312874654857116
0	0	0	0	0	0	1	0	0	0	1	0	0.045312874654857116
0	1	2	0	1	2	1	2	2	0	1	1	0.045312874654857116
1	2	1	0	0	1	1	0	1	2	1	0	0.045312874654857116
2	0	0	1	0	1	0	2	1	1	1	0	0.045312874654857116
1	0	0	2	2	1	2	1	2	0	1	0	0.045312874654857116
0	1	0	0	0	1	0	0	0	2	1	0	0.045312874654857116
1	2	2	1	0	0	1	2	0	1	0	0	0.045312874654857116
2	0	0	1	0	1	0	0	1	0	1	0	0.045312874654857116
2	2	1	2	1	2	2	1	0	2	1	1	0.045312874654857116
1	0	0	1	2	1	1	1	2	1	1	0	0.045312874654857116
2	0	1	1	2	2	0	2	1	2	1	1	0.045312874654857116
1	0	1	2	1	1	0	1	1	0	1	0	0.045312874654857116
1	2	2	0	0	0	0	0	2	1	1	0	0.045312874654857116
1	0	1	1	2	2	2	1	0	1	1	1	0.045312874654857116
2	0	1	0	2	1	2	0	1	0	1	0	0.045312874654857116
1	2	2	1	1	2	1	0	1	0	1	1	0.045312874654857116
1	1	0	2	1	1	1	1	2	0	1	0	0.045312874654857116
2	2	0	1	0	2	1	2	1	2	1	1	0.045312874654857116
0	1	0	1	0	2	0	0	0	0	1	1	0.045312874654857116
1	1	0	1	2	2	2	0	2	1	1	1	0.045312874654857116
1	2	0	0	2	2	1	2	2	2	1	1	0.045312874654857116
2	2	1	0	2	2	1	0	0	1	1	1	0.045312874654857116
0	2	0	1	2	2	2	2	1	0	1	1	0.045312874654857116
2	1	2	2	2	1	0	0	1	2	1	0	0.045312874654857116
2	2	0	0	1	2	0	0	1	2	1	1	0.045312874654857116
0	0	1	2	0	1	1	0	1	1	1	0	0.045312874654857116
1	0	0	1	1	2	0	1	2	1	1	1	0.045312874654857116
2	1	0	0	0	0	0	2	0	0	1	0	0.045312874654857116
1	1	0	0	2	1	2	2	0	1	1	0	0.045312874654857116
2	0	1	2	1	0	2	1	1	2	0	0	0.045312874654857116
2	1	2	0	0	0	2	1	1	1	0	0	0.045312874654857116
2	2	0	2	1	2	1	0	2	2	1	1	0.045312874654857116
1	2	2	1	0	0	0	0	0	0	0	0	0.045312874654857116
0	2	2	0	0	2	1	2	2	0	1	1	0.045312874654857116
0	0	0	0	2	2	2	1	1	1	1	1	0.045312874654857116
2	1	0	2	0	1	2	2	1	0	0	0	0.045312874654857116
2	1	1	0	0	1	0	1	2	2	0	0	0.045312874654857116
2	0	0	2	2	1	1	1	2	2	0	0	0.045312874654857116
2	0	2	2	2	2	1	0	1	2	1	1	0.045312874654857116
1	0	0	0	1	1	0	1	0	2	0	0	0.045312874654857116
0	2	0	0	0	0	1	0	1	0	0	0	0.045312874654857116
2	2	0	1	2	0	2	0	2	1	0	0	0.045312874654857116
0	2	2	1	1	2	2	2	2	2	1	1	0.045312874654857116
0	0	0	2	0	2	0	0	2	2	1	1	0.045312874654857116
1	0	0	2	2	0	0	1	2	2	1	0	0.045312874654857116
0	0	1	1	0	1	1	2	2	1	1	0	0.045312874654857116
2	1	0	1	0	0	1	1	0	0	1	0	0.045312874654857116
0	0	0	2	1	0	1	2	0	2	1	0	0.045312874654857116
0	2	0	2	0	1	2	0	2	1	1	0	0.045312874654857116
0	1	1	2	2	1	1	2	0	1	1	0	0.045312874654857116
1	0	0	1	0	1	1	2	0	2	1	0	0.045312874654857116
0	0	0	2	1	0	1	2	2	0	1	0	0.045312874654857116
