X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	2	1	2	2	2	0	1	2	2	1	1	0.15270935904154148
1	0	2	0	0	0	0	2	1	1	1	0	0.15270935904154148
2	1	2	0	2	2	2	1	1	2	1	0	0.15270935904154148
1	1	1	1	2	0	2	2	1	1	1	0	0.15354909293016794
2	0	0	0	2	1	0	1	2	1	1	1	0.15354909293016794
0	0	1	2	0	0	2	2	1	1	1	0	0.15354909293016794
1	1	2	1	1	0	1	0	2	0	1	0	0.1601731319633437
0	1	0	0	1	1	0	1	0	2	1	1	0.17667999203166662
2	0	1	1	0	1	1	2	0	1	0	0	0.17667999203166662
2	1	0	0	0	0	0	2	0	1	1	1	0.17667999203166662
1	1	1	2	1	2	1	2	1	0	1	0	0.19240395848042435
0	1	0	1	2	2	1	0	2	1	0	0	0.22189090480677565
0	2	2	2	0	0	0	1	0	2	1	1	0.22189090480677565
0	0	0	0	0	0	2	1	2	0	1	1	0.22189090480677565
0	0	1	1	0	1	0	1	0	0	0	0	0.22189090480677565
0	2	1	0	1	2	1	2	1	2	0	0	0.22699974126406763
2	0	0	1	2	1	1	0	0	0	1	0	0.22699974126406763
0	1	0	0	1	0	2	2	1	2	0	0	0.22894811232734547
2	1	0	1	1	0	0	1	0	0	0	0	0.22894811232734547
1	0	1	0	2	2	1	0	1	2	1	0	0.23544448103586557
2	0	2	1	1	2	2	0	1	1	1	0	0.23544448103586557
0	1	0	0	0	2	2	2	2	1	1	1	0.23544448103586557
0	1	2	2	1	1	2	0	1	0	1	0	0.23544448103586557
0	0	2	0	1	2	2	1	1	1	1	0	0.23544448103586557
1	0	1	2	1	2	2	1	2	0	1	1	0.23544448103586557
2	2	0	0	0	0	0	1	0	0	1	1	0.23544448103586557
1	2	0	1	1	1	2	1	1	1	0	0	0.23544448103586557
1	2	1	0	0	0	2	0	1	2	0	0	0.23821291609483153
1	1	0	1	2	2	1	0	0	2	1	0	0.23821291609483153
2	2	2	0	1	0	1	0	1	1	1	0	0.23821291609483153
0	1	1	2	2	1	0	1	1	0	1	0	0.23821291609483153
0	2	1	2	1	0	2	0	1	2	1	0	0.23821291609483153
1	2	2	1	0	2	0	1	2	1	1	0	0.23821291609483153
1	0	0	0	0	0	1	2	1	1	0	0	0.23821291609483153
0	1	1	2	0	0	1	1	1	2	0	0	0.23821291609483153
1	2	2	2	1	2	1	2	0	1	1	1	0.23821291609483153
0	1	1	1	0	1	0	0	0	1	0	0	0.23821291609483153
2	1	0	2	1	2	1	0	1	0	1	0	0.23821291609483153
