X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	0	2	1	1	2	0	0	0	1	1.0	0.3072998215715461
0	0	2	2	2	0	2	0	0	0	1	1.0	0.37124166882493514
0	0	1	1	0	0	2	1	0	0	0	0.0	0.4710843073864588
2	2	0	2	0	1	0	2	1	2	1	1.426264754702098	0.4710843073864588
2	0	1	0	0	0	1	0	0	2	0	0.0	0.4885051002884686
1	1	1	2	1	0	0	1	0	0	0	0.0	0.4885051002884686
2	1	2	2	2	0	2	1	2	1	0	0.0	0.4885051002884686
1	1	0	1	1	0	0	0	2	0	1	1.0	0.4885051002884686
2	2	0	0	1	0	0	2	2	2	1	1.426264754702098	0.4885051002884686
1	0	2	2	2	2	2	2	0	0	1	1.3575520046180838	0.5071395992317984
2	1	2	2	2	2	0	0	1	1	0	0.0	0.5071395992317984
2	1	0	0	0	2	0	2	0	0	1	1.3575520046180838	0.5071395992317984
2	2	0	0	1	0	0	1	1	0	1	1.0	0.5071395992317984
2	2	2	2	1	0	0	2	0	2	1	1.426264754702098	0.5211639325038424
1	2	0	1	1	1	0	0	2	1	0	0.0	0.5211639325038424
2	2	0	0	0	2	2	1	1	1	0	0.0	0.5211639325038424
2	0	0	1	2	0	0	1	2	2	1	1.0	0.5211639325038424
0	0	2	0	0	2	2	0	0	0	1	1.0	0.5211639325038424
1	0	2	0	2	0	0	2	2	0	1	1.3575520046180838	0.5342664304040463
0	1	2	1	0	1	1	2	2	2	1	1.426264754702098	0.5342664304040463
0	1	0	0	1	0	1	0	1	0	1	1.0	0.5342664304040463
2	2	0	1	2	2	0	2	1	1	0	0.3219280948873626	0.5360890106400706
2	1	0	0	1	1	1	0	0	0	1	1.0	0.5360890106400706
1	2	1	0	0	1	1	1	1	2	0	0.0	0.5360890106400706
2	2	2	0	1	2	1	2	0	1	0	0.3219280948873626	0.5360890106400706
2	2	2	1	0	1	2	0	0	1	0	0.0	0.5360890106400706
2	0	0	2	0	0	0	1	1	2	1	1.0	0.5360890106400706
1	0	1	2	0	2	2	0	0	0	0	0.0	0.5360890106400706
2	0	2	2	1	1	2	1	1	0	1	1.0	0.5360890106400706
1	0	2	0	0	1	0	0	1	1	0	0.0	0.5360890106400706
2	0	1	1	1	1	1	2	0	2	1	0.4262647547020979	0.5360890106400706
2	0	2	1	1	2	0	0	2	1	0	0.0	0.5374787650087671
1	0	2	2	2	2	1	0	1	0	1	1.0	0.5374787650087671
2	2	0	1	2	1	1	2	0	2	1	1.426264754702098	0.5374787650087671
0	2	2	1	2	0	1	1	0	0	1	1.0	0.5374787650087671
1	2	0	0	1	0	1	2	2	1	0	0.3219280948873626	0.5374787650087671
2	0	1	0	1	0	0	2	0	1	0	0.3219280948873626	0.5374787650087671
2	1	2	2	2	1	0	1	1	0	1	1.0	0.5374787650087671
2	0	2	1	1	0	1	2	0	2	1	1.426264754702098	0.5374787650087671
1	2	1	0	0	2	2	2	0	1	0	0.3219280948873626	0.5408518418545386
1	2	0	2	2	0	0	1	1	1	0	0.0	0.5408518418545386
1	2	2	2	2	2	2	1	1	2	1	1.0	0.5408518418545386
1	2	2	2	2	0	0	0	1	2	1	1.0	0.5408518418545386
1	2	1	2	0	2	0	0	1	0	0	0.0	0.5408518418545386
0	2	0	1	1	2	2	1	1	2	1	1.0	0.5408518418545386
1	0	0	2	2	2	0	2	2	2	1	1.426264754702098	0.5408518418545386
0	0	2	0	0	1	0	0	1	1	0	0.0	0.5408518418545386
0	2	2	2	2	0	0	0	1	2	1	1.0	0.5408518418545386
2	1	0	0	1	2	2	0	1	2	1	1.0	0.5408518418545386
0	0	0	1	1	0	2	0	2	0	1	1.0	0.5510751431041637
1	2	1	2	1	1	0	2	1	2	1	0.4262647547020979	0.5510751431041637
2	0	1	0	1	1	2	0	2	1	0	0.0	0.5510751431041637
1	0	0	2	1	2	0	1	1	1	0	0.0	0.5510751431041637
1	1	1	1	0	0	1	0	2	0	0	0.0	0.5510751431041637
2	0	1	0	1	2	2	1	1	1	0	0.0	0.5510751431041637
2	1	0	2	0	2	2	2	2	1	0	0.3219280948873626	0.5510751431041637
2	2	0	0	2	2	2	2	1	0	1	1.3575520046180838	0.5510751431041637
2	0	0	2	2	1	1	0	2	1	0	0.0	0.5510751431041637
1	2	0	0	2	1	1	1	2	1	0	0.0	0.5510751431041637
0	0	1	1	0	1	2	2	2	0	0	0.3575520046180838	0.5510751431041637
1	2	1	0	2	0	0	2	2	1	0	0.3219280948873626	0.5510751431041637
0	2	1	0	2	0	0	1	2	1	0	0.0	0.5510751431041637
0	0	1	0	1	1	1	1	2	1	0	0.0	0.5510751431041637
1	1	0	1	1	2	1	1	0	0	1	1.0	0.5510751431041637
0	0	1	1	1	0	1	2	2	1	0	0.3219280948873626	0.5629063390782247
1	1	2	0	0	2	0	1	1	2	1	1.0	0.5629063390782247
2	2	2	0	0	2	1	0	2	0	1	1.0	0.5629063390782247
0	1	2	0	2	0	2	1	0	2	1	1.0	0.5629063390782247
2	0	1	1	1	0	1	0	0	1	0	0.0	0.5629063390782247
2	2	0	0	1	1	1	2	1	2	1	1.426264754702098	0.5629063390782247
0	2	1	0	0	1	0	2	0	2	1	0.4262647547020979	0.5629063390782247
1	2	0	0	0	2	2	1	0	0	1	1.0	0.5629063390782247
0	1	1	0	0	0	0	2	2	1	0	0.3219280948873626	0.5629063390782247
2	1	1	1	2	2	1	2	1	1	0	0.3219280948873626	0.5629063390782247
1	0	0	1	0	0	2	0	1	2	1	1.0	0.5629063390782247
1	1	2	1	0	1	1	0	1	2	1	1.0	0.5629063390782247
1	1	1	1	0	0	2	0	0	0	0	0.0	0.5629063390782247
0	0	2	0	1	1	1	0	2	2	1	1.0	0.5629063390782247
1	0	2	1	0	0	1	2	0	2	1	1.426264754702098	0.5629063390782247
2	2	0	2	1	0	0	0	1	1	0	0.0	0.5629063390782247
0	2	1	1	0	2	2	0	2	1	0	0.0	0.5629063390782247
2	0	0	1	2	0	0	2	2	2	1	1.426264754702098	0.5629063390782247
1	2	2	2	2	0	2	2	1	1	0	0.3219280948873626	0.5629063390782247
1	0	1	0	2	1	1	2	0	1	0	0.3219280948873626	0.5629063390782247
2	2	2	2	2	0	0	1	1	0	1	1.0	0.5629063390782247
1	0	1	1	2	0	1	0	0	2	0	0.0	0.5629063390782247
2	1	1	0	1	1	1	1	1	1	0	0.0	0.5629063390782247
1	2	0	0	1	2	0	0	0	2	1	1.0	0.5629063390782247
0	1	2	1	2	2	1	2	2	2	1	1.426264754702098	0.5629063390782247
0	1	0	2	0	2	0	0	1	0	1	1.0	0.5629063390782247
0	0	1	0	2	1	1	0	2	0	1	1.0	0.5629063390782247
2	1	2	2	0	0	1	1	1	0	1	1.0	0.5629063390782247
2	0	0	1	0	0	2	0	1	0	1	1.0	0.5629063390782247
1	1	1	0	1	2	1	1	0	0	0	0.0	0.5629063390782247
0	2	0	1	0	2	2	2	0	1	0	0.3219280948873626	0.5629063390782247
2	0	0	2	0	1	0	1	1	1	0	0.0	0.5629063390782247
2	1	1	0	1	1	1	2	1	2	0	0.4262647547020979	0.5629063390782247
0	1	2	0	2	1	2	1	2	1	0	0.0	0.5629063390782247
1	2	1	1	0	2	0	0	1	1	0	0.0	0.5629063390782247
2	2	1	2	0	2	0	0	2	0	1	1.0	0.5629063390782247
0	1	0	0	2	1	1	1	0	1	0	0.0	0.5629063390782247
1	0	0	0	2	1	1	2	2	2	1	1.426264754702098	0.5629063390782247
2	2	0	2	2	2	2	1	2	2	1	1.0	0.5629063390782247
1	1	1	1	1	0	2	1	1	0	0	0.0	0.5629063390782247
0	0	1	1	2	2	1	1	2	1	0	0.0	0.5629063390782247
0	1	2	2	2	1	0	1	2	2	1	1.0	0.5635461902751393
1	2	0	0	0	1	0	0	1	0	1	1.0	0.5635461902751393
1	1	2	0	1	2	1	0	1	0	1	1.0	0.5635461902751393
2	2	2	2	0	0	2	0	1	1	0	0.0	0.5635461902751393
2	2	1	0	1	0	2	2	0	2	1	1.426264754702098	0.5635461902751393
2	0	1	0	1	1	1	0	2	0	1	1.0	0.5635461902751393
2	1	2	1	1	2	2	1	2	2	1	1.0	0.5635461902751393
0	1	2	0	2	0	0	1	2	1	0	0.0	0.5635461902751393
1	1	0	0	2	1	1	2	2	2	1	1.426264754702098	0.5635461902751393
0	2	2	0	1	1	2	2	2	2	1	1.426264754702098	0.564593428234648
2	0	0	2	0	1	1	1	2	2	1	1.0	0.564593428234648
0	0	1	1	0	2	0	2	2	2	0	0.4262647547020979	0.564593428234648
2	2	0	0	0	1	2	0	1	2	1	1.0	0.564593428234648
2	1	1	0	1	1	2	1	0	1	0	0.0	0.564593428234648
0	0	0	2	2	0	1	0	0	1	0	0.0	0.5670793788844781
1	1	2	2	2	1	0	2	1	0	1	1.3575520046180838	0.5670793788844781
0	0	2	2	2	1	2	1	1	1	0	0.0	0.5670793788844781
2	0	0	0	1	0	2	2	2	1	0	0.3219280948873626	0.5670793788844781
0	1	2	0	2	1	2	2	0	0	1	1.3575520046180838	0.5670793788844781
2	2	2	1	1	1	0	2	1	1	0	0.3219280948873626	0.5670793788844781
2	1	2	0	0	2	0	2	2	1	0	0.3219280948873626	0.5670793788844781
2	2	1	1	0	1	2	1	0	2	0	0.0	0.5670793788844781
1	2	2	0	0	2	1	0	0	1	0	0.0	0.5670793788844781
2	2	1	0	0	0	2	2	0	0	0	0.3575520046180838	0.5670793788844781
1	1	1	2	2	0	0	1	2	2	0	0.0	0.5670793788844781
2	1	1	2	1	1	2	1	1	2	0	0.0	0.5670793788844781
1	2	1	0	1	2	1	0	2	2	0	0.0	0.5670793788844781
1	2	2	2	2	1	1	0	2	1	0	0.0	0.5670793788844781
2	2	1	2	1	1	0	2	1	1	0	0.3219280948873626	0.5670793788844781
0	1	2	1	0	2	0	0	2	2	1	1.0	0.5670793788844781
1	0	1	0	0	2	1	1	0	0	0	0.0	0.5670793788844781
1	2	2	0	1	2	0	2	2	1	0	0.3219280948873626	0.5670793788844781
1	2	1	0	0	2	1	0	1	1	0	0.0	0.5670793788844781
2	2	2	0	0	0	1	0	2	2	1	1.0	0.5670793788844781
2	1	1	0	2	0	1	2	2	2	1	0.4262647547020979	0.5670793788844781
2	0	0	0	1	1	2	1	1	2	1	1.0	0.5670793788844781
2	2	1	2	0	0	0	2	2	2	1	0.4262647547020979	0.5670793788844781
1	0	0	2	2	0	0	1	1	0	1	1.0	0.5670793788844781
2	0	0	0	2	1	2	2	0	0	1	1.3575520046180838	0.5740584350491666
2	0	0	0	0	1	1	1	1	2	1	1.0	0.5740584350491666
2	2	2	0	0	1	1	1	1	1	0	0.0	0.5740584350491666
2	1	2	2	1	2	0	1	2	2	1	1.0	0.5740584350491666
1	1	2	1	1	2	0	0	0	0	1	1.0	0.5740584350491666
2	2	1	0	1	2	1	0	1	2	0	0.0	0.5740584350491666
1	0	0	0	2	1	0	2	0	0	1	1.3575520046180838	0.5740584350491666
2	1	1	0	0	1	2	0	2	1	0	0.0	0.5740584350491666
1	2	2	1	1	2	0	2	2	0	1	1.3575520046180838	0.5740584350491666
0	2	0	1	0	2	1	1	0	0	1	1.0	0.5740584350491666
1	1	1	0	1	0	2	2	0	2	1	1.426264754702098	0.5740584350491666
1	1	1	0	2	2	1	1	1	0	0	0.0	0.5740584350491666
1	1	1	0	1	2	0	2	0	2	1	0.4262647547020979	0.5740584350491666
0	0	2	0	2	1	0	1	1	0	1	1.0	0.5740584350491666
1	1	0	1	0	0	0	0	2	0	1	1.0	0.5740584350491666
0	1	1	2	2	2	2	0	0	1	0	0.0	0.5740584350491666
1	0	0	1	0	1	2	1	2	0	1	1.0	0.5740584350491666
0	2	2	1	0	2	1	2	1	1	0	0.3219280948873626	0.5740584350491666
2	2	0	0	2	1	1	2	0	0	1	1.3575520046180838	0.5740584350491666
2	2	1	0	1	1	0	1	1	1	0	0.0	0.5740584350491666
1	0	1	2	1	0	2	1	1	2	0	0.0	0.5740584350491666
1	0	0	2	0	0	0	1	2	1	0	0.0	0.5740584350491666
1	2	1	2	1	1	2	0	0	0	0	0.0	0.5740584350491666
0	0	2	2	0	2	2	2	2	2	1	1.426264754702098	0.5740584350491666
0	0	2	0	2	1	2	0	0	0	1	1.0	0.5740584350491666
2	2	0	0	1	1	1	2	0	0	1	1.3575520046180838	0.5740584350491666
1	2	0	0	0	2	0	2	1	0	1	1.3575520046180838	0.5740584350491666
1	1	1	1	2	0	0	1	2	1	0	0.0	0.5740584350491666
1	2	1	1	2	0	2	2	1	1	0	0.3219280948873626	0.5740584350491666
2	2	1	0	2	2	2	2	0	1	0	0.3219280948873626	0.5740584350491666
1	0	2	2	0	0	0	0	1	2	1	1.0	0.5766364662261703
0	0	1	0	2	2	1	2	1	1	0	0.3219280948873626	0.5766364662261703
1	2	1	2	1	0	0	1	0	2	0	0.0	0.5766364662261703
0	0	1	1	0	1	2	1	2	1	0	0.0	0.5766364662261703
1	0	0	0	0	0	1	0	1	0	1	1.0	0.5766364662261703
0	0	0	0	1	1	1	1	2	1	0	0.0	0.5766364662261703
2	0	0	1	2	0	1	1	1	2	1	1.0	0.5766364662261703
0	0	1	0	2	1	1	0	2	0	1	1.0	0.5766364662261703
1	2	1	1	2	0	2	0	2	2	1	1.0	0.5766364662261703
2	0	1	0	0	0	1	1	2	0	0	0.0	0.5766364662261703
2	1	2	2	1	0	0	2	0	2	1	1.426264754702098	0.5766364662261703
0	1	0	1	0	0	0	2	2	0	1	1.3575520046180838	0.5766364662261703
2	1	1	0	0	1	1	1	1	1	0	0.0	0.5766364662261703
2	2	1	1	2	0	0	1	0	1	0	0.0	0.5766364662261703
1	2	2	0	0	2	1	1	2	2	1	1.0	0.5766364662261703
2	0	0	2	1	2	0	2	2	0	1	1.3575520046180838	0.5766364662261703
2	0	2	1	1	2	2	0	2	1	0	0.0	0.5766364662261703
0	0	2	2	0	1	2	1	0	2	1	1.0	0.5766364662261703
0	0	2	0	0	0	1	0	0	1	0	0.0	0.5766364662261703
1	0	0	2	0	1	0	1	0	0	1	1.0	0.5766364662261703
0	2	0	2	2	0	1	0	0	0	1	1.0	0.5766364662261703
2	1	2	2	0	1	1	2	1	2	1	1.426264754702098	0.5766364662261703
2	2	2	1	1	2	0	2	1	2	1	1.426264754702098	0.5766364662261703
0	2	1	1	2	2	1	1	1	2	0	0.0	0.5766364662261703
2	1	0	2	1	0	2	2	0	1	0	0.3219280948873626	0.5789840993009059
1	1	2	1	2	0	2	0	0	1	0	0.0	0.5789840993009059
1	0	2	0	2	0	1	2	1	0	1	1.3575520046180838	0.5789840993009059
1	2	0	2	1	0	2	0	1	0	1	1.0	0.5789840993009059
0	2	0	0	2	1	2	1	2	2	1	1.0	
0	2	0	1	1	0	2	2	2	2	1	1.426264754702098	
2	0	2	1	2	2	2	1	2	1	0	0.0	
0	2	0	1	2	1	0	1	1	2	1	1.0	
2	2	2	1	1	1	0	0	2	2	1	1.0	
0	2	1	0	2	0	1	1	2	1	0	0.0	
0	0	1	2	0	0	2	0	0	1	0	0.0	
1	2	0	2	1	0	1	2	0	2	1	1.426264754702098	
2	2	2	1	1	1	1	0	2	2	1	1.0	
2	1	1	2	0	2	0	2	2	1	0	0.3219280948873626	
