X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	2	1	0	0	2	1	1	0	0	0	0.046825492279442105
2	2	1	2	0	2	1	2	2	0	1	0	0.046825492279442105
1	1	0	0	0	2	0	2	0	0	1	0	0.046825492279442105
2	2	0	2	2	2	0	0	2	2	1	0	0.046825492279442105
1	1	2	2	0	2	2	1	1	0	1	0	0.046825492279442105
1	0	0	2	0	2	2	0	0	0	1	0	0.046825492279442105
0	0	0	1	0	0	2	2	2	0	1	0	0.046825492279442105
2	1	1	1	2	1	1	2	1	0	1	1	0.046825492279442105
0	1	2	2	0	0	2	0	0	1	1	0	0.046825492279442105
1	0	2	0	1	1	1	2	0	2	1	0	0.046825492279442105
0	2	1	2	2	1	0	1	0	2	1	0	0.05854887448088508
1	1	1	0	1	1	2	2	2	0	1	1	0.05854887448088508
0	0	0	0	0	1	2	0	0	1	1	0	0.05854887448088508
0	1	0	0	0	0	0	0	2	1	1	0	0.05854887448088508
1	2	1	0	1	2	2	1	2	2	1	0	0.05854887448088508
2	0	0	1	1	1	2	1	0	1	1	0	0.05854887448088508
0	1	2	1	2	2	2	2	1	0	1	1	0.05854887448088508
1	2	0	2	0	2	0	1	0	2	1	0	0.05854887448088508
2	0	1	2	2	1	1	2	1	1	1	0	0.05854887448088508
0	1	2	0	0	0	0	0	2	2	1	0	0.05854887448088508
0	0	1	2	0	0	1	2	2	1	1	0	0.05854887448088508
0	0	0	1	1	1	0	0	1	0	1	1	0.05854887448088508
2	0	1	1	1	1	1	1	0	1	1	0	0.05854887448088508
1	2	2	2	0	2	0	1	0	0	1	0	0.05854887448088508
2	0	2	2	0	0	2	2	2	1	1	0	0.05854887448088508
1	1	2	0	2	0	0	0	0	2	1	0	0.05854887448088508
1	1	0	2	0	1	0	0	2	1	1	0	0.06321595085518827
1	2	1	2	2	1	1	2	0	1	1	0	0.06321595085518827
1	0	2	0	2	1	0	1	1	2	1	0	0.06321595085518827
1	1	1	0	2	0	0	1	1	0	1	1	0.06321595085518827
1	0	1	1	2	2	1	0	2	2	1	0	0.06321595085518827
0	1	1	1	2	0	1	0	1	2	1	0	0.06321595085518827
1	2	0	0	0	1	1	2	0	2	1	0	0.06321595085518827
2	0	0	0	2	1	0	2	0	1	1	0	0.06321595085518827
1	1	0	0	0	0	0	0	0	0	1	0	0.06321595085518827
0	0	1	2	0	0	2	2	1	0	1	0	0.06321595085518827
1	1	0	1	1	2	1	2	1	2	1	0	0.06321595085518827
0	0	0	2	1	0	0	1	0	1	1	0	0.06321595085518827
0	1	0	1	2	0	2	2	0	1	1	0	0.06321595085518827
0	0	1	1	0	0	0	0	2	2	1	0	0.06321595085518827
0	2	0	0	0	2	1	2	2	0	1	0	0.06321595085518827
0	2	1	0	1	2	1	2	1	2	1	0	0.06321595085518827
1	2	2	1	0	2	0	1	0	1	1	0	0.06321595085518827
