X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	2	0	1	1	1	1	0	1	0	0.0	0.24603631285842698
2	2	2	1	1	2	0	0	1	2	0	0.6650689840316772	0.24603631285842698
0	1	1	1	2	2	1	0	1	0	1	1.0	0.24603631285842698
2	2	1	0	0	0	2	2	0	2	0	0.6650689840316772	0.24603631285842698
0	1	0	1	0	2	0	2	1	1	0	0.0	0.24603631285842698
2	1	0	1	2	0	0	1	0	0	0	0.0	0.24603631285842698
2	0	0	0	1	0	2	1	1	0	0	0.0	0.24897518816018815
2	2	1	0	1	2	1	2	2	2	1	1.6650689840316772	0.24897518816018815
0	1	0	0	0	2	1	2	0	2	0	0.3325344920158386	0.2720766335491802
0	1	0	2	2	1	0	1	0	1	1	1.0	0.2720766335491802
0	2	2	0	1	1	2	0	2	2	1	1.3325344920158386	0.2720766335491802
0	0	2	1	1	2	1	2	1	2	0	0.3325344920158386	0.2720766335491802
0	2	0	1	2	2	0	0	1	2	1	1.3325344920158386	0.2720766335491802
2	2	0	0	2	0	0	0	0	2	1	1.3301379680633545	0.2720766335491802
2	2	1	1	0	1	1	2	0	2	0	0.6650689840316772	0.2720766335491802
0	2	1	0	2	1	2	2	0	1	1	1.0	0.2720766335491802
2	1	0	0	0	1	0	1	1	0	1	1.0	0.2720766335491802
1	0	2	2	2	1	2	2	2	0	0	0.0	0.2720766335491802
1	2	0	1	0	1	2	0	1	2	1	1.6650689840316772	0.2720766335491802
2	2	0	1	0	0	0	2	1	2	1	1.6650689840316772	0.2720766335491802
2	0	1	2	2	0	2	0	1	1	0	0.0	0.3023331362750342
1	0	0	2	0	0	1	0	0	2	0	0.6650689840316772	0.3023331362750342
0	1	2	0	1	1	0	1	2	2	1	1.3325344920158386	0.3023331362750342
1	0	1	2	2	1	1	0	2	0	0	0.0	0.3023331362750342
0	0	0	0	1	2	2	0	2	0	1	1.0	0.3023331362750342
0	0	2	1	1	2	2	0	0	0	1	1.0	0.3023331362750342
0	1	2	0	2	1	0	2	0	2	0	0.3325344920158386	0.3023331362750342
2	1	1	2	1	2	2	2	1	2	0	0.6650689840316772	0.3023331362750342
0	1	2	2	2	0	0	1	2	0	0	0.0	0.3071218349261664
0	1	0	0	0	2	2	1	2	0	0	0.0	0.3071218349261664
1	0	1	2	1	1	0	1	0	1	0	0.0	0.3071218349261664
1	1	1	0	0	1	2	1	1	2	1	1.6650689840316772	0.3071218349261664
2	2	2	1	0	1	2	0	1	1	0	0.0	0.3071218349261664
1	1	2	0	1	2	0	0	0	2	0	0.3301379680633545	0.3071218349261664
1	1	0	1	2	2	0	0	1	0	1	1.0	0.3071218349261664
2	1	0	0	0	1	2	1	0	1	1	1.0	0.3071218349261664
1	2	1	1	0	0	2	0	0	0	0	0.0	0.3071218349261664
1	2	0	0	2	0	1	0	1	1	0	0.0	0.3071218349261664
2	2	2	0	1	0	2	1	2	1	0	0.0	0.3071218349261664
1	2	2	0	2	1	2	0	0	2	0	0.6650689840316772	0.31025326187581626
1	1	2	0	0	1	2	2	2	2	0	0.6650689840316772	0.31025326187581626
1	0	0	1	2	1	0	2	0	2	0	0.6650689840316772	0.31025326187581626
1	2	0	0	1	2	2	2	1	0	0	0.0	0.31025326187581626
2	0	0	2	2	0	0	2	2	1	1	1.0	0.31025326187581626
0	1	2	0	1	1	0	1	1	2	0	0.3325344920158386	0.3160262242552111
0	2	1	2	0	2	0	2	2	2	0	0.3325344920158386	0.3160262242552111
1	1	0	0	2	0	1	2	1	1	0	0.0	0.3160262242552111
0	1	0	2	2	1	1	0	1	0	1	1.0	0.3160262242552111
0	0	2	0	2	1	2	1	2	0	0	0.0	0.3160262242552111
1	2	2	2	2	2	2	2	0	0	0	0.0	0.3340527372407477
0	2	1	1	1	0	1	2	1	2	0	0.3325344920158386	0.3340527372407477
0	1	2	0	2	1	2	2	2	2	0	0.3325344920158386	0.3340527372407477
1	1	0	0	1	2	0	2	1	1	1	1.0	0.3340527372407477
2	0	2	1	0	1	2	1	2	1	1	1.0	0.3340527372407477
1	1	1	0	2	1	0	2	0	0	0	0.0	0.3340527372407477
