X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	1	2	1	1	1	1	1	2	0	0	0.2976883556932549
2	2	0	2	2	0	0	2	0	1	1	1	0.2976883556932549
0	0	1	2	0	0	2	2	2	2	1	1	0.3312069675447481
0	1	1	0	0	1	1	2	0	1	1	1	0.3376245740417194
0	0	2	2	2	1	2	1	2	0	0	0	0.44109749406905385
1	1	1	1	0	1	2	1	0	0	0	0	0.46052437589233153
2	1	2	0	0	2	1	2	2	2	0	0	0.47567074259856035
2	2	0	0	2	0	2	2	1	1	0	0	0.47567074259856035
1	0	2	0	1	2	2	0	2	0	0	0	0.47567074259856035
2	0	2	2	0	2	2	0	1	0	1	1	0.47567074259856035
2	0	0	1	0	2	0	1	1	1	1	1	0.5089028506444672
1	1	1	1	0	1	0	0	2	2	0	0	0.5089028506444672
2	0	0	0	2	2	2	2	2	0	0	0	0.5089028506444672
0	1	1	1	2	2	0	2	1	0	0	0	0.5248441385743711
1	2	2	0	0	1	0	2	0	2	0	0	0.5248441385743711
0	2	1	0	0	2	0	0	1	0	1	1	0.5248441385743711
1	0	1	0	2	1	2	0	1	2	1	1	0.5248441385743711
0	1	0	2	1	1	2	2	0	1	0	0	0.5248441385743711
2	2	0	0	2	1	0	2	2	0	0	0	0.5248441385743711
1	1	0	2	0	2	1	1	2	2	0	0	0.5248441385743711
2	1	2	0	1	2	0	1	0	0	1	1	0.5248441385743711
1	0	0	1	0	0	1	1	2	2	0	0	0.5340219026439331
0	0	0	0	2	1	0	2	0	0	0	0	0.5340219026439331
0	1	2	0	1	1	1	1	2	0	1	1	0.5340219026439331
2	2	2	1	0	2	1	0	1	1	0	0	0.5340219026439331
1	2	1	1	1	0	2	2	0	2	1	1	0.5340219026439331
1	1	2	0	1	2	1	1	1	1	1	1	0.5340219026439331
0	2	1	1	0	2	2	1	2	0	0	0	0.5340219026439331
1	1	2	2	0	2	0	2	1	1	0	0	0.5487451401102804
1	1	2	0	1	2	0	1	1	1	0	0	0.5487451401102804
2	2	1	0	2	0	0	0	0	0	1	1	0.5487451401102804
1	2	1	2	1	2	0	1	0	1	0	0	0.5487451401102804
2	2	2	1	2	0	0	2	2	0	1	1	0.5487451401102804
0	0	0	1	2	1	2	0	0	1	0	0	0.5487451401102804
0	2	1	2	1	0	1	1	2	0	0	0	0.5487451401102804
0	0	1	0	1	1	2	0	1	2	1	1	0.5489915179842739
2	1	2	0	2	2	0	2	1	1	0	0	0.5585621255657662
2	1	1	0	1	0	0	0	0	0	1	1	0.5585621255657662
1	2	1	1	2	2	2	2	0	2	0	0	0.5585621255657662
1	2	1	0	1	2	2	0	1	2	1	1	0.5585621255657662
0	2	0	2	0	1	0	0	0	2	0	0	0.5599275777060218
2	1	1	1	0	2	0	0	1	2	0	0	0.5599275777060218
1	0	0	2	0	1	2	0	1	0	1	1	0.5649437625180855
1	0	2	1	0	1	2	0	0	1	0	0	0.5649437625180855
0	1	1	0	2	1	0	0	2	2	0	0	0.5649437625180855
2	1	2	1	0	1	0	2	2	1	0	0	0.5649437625180855
2	2	2	1	0	2	2	0	1	2	1	1	0.5649437625180855
2	1	0	2	2	0	1	1	0	0	0	0	0.5818058129322987
0	1	0	0	0	2	0	2	2	1	1	1	0.5818058129322987
0	2	2	1	1	2	1	0	2	0	1	1	0.5818058129322987
2	0	0	2	0	1	1	2	2	2	1	1	0.5818058129322987
2	0	0	1	0	0	2	2	0	1	1	1	0.5818058129322987
2	2	1	0	0	1	2	1	1	2	1	1	0.5818058129322987
1	2	0	1	0	0	2	1	1	2	0	0	0.5818058129322987
1	2	0	1	0	0	0	2	2	0	1	1	0.5818058129322987
1	2	2	1	2	1	2	0	0	1	0	0	0.5818058129322987
1	2	2	0	2	0	0	0	0	2	1	1	0.5818058129322987
2	0	1	1	2	1	0	2	1	2	1	1	0.5818058129322987
0	0	2	1	1	0	2	1	1	1	0	0	0.5818058129322987
0	1	2	2	1	0	1	2	1	0	1	1	0.5818058129322987
0	0	1	1	1	1	1	0	2	1	1	1	0.5818058129322987
2	0	0	1	0	0	0	1	0	1	1	1	0.5818058129322987
0	1	2	2	0	1	0	1	1	0	1	1	0.5818058129322987
2	1	1	0	1	1	1	0	2	2	1	1	0.5818058129322987
1	0	2	1	2	2	1	0	0	1	1	1	0.5818058129322987
1	1	2	1	0	1	1	0	0	1	1	1	0.5818058129322987
2	1	1	0	0	2	2	1	2	0	1	1	0.5818058129322987
1	0	1	2	1	1	2	0	2	1	0	0	0.5818058129322987
0	2	1	0	0	2	2	1	1	0	1	1	0.5818058129322987
1	0	2	1	2	0	1	0	1	1	1	1	0.5818058129322987
0	1	1	0	1	0	1	1	1	2	1	1	0.5818058129322987
0	0	0	1	0	1	0	2	0	0	0	0	0.5818058129322987
0	0	1	0	2	2	2	2	1	2	1	1	0.5818058129322987
0	1	1	2	2	1	0	2	2	0	0	0	0.5818058129322987
0	2	0	0	0	1	1	1	1	0	0	0	0.5818058129322987
2	1	1	1	0	0	2	2	2	2	1	1	0.5818058129322987
1	2	1	2	2	2	1	2	1	2	0	0	0.5818058129322987
2	0	0	2	0	0	1	0	2	2	0	0	0.5818058129322987
0	1	0	2	0	0	0	2	2	0	1	1	0.5818058129322987
2	2	0	2	1	1	2	1	1	2	1	1	0.5818058129322987
1	1	0	0	1	2	1	0	1	2	1	1	0.5818058129322987
2	0	1	0	0	1	0	2	1	1	1	1	0.5818058129322987
1	0	0	0	2	2	0	2	1	1	1	1	0.5818058129322987
0	2	0	1	0	1	1	2	1	1	0	0	0.5818058129322987
2	2	2	1	2	2	1	0	0	0	1	1	0.5818058129322987
1	1	1	2	2	0	2	1	0	2	1	1	0.5818058129322987
1	2	2	2	1	0	1	0	2	0	0	0	0.5818058129322987
1	0	1	2	1	2	0	1	0	0	0	0	0.5818058129322987
0	2	0	0	0	1	0	0	0	1	0	0	0.5818058129322987
2	1	2	1	0	0	2	0	2	1	1	1	0.5818058129322987
1	2	0	0	0	1	1	1	2	2	1	1	0.5818058129322987
0	0	1	0	0	2	2	1	0	1	0	0	0.5818058129322987
2	2	0	0	1	0	2	2	2	1	1	1	0.5818058129322987
2	0	2	0	0	1	1	1	1	0	0	0	0.5818058129322987
0	1	2	0	0	1	2	0	0	0	0	0	0.5818058129322987
0	2	1	0	0	1	2	2	2	2	0	0	0.5818058129322987
1	2	0	1	1	2	0	1	2	0	0	0	0.5818058129322987
2	2	2	1	0	0	1	1	2	2	0	0	0.5818058129322987
0	2	2	2	1	2	0	0	1	1	1	1	0.5818058129322987
1	2	1	0	2	2	2	2	0	2	0	0	0.5818058129322987
0	0	1	1	2	0	0	0	0	0	1	1	0.5818058129322987
2	1	1	0	2	2	0	2	0	0	1	1	0.5818058129322987
0	1	1	2	1	0	2	2	2	0	1	1	0.5818058129322987
2	2	0	0	2	1	2	1	0	2	0	0	0.5818058129322987
1	2	2	1	2	1	1	0	0	0	1	1	0.5818058129322987
1	0	1	2	2	2	2	2	2	1	0	0	0.5818058129322987
0	2	0	0	1	2	0	0	1	0	1	1	0.5818058129322987
1	0	2	0	1	1	0	0	1	2	1	1	0.5818058129322987
0	0	1	1	2	1	1	0	2	0	1	1	0.5818058129322987
0	0	2	2	0	2	1	0	1	0	0	0	0.5818058129322987
0	0	2	0	0	1	2	1	0	1	0	0	0.5818058129322987
0	0	0	1	2	1	1	2	2	0	1	1	0.5818058129322987
2	2	0	1	2	1	1	2	1	2	0	0	0.5818058129322987
0	1	1	0	1	0	2	0	2	0	1	1	0.5818058129322987
1	1	1	2	0	1	1	2	1	1	0	0	0.5818058129322987
2	2	0	1	1	1	1	2	1	0	0	0	0.5818058129322987
2	1	0	2	1	1	0	2	1	2	1	1	0.5818058129322987
2	2	1	2	2	1	0	0	2	1	0	0	0.5818058129322987
1	0	2	0	0	2	2	2	0	2	0	0	0.5818058129322987
1	0	2	0	1	1	2	1	0	0	0	0	0.5818058129322987
0	2	2	1	2	1	0	2	0	0	0	0	0.5818058129322987
1	1	2	0	2	2	1	0	1	0	1	1	0.5818058129322987
1	1	2	1	1	0	2	1	2	0	1	1	0.5818058129322987
1	0	0	0	0	0	1	2	0	1	0	0	0.5818058129322987
2	2	1	1	1	2	2	1	2	0	0	0	0.5818058129322987
2	0	0	0	1	1	1	0	0	1	1	1	0.5818058129322987
2	2	0	0	0	1	2	0	1	0	1	1	0.5818058129322987
2	1	2	2	2	0	2	2	2	1	1	1	0.5818058129322987
2	1	2	0	2	1	0	0	2	1	0	0	0.5818058129322987
0	2	1	1	0	0	2	1	1	0	0	0	0.5818058129322987
2	2	0	1	0	1	1	0	1	1	0	0	0.5818058129322987
0	0	1	0	1	1	0	1	2	1	0	0	0.5818058129322987
0	0	0	2	2	2	2	0	1	1	1	1	0.5818058129322987
2	0	0	0	2	2	0	0	2	0	0	0	0.5905015633573744
0	0	2	2	0	1	1	0	2	0	1	1	0.5905015633573744
1	1	0	0	0	1	1	1	2	0	1	1	0.5905015633573744
2	0	2	2	1	2	2	0	0	2	0	0	0.5905015633573744
