X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	1	0	0	0	1	0	2	2	0	0.0	0.3987412877343953
2	0	1	2	0	2	0	2	2	1	1	1.0	0.4120390373332129
2	0	2	0	2	2	2	1	1	0	1	1.0	0.4120390373332129
1	1	2	1	2	1	2	1	1	0	1	1.0	0.47523271552107293
2	0	1	1	0	1	2	0	1	0	0	0.0	0.5020334324632949
1	2	0	0	0	1	0	1	0	1	1	1.0	0.5375201943102258
0	1	0	1	0	2	0	0	0	2	1	1.0	0.5375201943102258
0	2	0	2	1	1	0	2	2	1	1	1.0	0.5375201943102258
1	1	1	1	1	2	1	0	1	1	1	1.0	0.5375201943102258
1	0	1	2	2	1	1	1	2	0	0	0.0	0.5375201943102258
0	2	1	0	2	2	0	0	0	0	1	1.0	0.5375201943102258
2	2	1	2	2	2	0	0	2	2	1	1.0	0.5375201943102258
2	1	0	2	1	1	0	1	1	0	0	0.0	0.5516290854434482
2	2	1	1	2	1	1	0	1	0	0	0.0	0.5516290854434482
1	0	2	2	1	1	0	2	2	1	1	1.0	0.5516290854434482
1	0	0	2	1	2	0	2	1	1	1	1.0	0.5516290854434482
0	0	1	0	2	0	2	2	0	0	1	1.0	0.5516290854434482
1	0	0	2	2	1	2	2	0	1	1	1.0	0.5516290854434482
2	0	2	1	0	2	0	0	2	2	0	0.0	0.5516290854434482
2	1	0	2	1	0	0	2	0	0	0	0.0	0.5516290854434482
0	0	2	2	2	1	1	0	0	1	0	0.0	0.5516290854434482
1	0	0	2	2	0	2	0	1	2	1	1.0	0.5516290854434482
1	2	2	2	0	0	2	2	0	2	1	1.0	0.5516290854434482
1	1	2	0	0	0	1	1	2	2	1	1.0	0.5561511309801538
1	1	1	2	2	1	2	1	0	2	1	0.0	0.5561511309801538
1	2	2	0	2	1	1	1	1	1	0	0.0	0.5561511309801538
1	1	2	2	1	1	0	2	0	2	0	0.0	0.5561511309801538
1	0	1	2	1	0	2	1	0	1	1	1.0	0.5561511309801538
2	0	0	0	1	2	0	0	1	1	1	1.0	0.5561511309801538
1	0	1	0	2	1	1	2	0	0	0	0.0	0.5561511309801538
0	1	1	1	1	0	0	2	1	1	1	1.0	0.5561511309801538
0	1	2	1	1	1	2	2	2	0	1	1.0	0.5561511309801538
1	0	0	2	0	2	0	2	1	2	1	1.0	0.5561511309801538
1	0	1	1	2	0	0	0	2	1	0	0.0	0.5561511309801538
0	1	2	1	0	1	0	0	0	0	1	1.0	0.5561511309801538
2	2	0	2	2	2	2	0	1	0	1	1.0	0.5561511309801538
1	1	0	2	2	2	2	1	0	1	0	0.0	0.5561511309801538
1	0	1	1	0	2	2	2	0	0	0	0.0	0.5615383837945531
1	2	2	0	1	1	2	2	0	1	1	1.0	0.5642661212554289
2	1	0	2	0	2	0	2	2	0	0	0.0	0.5642661212554289
2	0	1	1	0	0	0	1	2	2	0	0.0	0.5656727669076473
0	2	2	2	1	0	1	2	2	0	0	0.0	0.5656727669076473
2	0	1	0	2	0	2	0	0	2	1	1.0	0.5658958055045583
0	2	2	1	2	0	1	0	0	1	0	0.0	0.5658958055045583
2	2	0	0	2	0	0	2	0	2	1	1.0	0.5658958055045583
2	1	1	0	0	1	2	2	0	0	0	0.0	0.5732181693043232
0	0	0	0	2	2	0	0	0	1	1	1.0	0.5732181693043232
2	0	1	0	1	1	1	0	1	2	0	0.0	0.5732181693043232
0	2	0	1	0	2	0	0	0	1	0	0.0	0.5732181693043232
