X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	1	1	1	0	2	1	2	0	1	1.0	0.1388766816464535
2	1	1	0	0	1	1	1	0	2	1	1.0	0.1388766816464535
2	0	2	1	0	0	0	1	2	1	1	1.0	0.1388766816464535
2	0	0	0	1	1	2	2	1	1	1	1.0	0.18503707765130184
2	2	2	2	0	2	0	0	1	1	0	0.0	0.18503707765130184
2	0	1	2	2	0	0	1	1	0	0	0.0	0.18503707765130184
0	1	1	0	2	0	2	1	0	1	1	1.0	0.18503707765130184
0	1	0	1	2	1	0	0	0	2	1	1.0	0.20167248971771068
0	1	1	1	2	0	2	1	2	0	0	0.0	0.20167248971771068
1	2	2	0	0	2	1	2	1	0	1	1.0	0.20167248971771068
2	1	1	1	2	1	0	1	0	0	0	0.0	0.20202884842072377
0	1	1	2	1	2	1	0	1	0	0	0.0	0.20202884842072377
0	0	1	1	1	1	0	0	0	2	0	0.0	0.20202884842072377
0	0	1	0	1	0	1	0	0	1	1	1.0	0.20202884842072377
0	2	0	2	1	0	1	0	1	0	0	0.0	0.20202884842072377
0	2	1	2	2	0	1	1	2	2	0	0.0	0.20202884842072377
0	0	2	1	2	0	0	0	2	0	0	0.0	0.22974003491686878
0	0	1	0	0	2	0	0	2	2	0	0.0	0.22974003491686878
1	1	0	0	2	0	1	0	0	0	1	1.0	0.22974003491686878
0	2	0	1	2	2	0	0	0	1	0	0.0	0.22974003491686878
1	0	0	0	2	0	2	2	0	2	1	1.0	0.22974003491686878
0	0	0	1	1	2	1	1	1	0	1	1.0	0.22974003491686878
1	0	2	2	1	0	2	1	2	0	0	0.0	0.22974003491686878
2	2	0	1	1	1	1	2	1	1	1	1.0	0.22974003491686878
0	1	0	0	1	2	1	0	0	0	0	0.0	0.22974003491686878
0	0	2	0	0	2	0	1	2	1	1	1.0	0.22974003491686878
0	1	2	2	1	0	1	1	0	2	0	0.0	0.22974003491686878
2	0	2	2	0	1	0	1	0	0	0	0.0	0.22974003491686878
0	1	0	1	1	0	2	2	2	2	0	0.0	0.2365683178277651
2	2	1	0	0	0	0	0	0	2	0	0.0	0.2365683178277651
1	0	2	2	0	0	1	1	2	1	1	1.0	0.2365683178277651
2	1	0	2	0	0	2	1	1	0	1	1.0	0.2365683178277651
2	2	2	0	2	1	2	2	0	2	0	0.0	0.2365683178277651
2	1	2	0	0	1	2	2	0	0	1	1.0	0.2365683178277651
1	2	0	1	0	0	1	1	2	0	1	1.0	0.2365683178277651
2	1	1	0	1	2	2	1	2	0	1	1.0	0.2365683178277651
1	1	1	0	2	1	1	0	1	2	1	1.0	0.2365683178277651
0	0	2	2	0	0	1	0	0	0	1	1.0	0.2365683178277651
0	0	1	2	1	1	0	0	2	1	1	1.0	0.2365683178277651
1	1	2	1	2	2	1	2	0	1	1	1.0	0.2365683178277651
1	2	0	0	0	2	0	1	1	2	1	1.0	0.2365683178277651
1	1	1	0	0	0	0	0	1	0	0	0.0	0.2365683178277651
2	1	2	1	0	0	2	1	2	2	0	0.0	0.2365683178277651
1	2	1	1	1	0	1	1	2	2	1	1.0	0.2365683178277651
0	1	0	2	0	0	2	0	2	1	1	1.0	0.2365683178277651
2	2	0	1	2	0	2	1	2	0	0	0.0	0.2365683178277651
1	0	2	0	0	0	2	0	2	2	1	1.0	0.2365683178277651
0	1	2	0	0	0	1	1	0	0	0	0.0	0.2365683178277651
1	0	0	2	2	0	2	1	1	0	0	0.0	0.2365683178277651
1	0	0	1	1	0	0	0	1	0	0	0.0	0.2365683178277651
2	0	1	1	2	1	1	2	1	2	1	1.0	0.23826144780218517
1	0	0	2	2	2	0	1	0	0	0	0.0	0.23826144780218517
1	1	2	2	1	2	2	2	0	2	1	1.0	0.23826144780218517
1	2	0	0	1	0	1	1	2	2	1	1.0	0.24516891955613074
0	2	2	2	2	1	2	0	1	0	0	0.0	0.24516891955613074
2	1	2	2	1	1	2	0	0	2	1	1.0	0.264221139773992
2	0	0	2	2	0	1	0	1	0	1	1.0	0.264221139773992
2	0	1	2	2	0	0	2	1	1	0	0.0	0.264221139773992
2	1	1	0	0	0	1	2	1	1	1	1.0	0.264221139773992
2	1	1	0	2	0	1	1	1	0	0	0.0	0.264221139773992
0	1	2	2	2	2	2	1	0	0	1	1.0	0.2681681295618704
0	0	0	0	2	2	2	0	2	2	1	1.0	0.2681681295618704
1	2	1	0	2	1	2	0	0	0	1	1.0	0.2681681295618704
1	1	2	0	0	2	0	1	0	1	1	1.0	0.2681681295618704
0	2	0	1	0	2	2	1	1	1	0	0.0	0.2681681295618704
0	1	1	2	2	1	2	1	0	2	0	0.0	0.2681681295618704
0	1	1	1	2	2	1	0	2	2	1	1.0	0.2681681295618704
0	0	1	1	1	0	1	0	1	0	0	0.0	0.2681681295618704
2	0	0	1	0	1	1	0	0	0	0	0.0	0.2681681295618704
2	2	0	1	2	2	0	0	2	2	1	1.0	0.2681681295618704
2	0	2	2	2	1	0	2	1	1	1	1.0	0.2681681295618704
2	2	1	2	2	2	1	1	1	2	0	0.0	0.2681681295618704
2	0	1	1	2	1	2	0	2	0	1	1.0	0.2681681295618704
1	2	2	2	0	1	2	2	1	1	0	0.0	0.2681681295618704
1	2	2	2	1	1	2	2	2	0	1	1.0	0.2681681295618704
1	0	0	2	2	0	2	1	0	0	0	0.0	0.2681681295618704
2	2	0	0	0	0	2	1	1	1	0	0.0	0.2681681295618704
1	1	1	0	1	0	2	2	0	1	1	1.0	0.272098901973751
1	1	2	0	1	0	2	2	1	1	0	0.0	0.272098901973751
2	1	0	0	0	0	2	2	2	1	1	1.0	0.272098901973751
2	0	1	0	1	1	1	2	1	2	0	0.0	0.272098901973751
2	1	1	0	1	0	0	2	2	1	1	1.0	0.272098901973751
1	1	1	0	0	1	1	1	0	1	0	0.0	0.272098901973751
2	1	1	1	1	1	2	1	1	1	0	0.0	0.272098901973751
2	1	0	2	0	2	0	1	2	2	1	1.0	0.272098901973751
