X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	0	2	1	1	0	2	2	0	1	1	0.3373361721056759
0	2	0	0	0	2	2	2	2	0	0	0	0.42934354342159964
0	1	0	0	1	1	1	0	0	0	1	1	0.42934354342159964
0	0	0	2	0	1	1	1	1	2	0	0	0.45088496522648436
1	0	0	2	0	2	2	2	1	1	0	0	0.45088496522648436
1	1	2	2	2	0	0	2	1	0	0	0	0.476716324249982
1	0	0	2	1	1	1	1	0	2	0	0	0.476716324249982
2	0	1	1	1	2	1	0	1	0	1	1	0.476716324249982
0	0	0	2	1	1	1	0	2	2	0	0	0.476716324249982
2	0	2	2	2	0	1	0	2	2	1	1	0.476716324249982
0	1	0	1	0	0	0	2	2	1	0	0	0.476716324249982
2	0	2	1	2	1	1	0	1	0	0	0	0.476716324249982
0	2	0	0	2	1	2	2	2	0	0	0	0.4909804549474251
1	1	1	0	2	0	0	1	0	0	1	1	0.4909804549474251
1	1	0	2	2	0	2	0	0	1	0	0	0.4909804549474251
2	0	2	0	2	2	0	0	2	1	0	0	0.5149783560605247
2	2	1	2	1	1	2	1	2	0	1	1	0.5149783560605247
1	2	1	1	0	1	1	0	2	0	1	1	0.5435562731678296
1	2	2	1	1	2	1	0	1	2	0	0	0.5435562731678296
1	0	1	1	2	0	2	0	2	1	0	0	0.5435562731678296
2	2	1	1	2	2	0	0	1	1	1	1	0.5435562731678296
0	2	2	2	2	0	1	2	2	1	1	1	0.5435562731678296
1	2	1	0	2	0	1	2	1	1	0	0	0.5435562731678296
2	2	2	2	2	0	0	1	2	1	1	1	0.5435562731678296
1	0	0	2	1	1	1	0	0	0	0	0	0.5435562731678296
2	1	0	0	1	1	0	1	1	0	1	1	0.5435562731678296
1	2	2	2	1	0	2	2	1	1	1	1	0.5435562731678296
0	1	1	0	0	1	0	2	0	2	0	0	0.5435562731678296
0	0	1	2	1	1	0	2	2	1	1	1	0.5435562731678296
1	2	0	2	2	0	2	2	2	1	1	1	0.5435562731678296
