X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	0	0	1	1	2	1	1	2	0	0	0.12776209390341853
0	1	0	2	0	2	0	2	1	0	1	1	0.12959242824003914
0	0	0	0	0	1	2	1	2	2	1	3	0.1349382576033279
2	0	2	0	2	2	0	2	1	1	0	0	0.14901688143346192
0	1	1	2	2	1	1	2	2	1	1	1	0.14901688143346192
1	2	0	2	2	1	1	1	0	1	1	1	0.14901688143346192
0	2	0	1	0	1	1	2	1	2	1	3	0.14901688143346192
1	1	2	1	0	0	1	0	1	2	1	3	0.14901688143346192
1	2	0	0	0	2	1	0	2	2	1	3	0.14901688143346192
1	2	1	1	1	0	0	1	2	2	0	0	0.14901688143346192
1	1	2	0	2	2	2	0	2	0	1	3	0.14953063250351895
1	0	1	1	2	0	0	0	2	2	0	0	0.14953063250351895
0	0	2	2	1	2	0	0	0	0	1	1	0.14953063250351895
1	1	1	2	0	2	2	2	2	1	0	1	0.14953063250351895
2	2	2	2	2	2	0	1	1	0	0	1	0.14953063250351895
2	1	0	2	0	2	2	1	0	0	0	1	0.14953063250351895
1	0	1	1	1	1	0	2	1	1	1	3	0.14953063250351895
2	0	1	2	1	1	2	1	1	1	0	1	0.14953063250351895
0	0	0	2	1	2	2	0	1	2	1	1	0.14953063250351895
2	2	0	1	0	1	1	2	2	2	0	0	0.14953063250351895
1	0	1	0	2	1	0	1	1	0	0	0	0.14953063250351895
2	1	1	0	2	0	0	0	0	2	1	1	0.14953063250351895
0	1	0	2	0	1	1	0	0	1	1	1	0.14953063250351895
2	2	2	1	1	2	2	2	0	2	1	3	0.14953063250351895
0	1	0	1	1	2	2	2	0	1	1	3	0.14953063250351895
1	0	2	0	0	2	1	0	1	1	0	0	0.14953063250351895
2	2	2	0	2	0	2	1	0	2	0	1	0.14953063250351895
1	0	0	1	1	2	2	2	2	1	0	0	0.14953063250351895
0	2	2	0	1	1	0	0	0	1	0	1	0.14953063250351895
1	2	0	1	2	0	1	0	2	1	0	0	0.14953063250351895
2	0	2	0	0	2	0	1	0	0	0	1	0.14953063250351895
2	0	1	0	1	1	1	2	1	1	0	0	0.14953063250351895
0	0	1	2	1	2	0	2	1	1	0	1	0.1597784528515952
2	2	0	0	2	2	0	0	0	1	0	1	0.1597784528515952
0	1	0	2	0	0	2	1	2	0	0	1	0.1597784528515952
0	1	2	1	0	2	2	2	1	0	1	3	0.1597784528515952
0	0	0	2	0	0	1	1	2	2	0	1	0.1597784528515952
2	2	0	1	0	2	1	1	0	2	1	3	0.1597784528515952
0	0	0	1	0	2	1	1	1	2	1	3	0.1597784528515952
1	2	1	0	1	1	1	1	0	2	0	1	0.1597784528515952
1	0	2	1	1	1	2	0	1	1	1	3	0.1597784528515952
2	0	0	0	1	2	0	0	1	0	0	0	0.1597784528515952
0	0	2	1	2	0	0	1	0	2	1	3	0.1597784528515952
0	0	0	2	1	1	1	2	0	2	0	1	0.1597784528515952
1	0	0	1	0	1	0	1	1	0	1	3	0.1597784528515952
2	2	1	0	1	2	2	2	1	1	0	0	0.1597784528515952
1	0	0	1	2	2	2	2	1	1	1	3	0.1597784528515952
0	1	0	2	2	1	0	2	2	1	0	1	0.1597784528515952
1	0	1	1	1	2	2	2	0	2	1	3	0.1597784528515952
1	1	0	2	1	0	0	0	0	1	0	1	0.1597784528515952
2	0	0	1	1	2	0	2	2	2	0	0	0.1597784528515952
2	1	0	2	0	2	2	1	0	2	0	1	0.1597784528515952
0	0	2	0	0	1	2	0	1	0	0	0	0.1597784528515952
2	1	0	0	2	0	0	2	2	0	1	3	0.1597784528515952
1	0	0	0	1	2	0	1	2	1	1	3	0.1597784528515952
1	2	2	2	2	0	2	1	2	0	0	1	0.1597784528515952
0	1	1	2	0	1	2	2	1	0	0	1	0.1597784528515952
1	0	2	0	2	2	0	0	0	1	0	1	0.1597784528515952
0	1	0	0	0	0	0	0	2	0	1	3	0.1597784528515952
0	2	0	0	2	0	1	0	2	2	1	3	0.1597784528515952
1	2	1	1	0	0	1	1	1	0	1	3	0.1597784528515952
0	2	2	2	2	1	2	0	0	1	0	1	0.1597784528515952
1	2	0	2	0	0	0	1	2	0	0	1	0.1597784528515952
2	1	2	1	1	2	0	1	1	2	1	3	0.1597784528515952
2	1	1	2	1	1	1	1	1	2	0	1	0.1597784528515952
2	2	0	2	0	0	0	2	1	2	0	1	0.1597784528515952
0	0	2	0	1	0	2	2	2	2	1	3	0.1597784528515952
0	2	0	2	0	0	2	1	0	2	0	1	0.1597784528515952
0	1	0	0	0	2	1	1	0	1	0	1	0.1597784528515952
1	1	0	0	0	1	2	1	2	2	1	3	0.1597784528515952
1	2	2	1	1	0	0	0	2	2	0	0	0.1597784528515952
1	2	2	0	2	1	2	0	1	1	0	0	0.1597784528515952
2	1	1	1	1	1	0	2	2	0	0	0	0.16216445838963234
1	1	0	1	2	1	1	2	2	2	0	0	0.16216445838963234
2	0	1	1	1	2	2	1	1	1	1	3	0.16216445838963234
1	2	2	0	1	0	1	0	0	2	0	1	0.16216445838963234
2	0	2	2	1	0	0	0	1	0	0	1	0.16216445838963234
1	2	2	1	2	2	2	1	2	1	0	0	0.16216445838963234
0	1	2	1	1	0	2	1	1	1	1	3	0.16216445838963234
0	1	2	0	2	0	1	0	2	1	1	3	0.16216445838963234
0	0	0	2	2	0	0	1	1	0	0	1	0.16216445838963234
2	0	2	0	1	0	1	2	0	0	0	1	0.16216445838963234
2	0	2	0	1	1	2	0	0	2	0	1	0.16216445838963234
0	1	2	2	0	0	1	0	0	1	0	1	0.16216445838963234
1	0	0	0	2	0	1	0	1	2	0	0	0.16216445838963234
0	0	2	2	0	0	0	0	1	1	0	1	0.16216445838963234
0	0	0	2	2	1	0	0	0	1	0	1	0.16216445838963234
1	0	1	2	1	2	0	2	1	1	0	1	0.16216445838963234
0	0	1	2	2	0	0	0	2	1	0	1	0.16216445838963234
0	0	2	1	2	0	2	0	1	2	1	3	0.16216445838963234
0	1	0	2	2	1	2	0	2	2	0	1	0.16216445838963234
2	1	1	0	1	1	1	2	0	1	0	1	0.16216445838963234
1	1	2	0	1	0	2	1	2	1	1	3	0.16216445838963234
1	2	0	0	0	2	0	2	2	1	1	3	0.16216445838963234
2	1	2	0	2	1	2	2	2	0	1	3	0.16216445838963234
2	1	1	0	2	1	0	1	2	0	1	3	0.16216445838963234
1	2	2	0	2	2	0	1	0	2	0	1	0.16216445838963234
1	1	1	2	1	1	0	1	0	1	0	1	0.16216445838963234
1	2	1	2	2	0	0	0	1	1	0	1	0.16216445838963234
2	1	0	2	1	2	2	2	1	1	0	1	0.16216445838963234
2	0	2	0	1	1	2	2	2	2	1	3	0.16216445838963234
0	0	1	2	2	2	2	2	1	2	0	1	0.16216445838963234
2	1	2	1	0	2	0	1	2	0	0	0	0.16216445838963234
0	1	0	2	0	0	2	1	0	2	0	1	0.16216445838963234
0	2	2	2	1	0	0	2	0	1	0	1	0.16216445838963234
1	1	0	1	0	2	1	0	1	0	1	3	0.16216445838963234
0	1	1	1	2	0	0	2	0	2	1	3	0.16216445838963234
1	2	2	1	2	1	1	0	0	1	1	3	0.16216445838963234
2	2	2	1	1	2	0	0	1	0	1	3	0.16216445838963234
1	1	1	2	0	1	0	1	2	1	0	1	0.16216445838963234
