X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	0	0	2	1	2	2	2	0	1	1	0.3578099860751838
1	0	2	1	0	0	0	2	2	1	1	1	0.36727752560051385
2	0	1	0	2	2	0	1	1	2	1	1	0.36727752560051385
0	2	1	2	2	0	1	1	2	1	1	1	0.36727752560051385
2	0	1	0	1	2	1	0	1	2	0	0	0.370908449078453
0	2	2	1	2	1	0	0	1	1	0	0	0.370908449078453
0	0	1	1	1	1	0	1	0	0	1	1	0.370908449078453
2	2	2	1	2	2	0	2	2	2	1	1	0.370908449078453
2	0	0	1	1	0	1	2	0	1	1	1	0.370908449078453
1	1	0	1	1	0	0	2	1	1	1	1	0.41750885063389886
2	1	0	2	1	2	2	0	0	2	1	1	0.41750885063389886
1	0	2	1	0	2	0	1	2	0	0	0	0.41750885063389886
0	2	0	0	0	2	1	2	1	0	1	1	0.41750885063389886
2	0	0	2	2	2	1	2	0	1	1	1	0.43267551018647166
1	0	1	2	2	2	2	1	1	0	1	1	0.43267551018647166
0	2	2	0	2	0	2	0	0	2	1	1	0.43267551018647166
0	2	2	0	1	2	0	0	0	2	1	1	0.43267551018647166
2	0	1	2	1	2	0	1	1	1	1	1	0.43267551018647166
0	2	1	0	2	1	2	0	2	1	0	0	0.43267551018647166
2	2	2	0	1	0	0	1	0	1	0	0	0.4359043301164034
0	1	2	0	0	0	0	0	2	2	1	1	0.4359043301164034
2	1	1	1	1	2	2	2	2	0	0	0	0.4359043301164034
1	2	0	1	2	0	2	0	1	2	1	1	0.4359043301164034
2	2	1	0	1	1	1	1	0	0	1	1	0.4359043301164034
1	1	2	2	1	1	1	0	0	0	1	1	0.4398935329145933
0	1	1	0	0	1	1	2	0	1	0	0	0.4412612576900474
2	1	0	0	1	1	2	1	2	0	0	0	0.4412612576900474
1	1	2	2	1	1	0	0	0	1	1	1	0.4412612576900474
0	0	0	0	2	1	0	2	0	2	1	1	0.4412612576900474
1	0	2	0	1	2	0	1	1	1	0	0	0.4412612576900474
2	0	1	0	1	0	2	0	1	2	0	0	0.4412612576900474
0	2	1	2	0	0	1	2	2	0	0	0	0.4412612576900474
0	0	1	0	0	2	1	2	0	0	0	0	0.4412612576900474
1	0	0	2	0	2	0	0	1	0	1	1	0.4412612576900474
1	0	2	2	2	1	1	1	1	0	0	0	0.4412612576900474
2	0	2	0	1	1	2	2	0	0	1	1	0.4412612576900474
1	0	1	1	1	0	2	2	1	2	0	0	0.4412612576900474
0	2	0	1	1	2	0	1	2	2	0	0	0.4412612576900474
1	0	2	1	1	2	2	2	1	2	1	1	0.4412612576900474
1	0	2	2	0	0	0	2	1	0	1	1	0.4412612576900474
1	2	0	0	0	2	2	1	0	1	0	0	0.4412612576900474
0	1	2	2	1	0	2	0	2	1	1	1	0.4412612576900474
1	1	1	0	0	2	0	2	2	1	0	0	0.4412612576900474
0	2	1	0	2	2	0	1	0	1	1	1	0.4412612576900474
1	0	2	0	1	0	2	0	1	0	1	1	0.4412612576900474
1	2	0	2	1	0	2	1	0	1	0	0	0.4412612576900474
1	1	0	0	0	1	2	1	1	0	0	0	0.4443561544868847
1	1	1	2	2	2	2	1	2	1	1	1	0.4443561544868847
2	0	0	2	1	1	0	2	0	2	1	1	0.4443561544868847
1	0	1	2	0	0	0	0	1	0	0	0	0.4443561544868847
0	0	2	2	1	2	2	0	0	0	1	1	0.4443561544868847
2	2	1	1	1	2	2	1	0	0	1	1	0.4443561544868847
2	2	1	2	0	0	1	1	0	1	1	1	0.4443561544868847
1	0	0	2	1	1	1	1	1	0	0	0	0.4443561544868847
1	1	2	1	2	2	2	1	2	2	0	0	0.4443561544868847
0	2	0	1	2	1	0	0	1	0	1	1	0.4443561544868847
1	1	2	2	2	0	0	0	2	2	1	1	0.4443561544868847
0	0	0	1	0	0	1	1	1	2	0	0	0.4502367543775777
1	1	1	2	1	1	0	2	1	2	0	0	0.4502367543775777
2	2	0	2	0	2	0	1	0	0	0	0	0.4502367543775777
2	0	2	1	2	2	0	1	2	0	0	0	0.4502367543775777
1	2	1	1	0	2	1	1	1	1	1	1	0.4502367543775777
1	0	2	0	2	2	0	1	0	1	0	0	0.4502367543775777
1	0	0	1	1	0	2	0	1	0	1	1	0.4502367543775777
1	2	2	2	0	1	1	0	2	2	1	1	0.4502367543775777
1	0	0	1	2	0	0	1	0	0	0	0	0.4502367543775777
0	1	0	2	1	2	0	1	1	0	0	0	0.4502367543775777
0	1	1	2	1	2	0	0	1	0	0	0	0.4502367543775777
1	2	1	1	2	1	0	0	1	0	0	0	0.4502367543775777
2	1	1	1	0	1	0	2	0	0	0	0	0.4502367543775777
0	2	0	2	1	2	2	2	0	1	1	1	0.4502367543775777
1	0	1	2	2	2	0	1	0	2	1	1	0.4502367543775777
1	1	1	0	1	1	2	0	1	1	0	0	0.4502367543775777
0	1	1	1	0	2	0	2	0	2	0	0	0.4502367543775777
0	1	1	1	2	2	0	2	1	2	0	0	0.4502367543775777
1	2	2	2	0	0	1	2	2	0	1	1	0.4502367543775777
0	1	0	0	0	1	0	2	0	2	1	1	0.4502367543775777
2	1	2	2	2	2	1	2	0	0	1	1	0.4502367543775777
1	2	0	0	2	2	0	2	2	1	1	1	0.4502367543775777
1	0	2	2	1	2	2	0	0	2	1	1	0.4502367543775777
1	2	0	1	0	0	0	2	2	0	1	1	0.4502367543775777
1	2	0	2	1	0	1	0	2	2	1	1	0.4502367543775777
1	2	0	2	2	0	1	1	2	1	0	0	0.4502367543775777
1	0	1	0	0	0	0	0	1	0	0	0	0.4502367543775777
0	2	2	1	2	1	0	1	0	1	0	0	0.4502367543775777
0	1	2	1	0	0	0	2	1	2	1	1	0.4502367543775777
1	0	1	0	1	2	1	0	0	2	0	0	0.4502367543775777
2	2	0	0	1	2	2	1	0	1	0	0	0.4502367543775777
2	2	0	1	0	2	0	0	1	1	1	1	0.4503385927779249
2	2	0	1	1	2	2	2	2	0	1	1	0.4503385927779249
1	1	1	1	1	1	2	0	0	1	0	0	0.4503385927779249
0	2	2	0	0	1	2	2	1	0	1	1	0.4503385927779249
2	1	0	1	1	2	1	0	2	2	1	1	0.4503385927779249
2	2	1	0	1	0	1	0	0	1	0	0	0.4503385927779249
1	2	2	0	2	0	0	1	2	1	0	0	0.4503385927779249
1	2	1	2	2	2	2	2	1	2	0	0	0.4503385927779249
0	2	0	2	0	2	2	1	1	2	0	0	0.4503385927779249
0	1	1	1	1	2	2	2	0	2	0	0	0.4503385927779249
2	0	0	1	1	1	1	0	1	1	1	1	0.4503385927779249
0	2	2	1	1	0	0	0	2	0	0	0	0.4503385927779249
0	0	0	2	2	2	1	2	0	2	1	1	0.4503385927779249
0	2	0	1	1	1	2	1	2	2	0	0	0.4503385927779249
1	0	1	2	1	1	0	1	1	1	1	1	0.4503385927779249
0	2	1	1	2	2	1	2	0	1	0	0	0.4503385927779249
1	2	2	2	1	0	2	2	2	2	1	1	0.4503385927779249
2	2	0	2	1	0	1	0	2	0	1	1	0.4503385927779249
1	2	0	2	2	2	2	1	2	2	0	0	0.4503385927779249
2	0	0	0	2	0	1	1	1	1	0	0	0.4503385927779249
1	1	0	0	1	2	1	1	1	0	0	0	0.4503385927779249
1	2	0	1	1	2	2	1	0	0	0	0	0.4503385927779249
0	0	1	1	0	0	0	2	2	2	0	0	0.4503385927779249
1	0	0	0	2	1	0	1	2	2	0	0	0.4503385927779249
0	1	0	2	0	0	2	2	1	1	1	1	0.4503385927779249
0	0	0	1	1	1	1	2	1	0	1	1	0.4503385927779249
2	1	0	2	0	0	2	1	0	1	0	0	0.4503385927779249
1	1	1	1	1	1	1	1	0	0	1	1	0.4503385927779249
0	1	2	1	0	2	1	2	0	0	1	1	0.4503385927779249
1	2	2	2	2	0	0	1	2	1	0	0	0.4503385927779249
0	2	1	0	0	0	0	0	2	1	0	0	0.4503385927779249
0	2	1	1	0	2	1	1	0	2	1	1	0.4503385927779249
0	1	1	0	2	0	0	1	2	0	1	1	0.4503385927779249
2	0	2	0	2	0	1	0	2	1	1	1	0.4503385927779249
2	0	0	1	0	1	2	0	1	0	1	1	0.4503385927779249
2	1	1	0	2	2	0	1	1	2	1	1	0.4503385927779249
0	0	1	1	1	0	2	2	0	0	0	0	0.4503385927779249
1	2	2	2	1	0	0	1	2	2	0	0	0.4503385927779249
0	2	0	0	1	0	2	0	2	0	1	1	0.4503385927779249
2	2	1	2	1	0	0	1	0	2	1	1	0.4503385927779249
0	1	1	0	1	0	2	2	2	0	0	0	0.4503385927779249
0	1	2	2	2	1	2	1	2	0	0	0	0.4503385927779249
2	2	0	2	2	0	2	0	2	1	1	1	0.45119610307442304
1	1	1	1	2	0	0	0	2	0	0	0	0.45119610307442304
1	0	1	0	1	2	0	0	1	2	0	0	0.45119610307442304
1	2	2	2	1	0	1	1	0	2	0	0	0.45119610307442304
2	1	0	0	2	1	1	2	1	0	1	1	0.45119610307442304
1	1	1	0	1	1	2	2	1	0	0	0	0.45119610307442304
1	2	0	0	0	1	2	0	2	2	1	1	0.45119610307442304
1	0	2	2	0	2	1	1	1	2	0	0	0.45119610307442304
1	1	2	0	0	0	2	1	1	1	0	0	0.45119610307442304
0	0	1	2	2	1	2	2	2	2	0	0	0.45119610307442304
0	0	0	0	0	1	0	2	2	0	1	1	0.45119610307442304
2	1	0	2	2	2	1	0	2	0	1	1	0.45119610307442304
1	0	0	1	1	0	2	1	1	2	0	0	0.45119610307442304
0	2	1	2	2	1	0	0	2	2	0	0	0.45119610307442304
1	2	1	2	2	1	1	1	0	2	1	1	0.45119610307442304
2	1	0	0	0	1	2	1	1	2	0	0	0.45119610307442304
1	1	0	1	0	2	2	0	1	2	1	1	0.45119610307442304
0	0	1	1	1	1	2	0	0	2	0	0	0.45119610307442304
1	1	2	1	1	2	2	0	2	2	0	0	0.45119610307442304
2	1	0	0	0	2	1	1	0	2	0	0	0.45119610307442304
2	2	2	2	0	1	1	2	0	1	1	1	0.45119610307442304
1	0	1	1	2	0	1	0	2	1	0	0	0.45119610307442304
2	0	1	0	2	1	0	2	1	1	0	0	0.45119610307442304
1	0	2	1	0	1	0	2	2	2	1	1	0.45119610307442304
