X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	0	2	1	2	2	2	1	1	0	0.13270103117146448	0.4070125941800925
2	0	2	2	1	1	2	1	1	0	1	1.0	0.4819890877632549
1	0	1	1	1	2	1	2	0	1	1	0.13270103117146448	0.48213244329730176
1	2	1	2	1	0	2	0	1	0	1	1.0	0.48265836519435645
2	1	0	1	0	2	2	2	2	2	0	0.041279683333641515	0.5060463200305987
0	0	2	1	0	0	2	1	2	0	0	0.0	0.5060463200305987
1	0	0	0	1	1	2	2	0	1	0	0.13270103117146448	0.5060463200305987
0	2	1	0	2	1	1	2	1	1	1	1.1327010311714645	0.5060463200305987
0	0	1	1	0	1	0	0	1	2	0	0.041279683333641515	0.5322723605964411
2	1	2	2	1	2	0	2	0	0	1	1.0	0.5322723605964411
2	2	0	1	0	2	0	1	1	2	0	0.04127968333341414	0.5322723605964411
1	0	1	0	1	1	2	1	2	0	1	1.0	0.5408511071365152
0	2	1	1	2	1	1	1	2	1	1	1.1327010311714503	0.5408511071365152
1	0	2	1	1	1	2	2	2	1	0	0.13270103117146448	0.5500331483633539
0	0	0	0	0	2	1	0	0	1	1	1.1327010311714645	0.5500331483633539
2	2	0	0	2	2	0	0	0	1	1	1.1327010311714645	0.5500331483633539
0	2	0	0	0	1	1	2	1	2	0	0.041279683333641515	0.5500331483633539
0	1	2	1	1	0	0	2	2	2	1	1.0412796833336415	0.5500331483633539
2	1	2	0	2	0	0	1	0	2	0	0.04127968333341414	0.5500331483633539
1	0	0	2	1	0	1	1	0	0	1	1.0	0.5529618321828644
1	0	0	1	2	1	0	1	0	1	1	1.1327010311714503	0.5529618321828644
1	0	2	1	2	2	2	0	1	1	1	1.1327010311714645	0.5529618321828644
1	2	0	0	2	0	1	0	1	0	0	0.0	0.5529618321828644
1	0	0	2	0	1	1	2	1	1	1	1.1327010311714645	0.556287879370686
2	1	2	1	2	2	0	1	1	2	0	0.04127968333341414	0.5695722873281798
2	0	1	1	1	0	1	2	2	2	1	1.0412796833336415	0.5695722873281798
2	2	0	1	1	2	0	0	1	1	1	0.13270103117146448	0.5695722873281798
1	2	2	2	1	0	1	1	1	1	1	0.13270103117156395	0.5695722873281798
0	0	0	2	0	0	0	0	2	0	0	0.0	0.5695722873281798
1	1	0	0	2	1	1	0	0	0	0	0.0	0.5695722873281798
0	1	2	1	1	0	1	1	0	2	1	1.0412796833334141	0.5695722873281798
1	0	0	1	2	2	0	1	1	1	1	1.1327010311714503	0.5695722873281798
1	1	1	0	1	2	0	1	0	0	1	1.0	0.5695722873281798
0	1	0	2	2	2	1	0	0	0	0	0.0	0.5695722873281798
0	2	0	0	0	2	1	2	1	0	0	0.0	0.5695722873281798
0	0	1	2	0	1	0	1	2	0	0	0.0	0.5695722873281798
1	1	1	2	0	2	1	2	1	2	0	0.041279683333641515	0.5695722873281798
1	2	2	2	0	1	1	1	1	2	0	0.04127968333341414	0.5695722873281798
0	0	2	2	2	1	2	0	0	1	1	1.1327010311714645	0.5695722873281798
1	0	1	2	2	1	0	2	2	2	0	0.041279683333641515	0.5695722873281798
0	2	1	2	0	1	2	1	0	2	0	0.04127968333341414	0.5695722873281798
1	2	2	0	0	2	0	0	0	0	0	0.0	0.5695722873281798
2	2	2	1	2	2	1	0	2	1	1	1.1327010311714645	0.5695722873281798
1	1	2	0	0	0	1	2	0	1	1	1.1327010311714645	0.5695722873281798
1	1	1	1	0	0	0	1	2	0	0	0.0	0.5695722873281798
2	1	2	2	2	1	2	1	0	0	0	0.0	0.5695722873281798
1	2	0	0	0	1	0	0	1	0	0	0.0	0.5695722873281798
1	1	2	0	2	0	1	2	0	1	1	1.1327010311714645	0.5695722873281798
1	2	1	2	2	1	2	1	0	2	0	0.04127968333341414	0.5695722873281798
1	2	0	1	2	1	2	0	1	0	0	0.0	0.5695722873281798
2	0	1	1	1	0	0	2	0	2	1	1.0412796833336415	0.5695722873281798
0	0	1	2	2	1	1	2	1	2	0	0.041279683333641515	0.5695722873281798
0	0	1	1	2	0	2	0	0	2	0	0.041279683333641515	0.5695722873281798
0	0	1	2	1	1	1	2	1	2	1	1.0412796833336415	0.5695722873281798
1	0	2	0	2	2	1	0	0	0	0	0.0	0.5695722873281798
2	2	2	0	2	1	2	2	0	2	0	0.041279683333641515	0.5695722873281798
0	2	2	1	1	1	0	0	2	1	0	0.13270103117146448	0.5695722873281798
2	2	1	1	2	2	1	2	0	2	0	0.041279683333641515	0.5695722873281798
2	0	0	0	1	1	1	1	1	2	1	1.0412796833334141	0.5695722873281798
0	2	1	2	0	1	1	2	0	1	1	1.1327010311714645	0.5695722873281798
0	0	2	0	0	0	0	2	2	0	0	0.0	0.5695722873281798
0	1	0	0	2	0	1	2	1	1	1	1.1327010311714645	0.5695722873281798
1	1	1	1	0	0	0	0	0	1	1	1.1327010311714645	0.5701613340328536
2	2	2	2	0	2	2	2	1	0	0	0.0	0.5701613340328536
2	1	2	0	2	1	0	1	0	0	0	0.0	0.5701613340328536
1	2	2	1	2	1	0	0	0	2	0	0.041279683333641515	0.5701613340328536
1	1	1	2	0	1	2	2	1	2	0	0.041279683333641515	0.5701613340328536
2	2	1	0	0	2	2	1	2	1	1	1.1327010311714503	0.5701613340328536
2	2	0	2	1	0	1	1	0	0	1	1.0	0.5701613340328536
2	2	1	1	0	1	2	1	0	1	1	1.1327010311714503	0.5701613340328536
1	0	2	1	1	0	2	2	2	1	0	0.13270103117146448	0.5701613340328536
2	2	0	1	1	1	1	1	2	0	1	1.0	0.5701613340328536
0	1	0	0	0	2	1	1	0	2	0	0.04127968333341414	0.5701613340328536
0	2	2	2	0	1	1	0	0	0	0	0.0	0.5701613340328536
2	2	0	1	1	0	0	2	2	2	1	1.0412796833336415	0.5701613340328536
1	2	1	2	2	0	1	1	1	1	1	1.1327010311714645	0.5701613340328536
0	2	2	2	2	1	1	2	0	2	0	0.041279683333641515	0.5701613340328536
0	0	2	0	2	2	1	1	2	2	0	0.04127968333341414	0.5701613340328536
0	1	2	1	1	0	1	1	2	0	1	1.0	0.5701613340328536
2	2	2	0	1	1	0	0	2	2	1	1.0412796833336415	0.5701613340328536
0	1	2	2	2	2	2	1	2	1	1	1.132701031171564	0.5723599906429895
2	2	1	0	1	2	1	1	2	2	1	1.0412796833334141	0.5723599906429895
0	0	2	0	1	2	0	2	1	1	0	0.13270103117146448	0.5723599906429895
0	1	1	2	2	2	0	2	2	0	0	0.0	0.5723599906429895
2	0	2	0	0	2	0	2	1	2	0	0.041279683333641515	0.5723599906429895
0	0	0	1	0	1	2	1	0	2	0	0.04127968333341414	0.5723599906429895
2	1	1	1	0	0	1	2	2	1	1	1.1327010311714645	0.5723599906429895
1	2	1	0	0	1	1	2	2	0	0	0.0	0.5723599906429895
2	0	0	1	1	0	1	1	2	1	0	0.13270103117145027	0.5723599906429895
1	0	0	2	1	2	0	1	0	0	1	1.0	0.5723599906429895
1	1	0	1	2	0	0	1	2	1	1	1.1327010311714503	0.5723599906429895
0	2	2	2	2	0	0	2	0	0	0	0.0	0.5723599906429895
1	1	2	2	0	1	1	1	0	0	0	0.0	0.5723599906429895
0	0	0	0	2	1	0	2	0	0	0	0.0	0.5723599906429895
1	0	2	0	1	1	0	0	2	1	0	0.13270103117146448	0.5723599906429895
2	2	0	2	1	1	2	0	1	0	1	1.0	0.5723599906429895
1	0	2	1	2	1	1	1	0	0	0	0.0	0.5723599906429895
2	0	1	1	1	0	0	2	2	0	1	1.0	0.5723599906429895
1	1	1	1	2	2	0	2	0	0	0	0.0	0.5723599906429895
2	0	2	0	2	0	0	1	1	2	0	0.04127968333341414	0.5723599906429895
0	1	1	0	2	2	0	0	0	1	1	1.1327010311714645	0.5723599906429895
2	0	1	2	1	1	1	0	1	1	0	0.13270103117146448	0.5723599906429895
2	0	0	0	1	2	2	1	1	2	1	1.0412796833334141	0.5723599906429895
