X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	1	2	1	1	1	1	1	2	0	0	0.053930405175095286
2	2	0	2	2	0	0	2	0	1	0	1	0.06603301902831105
0	0	1	2	0	0	2	2	2	2	0	1	0.06603301902831105
0	1	1	0	0	1	1	2	0	1	0	0	0.07665486500378316
0	0	2	2	2	1	2	1	2	0	0	0	0.07665486500378316
1	1	1	1	0	1	2	1	0	0	0	0	0.07665486500378316
2	1	2	0	0	2	1	2	2	2	0	0	0.07665486500378316
2	2	0	0	2	0	2	2	1	1	0	1	0.07665486500378316
1	0	2	0	1	2	2	0	2	0	0	1	0.07665486500378316
2	0	2	2	0	2	2	0	1	0	0	0	0.07665486500378316
2	0	0	1	0	2	0	1	1	1	1	1	0.08081555860306544
1	1	1	1	0	1	0	0	2	2	0	1	0.08469954888284781
2	0	0	0	2	2	2	2	2	0	0	1	0.08469954888284781
0	1	1	1	2	2	0	2	1	0	0	1	0.08469954888284781
1	2	2	0	0	1	0	2	0	2	0	1	0.08469954888284781
0	2	1	0	0	2	0	0	1	0	0	1	0.08469954888284781
1	0	1	0	2	1	2	0	1	2	0	1	0.08469954888284781
0	1	0	2	1	1	2	2	0	1	0	1	0.08496852477795547
2	2	0	0	2	1	0	2	2	0	0	1	0.08496852477795547
1	1	0	2	0	2	1	1	2	2	0	1	0.08496852477795547
2	1	2	0	1	2	0	1	0	0	0	1	0.08496852477795547
1	0	0	1	0	0	1	1	2	2	1	1	0.08496852477795547
0	0	0	0	2	1	0	2	0	0	1	1	0.08496852477795547
0	1	2	0	1	1	1	1	2	0	1	1	0.08496852477795547
2	2	2	1	0	2	1	0	1	1	1	1	0.08496852477795547
1	2	1	1	1	0	2	2	0	2	1	1	0.08496852477795547
1	1	2	0	1	2	1	1	1	1	1	1	0.08496852477795547
0	2	1	1	0	2	2	1	2	0	1	1	0.08856595915018317
1	1	2	2	0	2	0	2	1	1	1	1	0.08856595915018317
1	1	2	0	1	2	0	1	1	1	0	0	0.08856595915018317
2	2	1	0	2	0	0	0	0	0	1	1	0.08856595915018317
1	2	1	2	1	2	0	1	0	1	0	0	0.08856595915018317
2	2	2	1	2	0	0	2	2	0	1	1	0.08856595915018317
0	0	0	1	2	1	2	0	0	1	1	1	0.08856595915018317
0	2	1	2	1	0	1	1	2	0	1	1	0.08856595915018317
0	0	1	0	1	1	2	0	1	2	1	1	0.08856595915018317
2	1	2	0	2	2	0	2	1	1	1	1	0.08856595915018317
2	1	1	0	1	0	0	0	0	0	0	0	0.08856595915018317
1	2	1	1	2	2	2	2	0	2	1	1	0.08856595915018317
1	2	1	0	1	2	2	0	1	2	1	1	0.08856595915018317
0	2	0	2	0	1	0	0	0	2	0	0	0.08856595915018317
2	1	1	1	0	2	0	0	1	2	0	0	0.08856595915018317
1	0	0	2	0	1	2	0	1	0	0	1	0.08856595915018317
1	0	2	1	0	1	2	0	0	1	0	1	0.096975964089553
0	1	1	0	2	1	0	0	2	2	0	0	0.096975964089553
2	1	2	1	0	1	0	2	2	1	0	1	0.096975964089553
2	2	2	1	0	2	2	0	1	2	0	1	0.096975964089553
2	1	0	2	2	0	1	1	0	0	0	1	0.096975964089553
0	1	0	0	0	2	0	2	2	1	0	1	0.096975964089553
0	2	2	1	1	2	1	0	2	0	0	1	0.096975964089553
2	0	0	2	0	1	1	2	2	2	0	0	0.096975964089553
2	0	0	1	0	0	2	2	0	1	0	1	0.096975964089553
2	2	1	0	0	1	2	1	1	2	0	1	0.096975964089553
1	2	0	1	0	0	2	1	1	2	0	1	0.096975964089553
1	2	0	1	0	0	0	2	2	0	0	1	0.096975964089553
