X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	1	2	0	1	0	0	0	2	1	1	0.23177277121461226
1	2	0	0	0	0	0	2	0	0	1	1	0.23177277121461226
1	1	2	1	0	0	2	1	1	0	1	1	0.2612965215045324
0	2	0	0	2	1	0	0	1	1	0	0	0.2858651169754397
1	1	2	1	1	0	2	1	1	2	1	1	0.31978396195792735
1	1	0	1	1	0	0	0	1	2	1	1	0.35727819017600926
0	2	0	0	2	0	0	1	2	2	0	0	0.3786833908979219
0	2	0	0	0	2	1	0	0	0	1	1	0.3786833908979219
1	0	1	2	1	2	1	0	2	2	1	1	0.3786833908979219
0	0	0	2	2	0	0	2	0	1	1	1	0.38403466002530084
1	1	0	1	0	2	2	0	1	1	1	1	0.38403466002530084
0	1	2	0	1	2	1	0	0	1	0	0	0.38403466002530084
1	0	1	2	1	0	1	2	1	2	0	0	0.38403466002530084
2	1	0	1	0	1	0	1	2	2	1	1	0.38523962080851004
0	0	0	2	2	1	2	1	2	1	0	0	0.38523962080851004
2	0	0	2	0	2	2	2	1	0	0	0	0.38523962080851004
2	2	1	0	2	1	0	0	0	1	1	1	0.38523962080851004
1	2	2	2	1	2	1	2	1	0	0	0	0.4023148863458681
2	0	1	1	2	2	1	2	0	1	1	1	0.42121549075686116
2	0	0	2	0	1	1	2	1	1	0	0	0.42121549075686116
0	1	0	0	0	2	1	1	2	1	1	1	0.42121549075686116
1	1	0	1	2	2	2	0	1	0	1	1	0.42121549075686116
1	0	0	1	0	2	0	0	1	0	0	0	0.42353027196841087
2	2	0	2	2	0	2	2	0	2	1	1	0.42353027196841087
1	0	0	1	2	0	0	0	1	1	0	0	0.42353027196841087
0	2	1	1	0	1	2	1	2	0	0	0	0.4245706867418728
2	1	2	2	2	0	1	0	2	1	0	0	0.42639692583450184
1	0	1	2	0	1	0	2	1	2	0	0	0.42639692583450184
0	0	1	1	1	1	1	2	0	2	1	1	0.42639692583450184
1	2	2	1	1	1	2	2	0	1	1	1	0.42639692583450184
0	1	0	2	0	1	2	0	2	2	0	0	0.44798577704833975
0	1	1	0	1	2	2	0	1	2	1	1	0.44798577704833975
2	2	0	0	2	2	2	0	1	0	0	0	0.44798577704833975
2	0	2	1	1	2	0	0	2	2	1	1	0.44798577704833975
2	2	2	0	1	1	1	1	0	0	0	0	0.44798577704833975
0	0	1	2	2	1	0	2	2	1	1	1	0.44798577704833975
2	2	2	2	2	0	2	0	0	2	1	1	0.44798577704833975
1	1	1	1	2	1	0	1	0	0	1	1	0.44798577704833975
1	2	0	1	0	0	2	1	0	0	0	0	0.44798577704833975
0	2	0	1	2	0	2	1	1	1	0	0	0.44798577704833975
2	0	0	2	0	1	0	2	2	0	1	1	0.44798577704833975
0	1	0	2	2	2	0	1	2	1	1	1	0.44900130991156206
1	2	0	0	0	0	2	1	2	2	0	0	0.44900130991156206
1	2	0	0	1	1	0	2	2	0	1	1	0.44900130991156206
0	0	0	1	2	2	0	1	1	2	0	0	0.44900130991156206
1	0	0	2	2	0	0	2	2	0	1	1	0.44900130991156206
2	1	2	1	1	0	0	2	0	2	0	0	0.44900130991156206
0	2	0	0	0	1	0	1	0	1	0	0	0.46368030093606866
