X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	0	0	2	1	1	0	0	2	0	0	0.089273338973197
2	1	1	1	0	1	2	1	1	1	1	1	0.089273338973197
1	0	2	1	2	2	2	0	0	1	1	1	0.089273338973197
0	2	2	0	0	1	1	0	1	1	0	0	0.09042309446894625
2	1	1	1	0	1	2	1	2	0	1	1	0.09042309446894625
1	0	2	2	2	2	1	2	0	1	0	0	0.09161590322012736
0	1	2	2	1	2	1	2	0	1	0	0	0.09596291654058231
1	0	2	1	0	1	0	0	0	2	1	1	0.09596291654058231
1	1	2	2	2	0	2	1	1	0	1	1	0.09596291654058231
0	2	2	1	1	0	0	2	0	0	1	1	0.09596291654058231
0	0	1	2	1	2	1	0	1	0	1	1	0.09596291654058231
0	1	0	1	2	1	0	0	2	0	1	1	0.09596291654058231
2	1	2	2	0	1	1	2	2	1	0	0	0.09596291654058231
1	2	1	1	1	2	2	0	2	1	0	0	0.10452213212770334
0	2	2	1	1	1	1	1	1	2	0	0	0.10452213212770334
0	1	0	2	2	1	0	1	1	1	1	1	0.10452213212770334
0	2	0	1	1	1	1	2	0	2	1	1	0.10480464461611105
1	0	0	0	1	0	1	0	2	2	1	1	0.10480464461611105
0	1	0	2	2	0	2	0	1	2	0	0	0.10480464461611105
2	2	0	0	0	1	1	0	0	2	0	0	0.10480464461611105
2	1	2	0	2	0	2	2	1	1	0	0	0.1056498332646939
1	0	1	2	2	2	0	2	0	0	1	1	0.1056498332646939
0	1	1	1	1	2	1	0	1	0	1	1	0.1056498332646939
1	0	1	1	0	2	2	1	2	1	0	0	0.1056498332646939
1	1	2	2	0	2	0	2	1	2	0	0	0.1056498332646939
0	2	1	1	2	0	0	0	1	1	0	0	0.1056498332646939
0	0	1	2	1	2	1	2	0	2	0	0	0.1056498332646939
0	1	1	2	2	2	2	0	1	2	0	0	0.1056498332646939
2	1	1	0	2	0	0	2	0	1	0	0	0.1056498332646939
0	2	2	1	2	0	1	0	2	0	1	1	0.1056498332646939
2	1	1	1	0	0	2	0	0	1	0	0	0.1056498332646939
0	1	0	1	1	1	1	0	2	2	0	0	0.1056498332646939
2	1	0	2	1	0	1	1	0	2	1	1	0.1056498332646939
1	2	2	1	0	1	0	2	2	2	1	1	0.1056498332646939
2	1	2	0	1	0	1	1	1	2	1	1	0.1056498332646939
0	1	0	0	2	1	0	2	1	1	0	0	0.12839556843939903
2	1	2	0	2	0	0	2	0	0	0	0	0.12839556843939903
0	2	1	0	0	2	0	0	1	2	0	0	0.12839556843939903
1	1	2	0	0	1	0	1	1	1	1	1	0.12839556843939903
1	2	0	2	1	1	1	0	0	2	0	0	0.12839556843939903
1	2	2	1	2	1	1	1	0	2	0	0	0.12839556843939903
2	0	2	1	0	2	2	1	1	1	0	0	0.14122202510796966
0	0	2	0	1	0	1	1	0	2	0	0	0.14122202510796966
1	0	2	2	2	1	2	0	2	2	1	1	0.14122202510796966
1	2	2	0	2	2	1	2	0	1	1	1	0.14122202510796966
1	0	2	1	1	0	0	0	2	0	1	1	0.14860306606742135
