X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	2	1	2	2	0	2	1	1	1	1	0.018625712730457322
0	1	2	0	0	1	1	1	0	1	1	1	0.018625712730457322
1	2	2	2	1	2	2	2	0	1	0	0	0.032372038209519505
2	2	2	1	0	2	2	1	0	2	1	1	0.032372038209519505
0	1	1	2	0	2	2	2	0	0	1	1	0.032372038209519505
1	0	0	2	0	1	2	1	2	2	1	1	0.032372038209519505
0	0	0	0	0	2	2	2	1	1	1	1	0.035302554679672915
0	0	0	2	1	2	0	1	0	1	1	1	0.035302554679672915
0	2	1	2	2	1	2	1	0	1	0	0	0.035302554679672915
2	2	1	1	2	1	0	0	0	2	1	1	0.052955976207436084
1	2	0	1	2	1	1	2	2	2	1	1	0.052955976207436084
0	2	2	0	1	0	0	1	2	2	1	1	0.052955976207436084
1	2	1	2	2	2	0	2	2	1	1	1	0.06888537992917199
1	0	0	1	1	0	0	0	2	0	1	1	0.06888537992917199
2	2	0	0	0	1	1	2	0	1	1	1	0.1292042640736374
2	1	0	1	2	1	1	1	2	1	1	1	0.1292042640736374
2	0	0	2	1	1	2	2	0	2	1	1	0.14042800039953462
1	2	0	2	1	1	1	2	0	0	0	0	0.1495004681690425
1	2	0	2	2	0	1	1	2	1	1	1	0.1495004681690425
0	0	2	2	2	0	2	1	1	0	0	0	0.1495004681690425
1	2	2	0	0	0	0	0	0	0	0	0	0.1495004681690425
0	0	1	1	1	1	1	2	1	0	0	0	0.1495004681690425
2	2	2	2	0	1	1	2	2	2	0	0	0.1495004681690425
2	2	2	1	1	0	0	1	0	0	0	0	0.15769588419605796
0	0	0	1	0	1	2	2	0	2	0	0	0.15769588419605796
0	1	1	0	2	2	0	2	0	1	0	0	0.15769588419605796
1	2	1	0	0	0	0	2	2	2	0	0	0.15769588419605796
2	2	2	2	1	1	2	1	2	1	1	1	0.15769588419605796
2	1	1	0	2	0	1	0	2	0	0	0	0.15769588419605796
2	0	1	2	1	0	1	2	2	1	0	0	0.15769588419605796
1	2	2	1	0	0	2	2	2	0	0	0	0.15769588419605796
1	0	1	2	1	2	0	2	1	0	0	0	0.15769588419605796
0	1	1	0	2	0	2	0	0	2	1	1	0.15769588419605796
0	0	2	2	1	0	1	1	1	1	0	0	0.15769588419605796
1	0	2	2	0	1	2	1	1	2	1	1	0.15769588419605796
2	0	0	2	0	1	2	1	0	1	0	0	0.15769588419605796
2	2	0	2	2	0	0	1	1	2	1	1	0.15769588419605796
1	1	2	1	0	2	2	2	2	0	0	0	0.15769588419605796
0	2	2	1	0	0	1	2	2	1	0	0	0.15814319383756492
0	2	0	2	0	2	2	0	0	2	0	0	0.15814319383756492
0	0	2	0	2	0	1	1	2	1	0	0	0.15814319383756492
0	0	1	2	2	1	2	0	2	0	1	1	0.15814319383756492
2	1	1	1	0	1	2	2	1	1	0	0	0.16322462188971643
0	1	1	1	2	1	1	0	0	2	1	1	0.16322462188971643
1	0	0	1	0	0	0	1	1	1	1	1	0.16322462188971643
0	1	0	0	2	0	0	0	2	2	0	0	0.16322462188971643
1	0	0	0	1	2	0	1	2	1	0	0	0.16322462188971643
1	0	0	1	1	2	1	1	2	1	0	0	0.16322462188971643
2	1	2	1	0	2	0	2	1	2	0	0	0.16322462188971643
2	2	0	0	0	1	1	1	1	2	0	0	0.16322462188971643
0	1	1	2	1	2	2	0	1	2	0	0	0.16322462188971643
1	0	1	0	2	2	0	0	1	0	1	1	0.16322462188971643
0	0	2	1	2	1	1	0	0	2	0	0	0.16322462188971643
2	2	0	1	0	2	1	0	0	2	0	0	0.16322462188971643
2	1	1	0	0	2	1	2	2	1	0	0	0.16322462188971643
0	1	1	1	0	1	0	2	2	2	0	0	0.16322462188971643
1	2	0	1	2	0	2	1	2	2	1	1	0.16322462188971643
1	0	1	0	2	1	0	2	0	1	1	1	0.16322462188971643
1	0	1	2	0	1	0	1	1	1	1	1	0.16322462188971643
1	2	0	0	1	2	1	2	0	2	0	0	0.16322462188971643
1	1	1	0	1	0	0	2	1	1	1	1	0.16322462188971643
2	1	2	2	1	1	0	0	1	2	0	0	0.16322462188971643
2	2	0	0	2	2	1	1	1	0	1	1	0.16322462188971643
2	2	0	0	2	0	0	0	1	1	0	0	0.16322462188971643
1	2	1	1	1	0	0	0	2	1	0	0	0.16322462188971643
2	1	2	1	2	0	2	0	0	1	1	1	0.16322462188971643
0	1	0	2	0	2	0	0	0	0	0	0	0.16322462188971643
1	1	1	1	1	0	2	0	0	2	1	1	0.16322462188971643
1	1	0	0	0	0	1	1	1	0	0	0	0.16322462188971643
1	1	0	0	0	1	0	0	1	1	1	1	0.16322462188971643
0	2	1	1	2	1	0	0	2	2	0	0	0.16322462188971643
0	1	0	0	0	2	2	0	1	1	1	1	0.16322462188971643
0	2	1	0	2	1	2	1	0	1	0	0	0.16322462188971643
2	2	2	2	0	1	0	2	2	2	0	0	0.16322462188971643
2	2	1	0	0	2	2	1	2	0	0	0	0.16322462188971643
2	1	1	0	1	1	0	1	0	2	0	0	0.16322462188971643
2	2	0	1	1	0	0	0	2	1	0	0	0.16322462188971643
