X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	2	2	0	1	1	1	0	2	1	0	0	0.29287357439629347
0	2	2	2	2	2	2	0	0	2	0	1	0.29879315741406465
1	0	0	1	2	2	2	2	2	0	1	35	0.31498194742165075
1	0	2	0	2	1	1	1	0	2	1	35	0.31914494520850734
1	2	1	0	0	1	2	2	1	2	1	35	0.31914494520850734
0	0	0	0	0	0	2	2	0	0	0	1	0.31914494520850734
1	2	0	0	0	1	0	0	0	0	1	35	0.3342981738395936
1	2	2	1	0	2	1	0	0	1	1	35	0.3342981738395936
2	1	2	1	1	2	1	2	0	0	0	1	0.3342981738395936
1	1	0	2	0	2	2	1	2	1	1	35	0.3342981738395936
0	1	0	1	2	2	0	1	1	1	0	1	0.3342981738395936
0	2	2	0	2	0	0	0	0	2	0	1	0.3342981738395936
1	2	2	0	2	2	1	0	2	2	1	35	0.3342981738395936
0	0	1	0	2	2	0	2	1	0	0	1	0.3342981738395936
1	2	0	2	0	0	0	2	0	0	1	35	0.3342981738395936
1	2	1	0	0	1	2	1	1	2	1	35	0.3342981738395936
1	1	1	1	1	1	1	0	1	0	1	35	0.3342981738395936
1	2	1	2	0	2	1	0	2	1	1	35	0.3387008686664301
1	1	2	1	2	0	2	2	1	0	1	35	0.3387008686664301
1	2	1	1	2	0	2	1	0	1	1	35	0.3387008686664301
2	1	2	1	1	1	2	1	2	1	0	1	0.3387008686664301
1	2	0	2	0	0	0	0	0	0	1	35	0.3387008686664301
0	2	2	0	0	0	1	2	1	1	0	1	0.3387008686664301
2	1	0	0	1	2	1	2	0	2	1	52361	0.3387008686664301
0	2	2	1	1	0	2	1	2	1	0	1	0.3387008686664301
1	0	2	0	1	0	0	1	0	2	1	35	0.3387008686664301
0	1	1	1	1	2	1	0	2	2	0	1	0.3387008686664301
2	2	2	2	1	2	0	0	2	2	0	0	0.3387008686664301
1	1	2	1	0	2	0	1	2	1	1	35	0.3387008686664301
1	1	0	0	1	1	0	0	2	2	1	35	0.3387008686664301
0	2	0	2	2	2	2	2	2	1	1	3	0.3387008686664301
2	0	0	2	0	0	1	0	0	1	0	0	0.3387008686664301
0	2	2	2	1	1	0	0	2	2	0	1	0.3387008686664301
0	1	0	2	2	1	2	2	1	1	0	1	0.3387008686664301
0	0	0	1	1	0	2	2	0	0	0	1	0.3387008686664301
2	1	1	0	0	2	0	1	1	1	0	0	0.3387008686664301
2	0	1	0	2	1	2	0	0	2	0	1	0.3387008686664301
0	0	0	0	2	1	0	1	1	1	0	1	0.3387008686664301
1	0	0	1	2	1	1	2	0	2	1	35	0.3387008686664301
0	0	0	0	1	2	0	0	2	1	0	1	0.3387008686664301
2	1	1	2	2	1	2	0	2	2	0	0	0.3387008686664301
0	1	0	1	2	2	1	1	2	0	0	1	0.3387008686664301
2	2	0	2	1	2	0	2	0	2	1	2	0.3387008686664301
2	2	2	2	0	2	0	2	0	1	0	0	0.3387008686664301
2	0	0	1	0	1	1	1	0	2	0	0	0.3387008686664301
0	0	0	2	1	0	2	2	2	1	0	1	0.3387008686664301
0	2	1	1	0	0	2	2	0	0	0	1	0.3387008686664301
0	0	0	2	2	0	2	1	0	1	0	1	0.3387008686664301
2	1	2	1	2	0	2	0	0	0	0	1	0.3387008686664301
0	2	0	1	0	1	0	0	1	0	1	3	0.3387008686664301
2	2	1	2	1	2	1	1	2	2	0	1	0.3387008686664301
1	2	1	2	0	2	1	0	1	0	1	35	0.3387008686664301
0	1	1	1	0	2	1	1	1	2	0	1	0.3387008686664301
2	2	2	0	0	2	0	1	1	0	0	0	0.3387008686664301
1	0	2	1	0	1	0	0	0	1	1	35	0.3387008686664301
2	0	1	2	1	1	2	1	1	2	0	1	0.3387008686664301
1	2	1	1	2	0	1	0	1	1	1	35	0.3387008686664301
0	0	0	2	2	0	2	2	2	0	0	1	0.3387008686664301
1	1	1	2	0	2	0	0	0	2	1	35	0.34636176813138203
1	2	0	2	2	0	2	1	0	1	1	35	0.34636176813138203
2	1	0	1	2	2	0	1	1	0	0	1	0.34636176813138203
0	1	2	0	0	2	1	2	1	1	0	1	0.36605831987898196
2	2	0	2	0	1	2	2	0	0	1	2	0.37151814135071
2	2	0	0	2	1	2	1	2	2	1	595	0.3990194186134094
2	2	0	0	2	2	1	1	2	2	1	595	0.3990194186134094
2	0	0	2	2	0	0	2	2	2	0	0	0.3990194186134094
1	1	1	2	2	2	2	0	2	1	1	35	0.3990194186134094
2	0	1	2	1	1	1	0	0	0	1	1	0.3990194186134094
1	0	1	1	2	2	0	2	0	0	1	35	0.3990194186134094
0	0	1	2	1	2	2	1	2	2	1	1	0.3990194186134094
0	0	2	0	1	2	2	0	1	2	1	3	0.3990194186134094
0	0	0	1	0	2	1	0	0	1	1	1	0.3990194186134094
2	0	2	0	2	2	0	2	2	2	1	2	0.3990194186134094
2	1	1	1	1	0	0	2	1	1	0	0	0.3990194186134094
2	0	2	2	0	0	2	2	2	0	1	2	0.3990194186134094
0	0	0	0	0	1	1	0	1	1	0	1	0.3990194186134094
0	2	0	2	0	1	0	0	0	1	1	3	0.3990194186134094
0	2	0	2	0	0	1	2	1	0	1	3	0.408308899226958
2	1	1	1	0	0	0	0	2	0	0	0	0.408308899226958
1	0	0	2	0	2	2	0	0	0	1	35	0.408308899226958
1	1	1	2	1	2	2	2	1	2	1	35	0.408308899226958
1	0	0	2	2	1	1	1	1	2	1	35	0.408308899226958
0	1	1	2	0	2	1	2	0	1	0	1	0.408308899226958
0	1	2	0	1	2	1	1	0	0	0	1	0.408308899226958
2	2	1	1	1	1	0	0	2	2	0	1	0.408308899226958
0	1	0	2	0	2	0	2	0	1	0	1	0.408308899226958
1	2	1	1	0	2	0	1	0	2	1	35	0.42828998652261646
0	0	1	2	1	2	2	2	1	1	0	1	0.42828998652261646
1	2	0	1	0	1	2	2	2	0	1	35	0.42828998652261646
0	0	0	0	2	1	1	1	1	2	0	1	0.42828998652261646
2	2	1	0	1	2	2	1	2	1	0	1	0.42828998652261646
1	0	0	0	2	0	1	1	0	2	1	35	0.42828998652261646
1	2	1	0	0	2	0	0	0	1	1	35	0.42828998652261646
2	2	2	2	0	1	1	0	1	2	0	0	0.42828998652261646
1	1	2	1	2	0	2	2	0	0	1	35	0.42828998652261646
0	0	2	1	2	0	2	0	2	0	1	3	0.42828998652261646
1	0	2	0	2	1	1	0	2	2	1	35	0.42828998652261646
0	2	2	0	0	1	2	0	0	2	0	1	0.42828998652261646
1	0	1	0	1	0	1	2	0	0	1	35	0.42828998652261646
0	2	2	1	0	1	2	0	0	2	0	1	0.42828998652261646
1	0	1	0	1	0	0	0	2	0	1	35	0.42828998652261646
1	2	0	2	2	2	1	1	1	1	1	35	0.42828998652261646
1	1	0	1	0	2	0	0	0	1	1	35	0.42828998652261646
2	0	1	2	2	2	2	0	0	2	0	1	0.42828998652261646
2	0	1	2	0	1	2	0	0	0	0	1	0.42828998652261646
2	1	0	0	0	2	1	1	0	0	1	595	0.42828998652261646
1	2	0	2	0	2	2	0	2	1	1	35	0.42828998652261646
0	1	1	1	2	0	2	0	2	2	0	1	0.42828998652261646
1	2	1	1	0	1	1	1	2	1	1	35	0.42828998652261646
0	0	2	2	1	2	1	2	1	0	1	3	0.42828998652261646
1	2	1	2	1	0	1	2	2	2	1	35	0.42828998652261646
1	1	0	1	0	2	1	2	0	1	1	35	0.4290490966317446
2	2	0	2	0	1	1	1	2	1	1	2	0.4303813283303704
1	2	1	1	0	2	0	0	2	2	1	35	0.4303813283303704
0	1	1	2	2	0	0	1	1	0	0	1	0.4316217655726522
0	0	2	2	1	2	2	1	0	1	1	3	0.439330383259317
1	2	0	2	2	1	1	0	2	2	1	35	0.439330383259317
1	0	2	1	0	2	0	0	1	0	1	35	0.439330383259317
1	2	2	1	0	1	2	0	1	2	1	35	0.439330383259317
1	2	0	2	2	0	0	1	1	0	1	35	0.439330383259317
1	1	0	0	2	0	0	2	0	1	1	35	0.439330383259317
2	1	2	2	1	0	1	0	0	0	0	1	0.439330383259317
2	2	2	2	1	0	0	0	1	0	0	0	0.44246079997721904
1	0	1	2	1	2	2	0	2	1	1	35	0.44246079997721904
0	2	0	2	2	2	2	0	2	1	1	3	0.44246079997721904
0	1	2	1	1	2	2	2	0	2	0	1	0.44246079997721904
1	1	2	2	0	2	2	0	1	1	1	35	0.44462391237060356
0	1	0	1	1	2	1	1	0	1	0	1	0.44462391237060356
1	0	2	1	1	2	2	2	2	2	1	35	0.44462391237060356
1	0	2	0	1	1	0	2	1	1	1	35	0.44462391237060356
1	2	1	0	2	2	1	1	1	0	1	35	0.44599155644010835
1	0	2	0	2	0	1	1	2	2	1	35	0.44599155644010835
0	0	1	0	0	2	1	1	0	0	0	1	0.44599155644010835
2	0	2	1	0	0	0	1	0	2	1	2	0.44599155644010835
