X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	0	2	1	2	1	2	1	0	0	0	0.014672100454774073
0	2	0	2	1	0	2	2	0	1	1	0	0.014672100454774073
2	0	1	1	0	1	1	2	1	1	1	0	0.02957174150348796
2	0	0	2	0	0	2	1	1	0	1	0	0.02957174150348796
1	2	1	0	2	0	2	1	2	2	1	0	0.02957174150348796
1	2	1	1	0	2	2	1	2	0	1	0	0.029693279062337763
0	2	1	2	2	1	2	1	1	1	1	0	0.03278539044774942
1	0	0	1	0	2	0	2	1	0	1	0	0.03278539044774942
1	0	2	1	1	2	0	1	1	2	1	0	0.036945198944297486
2	2	2	0	2	0	0	1	1	0	1	1	0.036945198944297486
0	2	2	1	2	2	2	0	1	0	1	0	0.036945198944297486
0	2	0	1	2	1	2	2	0	2	1	0	0.036945198944297486
1	1	0	0	2	1	1	1	0	0	1	0	0.043626299585720785
0	1	1	0	1	2	2	2	2	1	1	0	0.046323642049777236
2	1	2	2	2	0	1	0	0	2	1	0	0.046323642049777236
2	0	0	1	0	0	0	2	2	0	1	0	0.046323642049777236
2	0	2	1	0	0	1	2	0	0	1	0	0.046323642049777236
2	1	1	2	2	1	0	0	2	2	1	0	0.04950952155619892
0	0	2	0	1	2	1	2	1	0	1	0	0.04950952155619892
2	2	1	1	2	0	1	0	1	2	1	0	0.04950952155619892
2	1	0	2	2	2	0	0	0	2	1	0	0.04950952155619892
2	0	1	2	0	1	1	0	1	2	1	0	0.04950952155619892
0	0	1	0	1	2	0	1	0	1	1	0	0.04950952155619892
1	1	1	1	2	1	1	0	0	2	1	0	0.04950952155619892
0	0	1	2	2	0	2	2	0	2	1	0	0.04950952155619892
0	0	1	0	1	1	1	1	2	0	1	0	0.04950952155619892
1	2	2	0	1	0	0	0	2	0	1	1	0.04950952155619892
0	1	0	1	0	1	2	1	1	1	1	0	0.04950952155619892
2	0	1	0	0	0	0	1	0	2	1	1	0.04950952155619892
1	2	0	1	2	2	1	2	2	2	1	0	0.04950952155619892
0	1	0	2	0	0	1	0	0	2	1	0	0.04950952155619892
1	0	1	1	1	2	0	0	0	1	1	0	0.04950952155619892
0	2	0	2	0	1	2	0	1	2	1	0	0.04950952155619892
2	1	0	0	2	1	2	1	0	1	1	0	0.04950952155619892
1	1	2	1	2	0	1	1	1	0	1	0	0.04950952155619892
2	2	1	1	1	0	0	2	2	1	1	0	0.04950952155619892
0	2	0	0	2	1	0	0	1	0	1	0	0.04950952155619892
2	0	1	1	1	2	1	2	0	1	1	0	0.04999880472202067
1	0	1	1	2	2	0	1	1	2	1	0	0.04999880472202067
2	0	2	1	0	0	2	0	2	2	1	0	0.04999880472202067
1	1	0	0	1	2	1	0	1	2	1	0	0.04999880472202067
0	0	1	2	0	0	1	1	0	2	1	0	0.04999880472202067
1	2	0	0	0	1	2	0	1	0	1	0	0.04999880472202067
1	0	1	2	1	1	2	2	1	2	1	0	0.04999880472202067
0	0	0	0	1	0	1	1	0	0	1	0	0.04999880472202067
2	1	0	2	1	1	1	2	2	2	1	0	0.04999880472202067
1	2	2	1	0	0	2	0	1	0	1	0	0.04999880472202067
2	1	1	0	0	1	0	2	0	2	1	1	0.04999880472202067
2	2	2	2	1	2	1	0	0	1	1	0	0.04999880472202067
2	0	2	0	1	1	2	2	2	1	1	0	0.04999880472202067
2	0	2	1	2	0	1	2	0	1	1	0	0.04999880472202067
2	1	2	2	1	0	1	1	0	1	1	0	0.04999880472202067
2	1	1	1	2	1	0	0	2	0	1	0	0.04999880472202067
1	1	2	1	2	2	2	0	2	1	1	0	0.04999880472202067
1	2	2	2	2	0	1	1	1	1	1	0	0.04999880472202067
2	2	2	0	1	0	0	1	0	0	1	0	0.04999880472202067
2	2	2	1	2	2	0	1	2	2	1	0	0.04999880472202067
2	2	1	1	1	1	1	1	2	0	1	0	0.04999880472202067
1	0	1	0	1	1	1	1	1	0	1	0	0.06246871310241836
0	1	2	2	1	2	1	2	2	0	1	0	0.06246871310241836
0	1	2	0	1	1	0	1	1	1	1	1	0.06246871310241836
1	2	1	2	1	0	1	2	0	1	1	0	0.06246871310241836
2	2	1	0	0	0	2	2	1	1	1	0	0.06246871310241836
