X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	0	0	1	0	0	2	2	2	0	1	0.049712463336047175
0	0	2	2	1	0	1	0	2	1	1	3	0.051653494676478284
1	1	0	2	1	0	0	2	0	2	1	2	0.07984851468325671
2	2	0	2	2	2	0	0	1	1	0	0	0.07984851468325671
0	0	0	0	1	0	2	1	1	0	1	3	0.09329409106843123
1	2	0	2	1	1	1	0	1	1	1	2	0.09329409106843123
2	1	1	0	2	2	1	0	0	2	1	3	0.09329409106843123
2	0	2	2	0	1	2	1	2	0	1	3	0.10683807512171595
2	2	0	0	2	2	2	1	2	1	1	3	0.10683807512171595
0	1	2	2	2	0	2	2	1	2	0	1	0.11243437087638819
0	0	0	2	0	2	0	1	0	0	0	1	0.11243437087638819
0	2	2	2	0	1	0	2	0	1	1	2	0.11415426651438532
1	1	2	2	1	0	1	2	0	0	0	1	0.141110394925407
0	0	1	1	2	1	1	2	0	2	1	2	0.141110394925407
1	0	1	2	1	0	0	1	0	0	0	1	0.141110394925407
1	0	2	0	2	1	2	1	0	2	0	0	0.141110394925407
2	1	2	0	2	0	0	1	0	1	0	0	0.141110394925407
0	1	1	1	1	2	2	2	0	2	1	2	0.141110394925407
1	0	1	2	2	0	0	0	1	0	0	0	0.15275030801590028
0	2	1	2	2	0	1	1	1	2	1	2	0.15275030801590028
2	1	2	2	1	1	0	2	0	0	1	3	0.15275030801590028
2	0	0	1	2	1	2	1	2	2	0	1	0.15275030801590028
1	2	1	2	2	0	0	1	2	1	1	3	0.1974994404056416
0	2	1	1	0	2	1	1	1	2	1	2	0.1974994404056416
1	0	1	0	1	2	2	0	0	1	1	2	0.1974994404056416
2	2	1	1	1	1	1	0	2	1	0	0	0.1974994404056416
0	0	1	0	0	0	1	0	0	0	0	0	0.1974994404056416
1	1	0	2	0	0	1	0	2	1	0	1	0.1974994404056416
2	1	1	2	0	1	1	2	2	0	0	1	0.1974994404056416
2	2	2	1	2	0	2	0	1	2	0	0	0.1974994404056416
0	0	2	2	1	2	1	2	2	0	0	1	0.1974994404056416
1	0	2	0	2	2	0	0	0	2	1	3	0.1974994404056416
2	1	0	2	0	1	1	1	0	2	1	2	0.1974994404056416
0	2	0	0	2	2	2	1	0	0	0	1	0.1974994404056416
0	2	0	2	2	0	1	0	0	0	1	3	0.1974994404056416
2	2	2	1	0	2	0	1	1	0	1	3	0.1974994404056416
1	0	2	1	0	0	2	1	2	2	0	0	0.1974994404056416
0	0	1	0	1	2	2	0	2	0	1	3	0.1974994404056416
1	1	1	2	2	1	1	0	2	0	0	0	0.1974994404056416
0	0	1	2	0	2	1	0	0	0	0	0	0.1974994404056416
2	0	0	2	1	1	2	0	0	0	0	0	0.1974994404056416
2	1	0	2	1	2	0	1	0	1	1	2	0.1974994404056416
2	0	0	1	0	2	1	1	2	1	1	3	0.1974994404056416
1	0	0	0	0	0	2	2	0	1	1	3	0.1974994404056416
2	1	0	0	0	0	0	1	0	1	1	2	0.1974994404056416
0	2	0	0	0	1	1	1	0	0	1	3	0.1974994404056416
2	0	0	2	2	0	0	2	0	1	0	0	0.1974994404056416
2	0	2	0	2	1	0	1	0	0	0	1	0.1974994404056416
2	0	2	2	2	0	2	1	0	2	1	3	0.20544381119978894
0	0	2	0	2	2	1	1	0	2	1	3	0.20544381119978894
1	2	1	1	2	2	0	1	0	0	1	3	0.20544381119978894
0	2	1	0	1	2	2	0	0	2	0	1	0.20544381119978894
1	2	0	1	2	2	0	0	2	2	1	3	0.20544381119978894
2	0	1	0	2	2	0	2	0	0	0	1	0.20544381119978894
1	1	2	2	0	1	1	1	1	2	1	3	0.22271287932973582
2	0	2	1	2	1	0	1	2	1	0	1	0.22271287932973582
2	2	2	0	0	0	2	2	1	1	0	0	0.22271287932973582
1	1	1	1	1	2	1	0	1	0	0	0	0.22271287932973582
1	1	0	0	0	2	1	2	2	2	1	3	0.22271287932973582
0	1	2	0	2	0	0	0	0	2	1	3	0.22271287932973582
1	0	1	0	2	2	0	1	1	1	0	1	0.22271287932973582
0	2	2	2	0	2	0	0	1	0	0	0	0.22271287932973582
1	1	2	1	1	1	1	0	2	0	1	3	0.22271287932973582
1	1	1	2	1	1	2	0	0	2	1	3	0.22271287932973582
0	2	0	1	2	0	0	0	0	1	1	2	0.22271287932973582
0	2	2	2	1	0	1	0	1	1	0	1	0.22271287932973582
2	1	1	1	1	1	1	2	1	2	0	1	0.22271287932973582
2	0	2	0	2	1	1	1	2	1	0	1	0.22271287932973582
0	2	2	1	0	0	0	1	2	0	0	1	0.22271287932973582
2	0	2	2	0	0	1	0	1	1	0	1	0.22271287932973582
2	1	0	2	1	2	2	0	2	0	0	1	0.22271287932973582
0	1	1	2	1	0	0	2	2	2	1	2	0.22271287932973582
1	1	0	2	2	1	1	2	0	0	1	3	0.22271287932973582
1	1	0	0	0	1	2	2	2	0	1	2	0.22271287932973582
1	1	2	1	2	0	2	1	1	2	0	1	0.22271287932973582
1	0	0	1	0	0	2	1	2	1	1	2	0.22271287932973582
2	0	1	0	2	2	1	2	1	1	0	0	0.22271287932973582
2	1	0	1	0	0	2	2	1	0	0	1	0.22271287932973582
2	1	2	1	2	1	0	2	2	2	1	3	0.22271287932973582
2	2	1	2	2	2	0	1	2	1	0	0	0.22271287932973582
2	1	1	2	2	0	0	0	1	1	1	2	0.22271287932973582
0	0	0	1	2	2	2	1	1	0	1	3	0.22271287932973582
0	2	1	1	2	0	2	1	2	2	0	0	0.22271287932973582
2	2	2	1	2	2	2	2	2	0	0	0	0.22271287932973582
1	1	1	1	0	0	1	1	0	2	0	0	0.22271287932973582
0	0	0	0	2	1	1	2	1	0	1	3	0.22271287932973582
1	1	0	0	1	2	1	0	0	1	0	1	0.22394364342256867
1	0	2	2	1	0	0	0	1	0	1	3	0.22394364342256867
1	1	2	0	0	1	0	1	1	2	1	3	0.22394364342256867
1	0	1	0	0	2	0	1	2	1	0	1	0.22394364342256867
0	1	2	2	2	1	0	2	0	0	0	1	0.22394364342256867
1	2	2	2	1	2	0	1	0	2	0	0	0.22394364342256867
2	0	1	2	2	0	1	2	1	1	0	0	0.22394364342256867
2	1	2	1	2	2	0	2	0	0	1	3	0.22394364342256867
2	1	0	1	0	2	1	1	0	2	1	2	0.22394364342256867
0	1	0	1	2	0	0	0	1	1	0	1	0.22394364342256867
1	1	2	1	2	1	1	1	0	1	1	3	0.22394364342256867
1	0	0	1	1	1	1	2	2	2	1	2	0.22906580975511115
0	0	1	0	0	1	0	0	2	1	0	1	0.22906580975511115
0	2	1	1	2	2	0	2	1	0	0	1	0.22906580975511115
1	0	0	0	2	2	2	2	1	1	1	3	0.22906580975511115
