X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	2	2	1	0	0	1	1	1	2	1	57	0.12496688932895683
0	1	0	1	0	0	2	0	1	0	1	57	0.13063868803611334
0	2	1	1	0	1	0	0	2	1	1	57	0.13889500135253074
0	1	0	0	0	2	1	2	1	0	1	57	0.13889500135253074
2	2	2	0	1	2	2	2	1	1	0	56	0.1460572621003815
2	1	1	1	2	0	0	0	2	0	1	57	0.1460572621003815
0	2	0	0	1	0	0	0	2	1	0	56	0.1460572621003815
0	0	2	2	0	2	0	2	1	2	1	59	0.1460572621003815
2	2	2	2	2	0	0	1	1	1	0	56	0.1460572621003815
0	2	0	0	0	1	1	0	1	1	0	56	0.1460572621003815
2	2	0	0	2	0	2	0	0	2	0	56	0.1460572621003815
2	0	1	0	1	2	2	2	1	2	1	58	0.1460572621003815
2	1	2	2	2	2	1	1	0	1	1	57	0.1460572621003815
1	1	1	0	0	0	1	0	0	2	1	57	0.1460572621003815
1	0	0	0	1	0	1	0	2	2	1	58	0.1460572621003815
1	1	0	0	1	2	1	0	0	2	1	57	0.1460572621003815
1	1	1	0	1	1	1	1	1	1	1	57	0.1460572621003815
0	2	1	1	1	1	2	0	2	0	1	57	0.1460572621003815
2	0	2	0	1	1	2	2	2	2	1	59	0.1460572621003815
0	0	2	2	1	2	1	2	1	2	1	59	0.1460572621003815
0	1	0	0	0	1	0	2	2	1	1	57	0.1460572621003815
0	1	2	2	2	2	2	0	0	1	1	57	0.1460572621003815
1	2	2	1	2	2	2	2	1	1	1	57	0.1460572621003815
1	1	1	1	0	1	1	0	1	0	1	57	0.1460572621003815
0	1	0	0	2	1	1	2	1	2	1	57	0.1460572621003815
2	1	0	0	1	1	1	2	0	0	1	57	0.1460572621003815
2	1	0	0	0	2	0	0	1	1	1	57	0.1460572621003815
1	2	0	1	1	1	2	0	1	2	0	56	0.1460572621003815
2	0	2	2	0	2	0	1	1	0	1	59	0.1460572621003815
2	2	0	0	1	1	2	1	0	0	0	56	0.1460572621003815
1	2	1	2	0	1	0	1	0	1	0	56	0.1460572621003815
2	1	0	0	0	0	1	2	1	1	1	57	0.1460572621003815
2	2	0	2	0	2	1	1	1	2	0	56	0.1460572621003815
2	1	2	2	1	0	0	1	2	2	1	57	0.1460572621003815
1	1	2	0	2	1	1	1	2	1	1	57	0.1460572621003815
1	0	2	1	1	0	2	2	1	1	1	59	0.1460572621003815
1	1	1	2	1	1	1	1	2	0	1	57	0.1471096852621181
1	1	2	0	0	2	0	0	1	0	1	57	0.1471096852621181
2	2	1	0	0	2	1	2	1	0	0	56	0.1471096852621181
0	2	2	0	1	0	0	0	2	0	1	57	0.1471096852621181
1	2	1	1	0	0	0	0	1	1	1	57	0.1471096852621181
1	1	0	1	0	1	2	2	1	0	1	57	0.1471096852621181
0	0	1	1	1	1	1	2	2	2	1	59	0.1471096852621181
2	1	2	0	0	2	0	2	1	0	1	57	0.1471096852621181
1	1	0	1	0	0	0	1	0	0	1	57	0.1471096852621181
0	0	1	2	0	2	0	2	2	1	1	58	0.1471096852621181
2	0	2	0	0	1	2	0	2	1	1	58	0.1471096852621181
2	2	1	2	2	0	1	1	0	2	0	56	0.14941337099566043
2	0	1	0	1	2	1	0	2	2	1	58	0.14941337099566043
1	0	1	2	2	0	0	2	2	0	1	59	0.14941337099566043
2	2	2	1	2	0	0	1	0	0	0	56	0.14941337099566043
0	2	0	0	0	1	0	0	2	2	1	57	0.14941337099566043
0	2	1	0	1	1	1	1	1	0	0	56	0.14941337099566043
2	0	0	1	1	2	0	0	0	0	1	59	0.14941337099566043
0	0	1	0	2	2	1	0	1	0	1	58	0.14941337099566043
1	2	0	0	0	2	0	0	0	2	0	56	0.14941337099566043
2	2	0	0	1	2	0	1	0	2	0	56	0.163217174527157
0	0	1	2	1	2	2	2	1	2	1	59	0.163217174527157
1	0	0	2	0	1	2	1	0	1	1	58	0.163217174527157
1	0	1	1	2	2	1	1	2	1	1	58	0.163217174527157
1	2	2	1	0	1	0	0	0	2	0	56	0.163217174527157
2	2	1	2	1	1	2	0	2	0	0	56	0.163217174527157
0	2	2	1	1	0	0	1	2	2	0	56	0.163217174527157
1	1	2	2	0	0	0	2	1	0	1	57	0.163217174527157
2	1	0	0	0	1	2	1	1	0	1	57	0.163217174527157
0	2	2	1	1	2	0	2	2	2	0	56	0.163217174527157
2	0	1	1	1	0	1	0	0	2	1	58	0.163217174527157
0	2	1	1	1	2	1	1	1	0	0	56	0.163217174527157
0	2	1	0	0	0	2	1	0	1	0	56	0.163217174527157
0	2	2	2	0	1	1	0	1	2	0	56	0.163217174527157
2	2	1	2	2	1	1	0	1	0	0	56	0.163217174527157
2	1	0	1	1	2	2	2	1	1	1	57	0.163217174527157
0	1	1	1	2	1	2	2	0	0	1	57	0.163217174527157
0	1	1	2	1	2	2	2	2	1	1	57	0.163217174527157
1	0	0	1	1	0	2	0	0	0	1	58	0.163217174527157
0	0	0	2	0	1	0	0	2	2	1	59	0.163217174527157
2	2	1	0	0	0	2	1	2	0	0	56	0.163217174527157
1	2	2	1	1	1	0	0	1	2	0	56	0.163217174527157
0	1	0	0	1	0	2	1	2	0	1	57	0.163217174527157
0	1	1	1	1	1	1	2	1	0	1	57	0.163217174527157
0	0	0	0	1	1	0	2	1	0	1	58	0.163217174527157
2	2	1	0	2	2	0	2	2	0	0	56	0.163217174527157
1	0	2	0	0	1	0	0	2	2	1	59	0.163217174527157
2	1	0	0	1	0	1	0	1	1	1	57	0.163217174527157
0	2	2	0	2	1	0	0	2	2	1	57	0.1633406796052178
2	1	2	1	2	0	1	0	2	1	1	57	0.1633406796052178
0	1	1	1	2	2	1	2	0	0	1	57	0.1633406796052178
0	1	0	1	0	1	2	2	1	0	1	57	0.1633406796052178
2	2	2	0	0	2	0	0	1	1	0	56	0.1633406796052178
1	0	1	1	1	0	2	2	0	2	1	59	0.1633406796052178
2	0	0	2	2	0	2	0	2	1	1	58	0.1633406796052178
1	0	1	1	2	2	0	0	0	0	1	58	0.1633406796052178
2	1	2	1	0	1	2	2	2	2	1	57	0.1633406796052178
0	1	1	0	0	1	2	1	1	0	1	57	0.1633406796052178
0	0	2	1	2	2	1	2	1	2	1	59	0.1633406796052178
1	1	2	1	1	1	2	0	1	0	1	57	0.1633406796052178
0	2	2	2	1	2	0	2	0	1	0	56	0.1633406796052178
1	0	0	2	2	2	2	2	2	0	1	59	0.1633406796052178
2	2	0	1	1	2	0	0	0	0	0	56	0.1633406796052178
0	0	0	1	0	2	0	0	0	1	1	58	0.1633406796052178
1	0	0	1	1	1	1	1	1	1	1	58	0.1633406796052178
2	1	2	0	2	2	0	2	2	1	1	57	0.1633406796052178
0	2	0	0	2	2	2	0	2	0	1	57	0.1633406796052178
0	0	1	2	1	1	1	2	1	2	1	58	0.1633406796052178
1	1	1	0	2	1	2	2	0	1	1	57	0.1633406796052178
2	2	1	0	1	1	0	1	1	2	0	56	0.1633406796052178
1	0	1	1	2	1	2	2	2	0	1	59	0.1633406796052178
0	2	0	1	0	0	2	2	2	2	0	56	0.1633406796052178
1	1	2	1	2	2	1	1	1	0	1	57	0.1633406796052178
1	2	0	0	0	2	2	1	1	1	1	57	0.1633406796052178
2	0	2	1	1	2	2	2	2	1	1	58	0.1633406796052178
1	2	0	2	1	2	1	2	2	0	0	56	0.1633406796052178
0	1	1	1	1	1	0	1	1	0	1	57	0.1633406796052178
2	2	1	1	2	1	1	0	2	1	0	56	0.1633406796052178
2	1	0	0	1	1	0	2	1	2	1	57	0.1633406796052178
0	0	1	2	1	0	1	2	0	2	1	58	0.1633406796052178
0	1	0	0	1	2	2	0	2	2	1	57	0.1633406796052178
1	1	0	1	1	0	0	2	0	2	1	57	0.1633406796052178
0	1	1	1	2	2	1	2	0	0	1	57	0.1633406796052178
2	0	1	2	0	1	2	2	1	2	1	59	0.1633406796052178
1	0	1	2	0	0	0	1	2	2	1	58	0.1633406796052178
0	0	0	0	2	2	2	2	2	1	1	58	0.1633406796052178
2	2	0	0	0	0	2	0	0	2	0	56	0.1633406796052178
1	2	0	0	1	2	1	1	0	0	0	56	0.1633406796052178
0	1	2	0	1	2	2	1	1	1	1	57	0.1633406796052178
1	0	0	2	1	1	2	1	0	2	1	58	0.1633406796052178
0	2	1	0	2	2	1	0	1	1	1	57	0.1633406796052178
1	2	0	0	2	2	0	0	2	2	0	56	0.1633406796052178
2	1	1	2	0	2	0	1	0	2	1	57	0.1633406796052178
2	2	2	1	0	2	0	2	1	2	0	56	0.1633406796052178
1	1	0	0	2	2	2	1	1	2	1	57	0.1633406796052178
0	1	2	1	0	2	1	2	0	0	1	57	0.1633406796052178
2	1	2	1	0	0	1	1	0	1	1	57	0.1633406796052178
0	1	2	0	0	1	1	2	0	1	1	57	0.1633406796052178
1	2	2	0	2	1	1	2	1	2	0	56	0.1633406796052178
1	0	1	1	2	1	2	0	1	2	1	58	0.1633406796052178
1	2	1	0	1	0	1	0	1	0	0	56	0.1633406796052178
0	2	1	1	1	2	1	0	1	2	1	57	0.1633406796052178
2	2	0	0	1	1	0	2	1	2	0	56	0.1633406796052178
2	1	1	2	0	1	2	2	0	1	1	57	0.1633406796052178
0	2	1	1	2	0	0	0	1	1	1	57	0.1633406796052178
1	1	0	0	2	2	0	1	0	0	1	57	0.1633406796052178
2	0	2	0	1	2	0	2	0	0	1	59	0.1633406796052178
0	0	1	1	1	0	0	2	0	0	1	59	0.1633406796052178
0	1	0	1	1	0	2	1	2	0	1	57	0.1633406796052178
1	1	0	1	0	1	1	0	1	1	1	57	0.1633406796052178
2	1	1	1	0	0	1	0	0	1	1	57	0.1633406796052178
1	0	0	0	2	1	2	1	1	1	1	58	0.1633406796052178
1	1	1	1	2	1	0	0	1	0	1	57	0.1633406796052178
0	2	2	1	1	0	0	2	0	1	0	56	0.1633406796052178
2	0	2	1	2	0	1	0	1	1	1	58	0.1633406796052178
2	0	1	1	0	2	1	0	2	2	1	58	0.1633406796052178
2	1	2	0	1	2	1	1	2	0	1	57	0.1633406796052178
1	1	2	0	2	1	0	2	1	2	1	57	0.1633406796052178
0	0	0	0	0	0	0	2	0	1	1	58	0.1633406796052178
1	2	0	2	1	0	1	2	1	0	0	56	0.1633406796052178
2	2	1	0	0	0	1	0	2	0	0	56	0.1633406796052178
2	0	0	2	0	2	2	0	0	2	1	58	0.1633406796052178
2	1	1	0	1	1	0	0	1	1	1	57	0.1633406796052178
1	0	0	2	1	0	1	2	1	2	1	59	0.1633406796052178
1	1	0	1	1	0	0	2	1	2	1	57	0.1633406796052178
2	1	1	1	1	0	2	1	1	1	1	57	0.1633406796052178
2	2	2	0	0	0	0	2	1	1	0	56	0.1633406796052178
0	2	1	2	2	0	1	0	1	0	0	56	0.1633406796052178
2	2	1	2	2	2	0	2	0	1	0	56	0.1633406796052178
2	0	0	2	1	2	2	1	1	2	1	58	0.1633406796052178
1	2	0	0	2	1	0	0	1	1	0	56	0.1633406796052178
2	2	2	2	0	1	1	0	2	1	0	56	0.1633406796052178
2	1	0	0	0	1	2	0	2	1	1	57	0.1633406796052178
0	1	1	0	1	2	1	1	1	1	1	57	0.1633406796052178
1	2	1	0	1	1	1	0	1	2	0	56	0.1633406796052178
0	2	0	0	0	2	2	0	2	0	1	57	0.1633406796052178
0	0	0	0	0	2	2	1	1	2	1	59	0.1633406796052178
2	1	2	2	2	1	1	1	2	0	1	57	0.1633406796052178
0	1	1	1	2	2	2	2	2	1	1	57	0.1633406796052178
2	0	0	1	0	0	2	1	2	1	1	58	0.1633406796052178
0	0	2	1	1	1	2	0	2	2	1	59	0.1633406796052178
0	2	0	2	1	2	2	2	1	0	0	56	0.1633406796052178
2	2	1	0	1	2	0	1	2	2	0	56	0.1633406796052178
1	2	1	2	2	0	1	1	2	0	0	56	0.1633406796052178
0	2	0	0	0	1	0	2	0	2	1	57	0.1633406796052178
1	2	1	2	0	1	1	0	0	0	0	56	0.1633406796052178
0	1	1	1	1	1	2	0	1	1	1	57	0.1633406796052178
0	1	0	2	1	2	0	2	1	1	1	57	0.1633406796052178
0	1	0	2	0	2	2	0	2	0	1	57	0.1633406796052178
2	2	2	1	2	1	2	0	1	1	0	56	0.1633406796052178
0	0	1	2	0	2	2	0	1	0	1	58	0.1633406796052178
2	1	0	1	2	1	0	1	1	1	1	57	0.1633406796052178
2	0	1	2	2	1	0	1	2	1	1	59	0.1633406796052178
2	2	1	1	2	1	1	0	2	1	0	56	0.1633406796052178
0	0	1	1	1	2	1	0	2	0	1	59	0.1633406796052178
0	2	1	1	2	2	2	1	2	2	0	56	0.1633406796052178
2	0	1	0	2	0	0	1	0	1	1	58	0.1633406796052178
1	2	2	2	2	2	0	1	0	0	0	56	0.1633406796052178
0	0	0	1	1	1	0	0	1	2	1	58	0.1633406796052178
0	1	0	0	2	2	0	0	0	1	1	57	0.1633406796052178
2	0	0	0	1	2	2	1	0	2	1	58	0.1633406796052178
0	2	1	2	2	2	0	2	1	1	1	57	0.1633406796052178
1	2	1	2	0	1	2	1	1	2	0	56	0.1633406796052178
2	2	1	2	1	0	0	0	0	0	0	56	0.1633406796052178
0	2	2	1	0	1	2	0	1	1	0	56	0.1633406796052178
2	0	1	0	2	2	1	2	1	1	1	58	
2	2	0	2	0	0	2	1	2	1	0	56	
2	0	1	2	1	1	2	0	2	0	1	59	
0	2	2	2	0	2	0	2	1	0	0	56	
0	2	0	2	0	0	1	2	0	0	1	57	
1	0	2	2	0	0	0	2	2	0	1	59	
2	1	2	0	2	0	2	2	2	1	1	57	
0	1	1	0	1	0	2	0	0	1	1	57	
2	0	0	2	1	2	1	2	0	1	1	58	
1	1	1	1	0	1	0	1	0	0	1	57	
0	1	1	0	1	0	2	1	0	1	1	57	
