X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	2	0	1	0	2	1	2	2	0	0	0.10272230870503041
0	1	1	1	2	2	2	0	0	2	0	1	0.10272230870503041
1	2	1	0	2	0	2	0	0	1	0	1	0.10272230870503041
2	0	0	2	0	2	1	2	1	2	0	0	0.10272230870503041
2	1	2	1	1	1	0	1	1	2	1	1	0.10272230870503041
1	2	0	2	1	1	2	0	0	2	0	1	0.10272230870503041
2	0	0	1	2	2	0	2	1	1	0	0	0.10272230870503041
2	1	1	2	0	2	0	0	2	1	1	1	0.10272230870503041
0	0	0	0	0	1	1	2	0	1	0	0	0.10272230870503041
0	2	2	1	1	0	1	0	0	0	1	1	0.1423586223016048
0	0	0	1	0	0	2	0	0	2	1	1	0.1423586223016048
0	2	2	1	1	2	2	2	1	0	1	1	0.1423586223016048
2	1	1	1	1	2	2	1	0	2	0	0	0.1423586223016048
2	1	0	1	2	2	2	1	2	0	0	0	0.1423586223016048
1	1	1	1	0	1	1	0	1	1	0	1	0.1423586223016048
1	1	2	0	1	2	2	0	1	0	0	1	0.1423586223016048
2	0	0	1	1	1	0	0	1	1	0	1	0.1423586223016048
0	2	1	2	2	0	1	0	0	1	0	1	0.1423586223016048
1	2	0	1	0	2	1	2	1	0	0	1	0.1423586223016048
1	1	1	0	2	1	2	0	2	2	0	1	0.1423586223016048
0	0	1	1	2	1	2	1	1	0	0	1	0.1423586223016048
1	0	2	2	2	2	1	1	0	0	0	1	0.1423586223016048
1	2	2	1	1	1	2	1	2	1	1	1	0.1423586223016048
2	0	0	0	0	0	2	2	1	1	0	0	0.1423586223016048
1	1	1	0	0	1	1	2	1	0	1	1	0.1423586223016048
0	0	1	0	2	0	0	2	0	0	0	0	0.1423586223016048
2	1	1	1	2	2	2	0	0	2	1	1	0.1423586223016048
2	1	2	0	1	2	1	2	0	1	0	0	0.1423586223016048
0	0	1	2	1	2	0	2	0	0	1	1	0.1423586223016048
1	0	2	1	2	1	1	1	1	2	0	0	0.1423586223016048
1	0	0	1	1	0	0	1	2	1	1	1	0.1423586223016048
2	2	2	2	2	2	2	0	1	2	1	1	0.1423586223016048
2	2	1	2	1	0	2	0	2	0	1	1	0.1423586223016048
1	0	2	0	2	2	1	1	0	1	1	1	0.1423586223016048
2	2	0	0	1	2	0	0	0	2	1	1	0.1492691830169346
0	2	2	2	2	0	2	1	2	1	0	0	0.1492691830169346
1	0	2	1	1	1	2	0	2	0	1	1	0.1492691830169346
1	1	0	0	1	0	1	0	2	1	1	1	0.1492691830169346
0	1	2	0	0	0	2	0	1	1	1	1	0.1492691830169346
0	2	2	0	1	1	0	1	2	1	1	1	0.1492691830169346
2	2	0	0	2	2	2	1	1	1	0	0	0.1492691830169346
2	2	0	2	1	1	0	1	1	2	1	1	0.1492691830169346
0	1	2	0	0	1	1	2	1	2	0	0	0.1492691830169346
1	0	2	0	0	0	1	0	0	2	1	1	0.1531072622869153
2	1	2	2	2	2	2	2	1	0	1	1	0.1531072622869153
0	2	1	2	2	0	2	0	2	0	1	1	0.1531072622869153
1	0	1	2	1	1	1	2	1	0	1	1	0.1531072622869153
0	2	0	2	2	0	1	0	0	2	0	1	0.1531072622869153
2	2	1	1	1	2	2	1	1	2	0	1	0.1531072622869153
2	2	2	1	0	2	0	2	1	0	0	1	0.1531072622869153
0	0	1	2	0	2	1	1	1	2	0	1	0.1531072622869153
1	0	1	2	2	2	2	0	2	0	0	1	0.1531072622869153
1	2	2	2	2	1	1	1	1	2	0	0	0.1531072622869153
0	0	0	2	1	1	2	2	0	1	0	0	0.1531072622869153
1	1	0	2	1	0	1	1	2	2	0	0	0.1531072622869153
2	2	1	0	1	1	0	1	0	1	0	1	0.1531072622869153
2	2	0	0	2	1	1	0	0	2	0	1	0.1531072622869153
2	1	1	0	0	0	2	0	2	0	0	1	0.1531072622869153
2	0	1	0	1	0	1	2	2	0	0	1	0.1531072622869153
2	2	0	1	0	1	2	0	0	1	0	1	0.1531072622869153
2	0	1	2	2	1	2	0	0	2	0	1	0.1531072622869153
1	1	0	1	0	1	2	1	1	0	0	1	0.1531072622869153
0	0	2	0	0	2	2	1	1	1	0	1	0.1531072622869153
1	1	1	1	0	1	2	2	2	1	0	0	0.1531072622869153
0	2	2	1	1	2	2	0	2	0	0	1	0.1531072622869153
2	1	2	2	2	1	1	0	1	1	0	1	0.1531072622869153
0	1	0	1	1	1	0	0	1	1	0	1	0.1531072622869153
0	2	0	0	2	2	0	1	1	2	0	0	0.1531072622869153
1	2	1	2	1	0	0	2	2	2	0	1	0.1531072622869153
0	2	0	0	0	0	1	0	0	0	0	1	0.1531072622869153
0	0	1	0	0	2	2	1	1	1	0	1	0.1531072622869153
0	2	2	2	1	2	1	1	1	2	0	1	0.1531072622869153
1	0	2	1	1	0	2	1	1	1	0	1	0.1531072622869153
1	1	1	1	1	2	0	1	0	1	0	0	0.1531072622869153
2	2	1	2	2	0	2	1	2	2	0	1	0.1531072622869153
1	1	2	1	1	0	0	1	0	0	0	1	0.1531072622869153
1	2	2	0	2	0	1	1	1	2	0	0	0.1531072622869153
0	2	1	2	0	1	2	1	0	0	0	1	0.1531072622869153
2	0	2	1	1	2	0	1	0	0	0	1	0.1531072622869153
2	2	1	0	2	2	1	1	0	2	0	1	0.1531072622869153
1	0	0	1	2	1	2	1	0	2	0	0	0.1531072622869153
2	2	2	1	2	0	1	1	2	1	0	1	0.1531072622869153
2	1	0	1	1	1	0	1	1	2	0	1	0.1531072622869153
1	1	2	1	0	0	0	0	2	1	0	1	0.1531072622869153
1	1	1	0	0	0	0	1	1	2	0	1	0.1531072622869153
2	1	2	2	2	0	0	0	0	0	0	1	0.1531072622869153
1	0	0	2	0	1	0	1	2	0	0	1	0.1531072622869153
0	2	1	1	1	0	0	0	0	2	0	1	0.1531072622869153
2	1	1	1	2	1	2	2	2	1	0	1	0.1531072622869153
1	1	1	2	0	0	0	1	0	2	0	1	0.1531072622869153
1	1	2	0	1	2	0	1	0	0	0	0	0.1531072622869153
1	1	0	1	2	0	0	0	2	0	1	1	0.1531072622869153
1	1	2	2	0	0	1	1	2	0	1	1	0.1531072622869153
1	1	1	2	1	0	0	0	2	0	1	1	0.1531072622869153
0	2	0	1	0	1	2	1	2	2	1	1	0.1531072622869153
0	1	0	1	2	2	0	1	0	2	0	0	0.1531072622869153
1	1	1	0	2	0	1	0	2	2	1	1	0.1531072622869153
0	1	0	1	0	2	1	0	2	2	1	1	0.1531072622869153
1	2	1	1	0	0	0	0	2	1	1	1	0.1531072622869153
1	2	2	1	1	2	1	1	1	1	1	1	0.1531072622869153
2	1	2	2	0	1	2	2	1	0	0	0	0.1531072622869153
1	0	0	1	1	2	2	2	0	1	1	1	0.1531072622869153
1	2	0	2	1	1	0	1	0	2	1	1	0.1531072622869153
0	0	2	2	1	1	2	2	0	1	0	0	0.1531072622869153
0	1	0	2	2	0	0	2	0	2	1	1	0.1531072622869153
0	0	2	2	0	2	0	1	1	2	1	1	0.1531072622869153
0	2	1	0	2	0	1	0	1	2	1	1	0.1531072622869153
0	0	1	0	1	2	0	1	2	2	1	1	0.1531072622869153
2	0	2	1	2	0	0	0	1	2	1	1	0.1531072622869153
1	2	0	2	1	1	2	0	2	1	1	1	0.1531072622869153
0	1	2	2	2	0	2	1	0	1	1	1	0.1531072622869153
2	0	0	0	0	1	0	0	2	1	1	1	0.1531072622869153
0	1	1	2	2	1	0	2	2	2	0	0	0.1531072622869153
0	0	0	2	1	2	2	0	2	2	1	1	0.1531072622869153
0	0	2	0	0	2	2	1	0	1	1	1	0.1531072622869153
1	0	2	0	0	1	0	2	1	2	0	0	0.1531072622869153
1	1	1	1	1	1	2	2	1	0	0	0	0.1531072622869153
0	1	0	0	0	0	0	2	0	1	0	0	0.1531072622869153
0	0	0	0	2	1	2	1	1	1	1	1	0.1531072622869153
0	1	2	2	1	1	2	0	1	2	1	1	0.1531072622869153
0	2	0	2	0	0	1	2	1	2	1	1	0.1531072622869153
1	2	2	1	2	2	0	0	2	2	1	1	0.1531072622869153
2	1	2	2	2	2	1	1	2	0	1	1	0.1531072622869153
0	0	0	2	1	0	0	1	2	1	0	0	0.1531072622869153
1	1	0	0	0	1	1	1	0	2	1	1	0.1531072622869153
2	0	1	2	0	1	1	2	1	2	1	1	0.1531072622869153
2	0	0	0	2	0	0	1	1	0	1	1	0.1531072622869153
2	0	2	1	0	0	2	1	0	0	1	1	0.1531072622869153
1	0	1	1	0	2	0	1	0	1	1	1	0.1531072622869153
2	1	1	2	1	0	2	2	1	0	1	1	0.1531072622869153
0	1	1	1	2	1	1	0	0	1	1	1	0.1531072622869153
0	1	0	1	2	2	1	1	2	1	0	0	0.15329687249890356
