X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	1	0	1	2	0	2	1	2	1	1.0	0.05050780189913251
1	0	0	1	0	1	0	2	1	1	1	1.0	0.05050780189913251
2	0	1	1	0	0	0	1	0	0	1	0.0	0.05050780189913251
1	0	0	0	2	2	0	2	2	0	1	1.0	0.05050780189913251
2	2	2	1	0	0	1	1	1	0	1	0.0	0.05050780189913251
1	2	1	0	1	2	1	1	0	2	1	0.0	0.0562446333828992
0	1	1	1	2	2	1	0	0	0	1	0.0	0.0562446333828992
1	1	2	1	2	1	0	1	1	1	1	0.0	0.0562446333828992
1	0	1	2	2	2	0	2	0	1	1	1.0	0.0562446333828992
1	1	2	0	1	0	2	1	2	2	1	0.0	0.0562446333828992
1	1	0	1	1	2	1	0	0	2	1	0.0	0.0562446333828992
1	2	0	2	0	2	0	2	0	0	1	1.0	0.0562446333828992
2	0	2	2	0	0	1	0	2	0	1	0.0	0.0562446333828992
2	1	1	1	1	0	0	2	2	2	1	0.0	0.0562446333828992
2	1	2	1	0	0	1	2	0	1	1	1.0	0.0562446333828992
2	0	0	0	1	2	2	2	1	2	1	0.0	0.0562446333828992
2	2	1	0	1	0	1	0	0	2	1	0.0	0.06350987505318928
2	2	0	0	0	0	0	1	2	1	1	0.0	0.06350987505318928
1	1	0	0	1	2	1	1	0	1	1	0.0	0.06350987505318928
0	2	1	0	1	1	1	1	2	2	1	0.0	0.06711609414144692
2	2	1	1	2	0	1	1	0	2	1	0.0	0.06711609414144692
2	0	1	1	1	0	2	0	2	1	1	0.0	0.06711609414144692
1	1	2	2	1	0	1	2	0	1	1	0.0	0.06711609414144692
0	2	1	0	2	0	0	2	0	1	1	0.0	0.06711609414144692
2	1	1	0	2	2	1	0	2	2	1	0.0	0.06711609414144692
0	2	2	1	2	2	0	0	2	1	1	0.0	0.06711609414144692
0	0	0	0	2	1	1	2	2	0	1	1.0	0.06711609414144692
0	1	1	2	1	0	1	2	0	1	1	1.0	0.06711609414144692
0	0	2	1	1	2	2	1	1	0	1	0.0	0.06711609414144692
1	2	2	0	1	2	0	0	1	2	1	0.0	0.06711609414144692
0	1	2	2	1	0	0	1	1	2	1	0.0	0.06711609414144692
1	1	2	2	1	0	0	1	1	0	1	0.0	0.06711609414144692
1	0	2	2	0	0	0	2	2	0	1	1.0	0.06711609414144692
1	1	0	1	2	0	1	1	0	2	1	0.0	0.06711609414144692
1	1	2	0	0	2	1	1	1	0	1	0.0	0.06711609414144692
0	2	2	2	0	0	1	1	1	0	1	0.0	0.06711609414144692
0	1	2	0	1	1	1	1	0	2	1	0.0	0.06711609414144692
1	1	1	1	0	1	1	0	1	1	1	0.0	0.06711609414144692
2	2	0	0	0	1	1	1	0	0	1	0.0	0.06909070236031445
1	1	1	0	1	0	1	2	2	1	1	0.0	0.06909070236031445
1	1	2	2	1	2	2	0	1	1	1	0.0	0.06909070236031445
1	0	1	1	0	0	2	1	2	0	1	0.0	0.06909070236031445
0	2	2	1	1	2	0	1	1	0	1	0.0	0.06909070236031445
0	2	1	2	0	2	0	1	0	1	1	0.0	0.09493334549666954
1	2	0	1	0	1	1	0	0	2	1	0.0	0.09493334549666954
2	2	1	1	2	1	2	1	0	0	1	0.0	0.09493334549666954
1	0	1	0	0	2	1	0	0	0	1	0.0	0.09493334549666954
2	0	1	0	2	2	0	0	1	2	1	0.0	0.09493334549666954
2	2	0	0	0	0	2	2	2	0	1	0.0	0.09493334549666954
0	1	1	2	2	1	0	2	0	2	1	0.0	0.09493334549666954
0	1	2	2	0	2	1	1	2	0	1	0.0	0.09493334549666954
2	0	0	2	2	2	2	1	0	2	1	0.0	0.09493334549666954
2	2	1	0	1	0	1	0	1	2	1	0.0	0.09493334549666954
