X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	2	0	1	2	2	2	1	1	2	0	0	0.031675617183484994
1	0	1	0	2	2	1	2	2	2	1	1	0.04518999119382122
1	0	2	1	2	1	2	0	0	1	1	1	0.04518999119382122
0	0	2	2	2	1	2	2	2	1	1	1	0.04518999119382122
0	1	1	0	0	0	0	0	1	1	1	1	0.04810758353953881
1	1	2	1	1	1	1	2	1	2	1	1	0.06244662146822
1	1	2	2	0	1	0	2	0	0	1	1	0.09278047750402618
0	0	0	0	2	1	1	1	1	1	0	0	0.09278047750402618
1	2	2	2	0	0	2	2	1	0	0	0	0.09278047750402618
2	2	1	2	1	0	1	2	1	2	1	1	0.09278047750402618
0	0	1	1	0	2	0	1	2	0	1	1	0.09278047750402618
2	0	2	2	1	0	1	0	1	2	1	1	0.09278047750402618
2	2	2	0	0	2	1	2	2	1	1	1	0.09278047750402618
0	2	0	0	0	0	1	1	0	2	1	1	0.09278047750402618
1	1	2	1	1	0	2	2	0	0	1	1	0.09278047750402618
2	0	0	0	2	1	1	2	2	2	1	1	0.09278047750402618
0	2	0	1	1	0	0	2	0	2	1	1	0.09278047750402618
1	1	2	2	0	0	1	0	2	1	0	0	0.09278047750402618
2	2	1	1	1	0	2	1	1	0	0	0	0.09278047750402618
2	0	2	1	2	1	1	1	1	2	1	1	0.09278047750402618
2	1	2	2	1	0	0	1	1	1	0	0	0.09278047750402618
2	2	0	1	2	2	0	1	0	1	1	1	0.09278047750402618
0	1	0	0	2	0	2	1	1	0	1	1	0.09278047750402618
0	0	2	0	0	1	0	0	2	1	0	0	0.09278047750402618
2	1	2	1	2	2	2	1	1	0	0	0	0.09278047750402618
1	0	2	1	1	0	0	1	1	0	0	0	0.09278047750402618
0	2	1	1	2	1	2	1	1	0	0	0	0.09278047750402618
1	1	1	1	2	0	1	0	2	1	0	0	0.09278047750402618
0	1	0	2	0	2	1	1	1	0	1	1	0.09278047750402618
1	2	1	0	2	1	0	2	2	2	0	0	0.09278047750402618
0	2	1	0	1	2	2	1	1	1	1	1	0.09278047750402618
0	0	0	0	2	0	1	1	1	1	0	0	0.09278047750402618
2	1	1	1	2	2	0	1	0	0	1	1	0.09278047750402618
2	0	0	0	2	0	0	2	2	0	0	0	0.09278047750402618
0	0	0	2	2	1	1	1	0	0	0	0	0.09278047750402618
2	0	0	2	0	1	2	1	0	2	1	1	0.09278047750402618
1	2	1	0	2	1	2	0	2	2	0	0	0.09278047750402618
1	0	0	1	1	1	2	2	1	1	0	0	0.09278047750402618
2	2	0	2	0	1	2	0	0	2	1	1	0.09278047750402618
1	2	0	2	0	1	0	2	1	1	0	0	0.09278047750402618
