X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	2	1	2	2	2	0	2	1	1	1	0.1498702435138911
1	0	2	2	1	2	1	2	1	0	1	1	0.1498702435138911
0	0	1	0	2	1	1	1	2	1	1	1	0.16084692893785346
0	1	0	0	1	0	2	1	2	1	1	1	0.16084692893785346
2	0	0	0	1	1	1	0	2	1	1	1	0.16084692893785346
1	2	1	1	0	2	2	2	0	2	1	1	0.16337730539317608
1	2	2	2	2	2	1	2	1	0	0	0	0.17423338478016281
2	0	1	1	0	1	2	0	2	1	1	1	0.17423338478016281
2	1	1	1	1	2	1	1	0	2	0	0	0.17772895075805473
2	2	2	0	2	1	1	2	1	0	0	0	0.1786445467065888
0	1	0	2	1	1	1	2	2	0	0	0	0.1794864836186505
0	2	0	0	1	2	2	1	2	1	0	0	0.18154469906419257
0	0	0	1	0	1	2	0	2	2	1	1	0.18477366900064252
2	2	0	1	2	1	1	2	0	1	1	1	0.21486741369953077
0	2	0	1	2	1	2	2	1	0	0	0	0.21486741369953077
0	0	1	1	2	2	2	1	1	2	1	1	0.21486741369953077
2	0	2	2	0	0	0	2	1	0	0	0	0.21486741369953077
0	1	1	1	1	1	0	0	0	1	0	0	0.21486741369953077
2	0	1	0	0	2	0	0	1	2	1	1	0.21486741369953077
1	2	0	2	1	2	1	1	0	2	1	1	0.21486741369953077
1	0	2	1	0	0	2	2	2	2	0	0	0.21486741369953077
0	1	1	2	0	1	1	1	1	2	0	0	0.21486741369953077
2	1	2	2	2	1	0	0	2	2	0	0	0.21486741369953077
0	2	0	0	0	1	2	0	2	2	0	0	0.21486741369953077
0	2	0	2	0	1	0	1	0	0	1	1	0.21486741369953077
2	0	1	2	2	0	0	0	2	1	1	1	0.21486741369953077
0	0	0	2	2	1	2	0	0	2	1	0	0.21486741369953077
2	2	2	1	0	0	2	0	1	0	1	1	0.21486741369953077
1	0	0	0	1	2	1	1	2	2	1	1	0.21486741369953077
1	1	0	1	1	2	0	2	0	0	0	0	0.21486741369953077
1	2	1	0	2	0	1	2	0	1	1	1	0.21486741369953077
0	1	0	0	2	2	2	0	1	0	0	0	0.21486741369953077
1	0	2	1	0	0	1	0	2	1	0	0	0.21486741369953077
0	0	0	0	0	2	0	1	0	1	0	0	0.21486741369953077
1	2	0	0	0	2	2	2	2	2	0	0	0.21486741369953077
0	0	0	2	1	2	0	2	0	1	0	0	0.21486741369953077
0	1	0	0	0	2	1	0	1	1	1	1	0.21545037339810258
2	1	1	2	1	0	2	0	2	2	1	1	0.21545037339810258
2	1	2	2	1	2	2	2	2	0	0	0	0.21545037339810258
2	1	1	0	2	1	1	1	2	0	1	1	0.21545037339810258
1	2	1	1	0	2	1	0	1	2	0	0	0.21545037339810258
1	2	1	1	0	1	1	0	2	0	0	0	0.21545037339810258
0	2	0	2	1	0	0	1	0	0	1	1	0.2194378205028471
0	2	1	1	2	2	2	0	0	0	1	1	0.2194378205028471
0	1	2	1	0	1	1	1	1	0	1	1	0.2194378205028471
0	1	0	0	2	0	1	2	2	2	0	0	0.2194378205028471
1	2	0	1	2	1	1	0	2	1	0	0	0.2194378205028471
0	2	1	0	2	2	0	1	1	0	0	0	0.2194378205028471
0	2	1	2	0	2	1	0	0	2	1	1	0.2194378205028471
2	1	2	0	2	0	0	1	2	0	1	1	0.2194378205028471
1	2	2	2	1	0	0	1	2	2	0	0	0.2194378205028471
0	0	1	1	0	2	0	0	2	2	1	1	0.2194378205028471
1	1	0	0	0	0	2	0	1	1	1	1	0.2194378205028471
0	2	2	1	0	2	1	0	1	2	0	0	0.2194378205028471
0	2	1	0	1	2	0	0	1	1	0	0	0.2194378205028471
1	0	0	1	2	2	0	2	1	1	1	1	0.2194378205028471
2	0	2	2	0	1	2	2	2	1	1	1	0.2194378205028471
2	1	0	2	1	0	2	0	2	1	1	1	0.2194378205028471
1	0	0	2	0	2	0	2	0	1	0	0	0.2194378205028471
0	2	0	1	0	0	2	0	2	2	1	1	0.2194378205028471
2	2	1	2	1	1	2	1	2	0	0	0	0.22223872943910505
1	1	2	2	2	0	0	0	1	1	1	1	0.22223872943910505
0	0	0	1	2	1	0	0	1	0	1	1	0.22223872943910505
2	1	0	1	0	1	2	2	1	1	1	1	0.22223872943910505
1	1	2	2	0	1	1	2	2	2	0	0	0.22223872943910505
2	0	2	2	2	2	1	1	1	1	1	1	0.22223872943910505
1	1	0	0	1	0	0	0	0	0	0	0	0.22223872943910505
2	1	1	1	2	2	0	1	2	2	1	1	0.22223872943910505
0	1	0	0	1	1	2	0	1	0	0	0	0.22223872943910505
1	2	2	1	1	1	0	1	1	2	0	0	0.22223872943910505
2	2	0	1	2	2	2	2	2	1	0	0	0.22223872943910505
2	1	1	1	0	1	2	2	2	1	1	1	0.22223872943910505
0	0	1	1	2	2	1	1	1	2	1	1	0.22223872943910505
0	1	2	2	2	2	0	1	0	0	1	1	0.22223872943910505
1	1	0	1	1	0	2	0	2	0	0	0	0.22223872943910505
2	2	2	2	1	2	1	0	2	0	0	0	0.22223872943910505
0	0	0	2	2	2	0	0	0	1	0	0	0.22223872943910505
0	1	1	0	1	0	2	2	2	2	1	1	0.22223872943910505
1	0	2	1	1	1	2	2	1	2	1	1	0.22223872943910505
0	0	2	1	1	2	1	1	2	2	1	1	0.22223872943910505
2	1	0	0	1	1	0	0	0	2	0	0	0.22223872943910505
0	0	1	2	2	1	2	2	0	2	1	0	0.22223872943910505
0	1	1	0	2	2	0	1	0	2	0	0	0.22223872943910505
2	1	1	1	2	2	0	0	2	1	1	1	0.22223872943910505
2	0	2	1	0	1	2	1	1	2	1	1	0.22223872943910505
0	2	0	1	0	2	0	1	2	1	0	0	0.22780714747416997
0	0	2	1	1	2	1	2	1	0	1	1	0.22780714747416997
2	0	2	2	2	0	1	2	1	2	0	0	0.22780714747416997
1	0	1	1	1	2	1	1	1	2	1	1	0.22780714747416997
2	0	1	2	2	0	1	1	0	2	0	0	0.22780714747416997
2	2	0	2	2	2	1	2	2	0	0	0	0.22780714747416997
0	0	2	2	0	0	0	2	2	2	1	1	0.22780714747416997
1	2	2	0	1	2	1	2	0	2	1	1	0.22780714747416997
2	2	0	2	2	0	1	0	2	1	1	1	0.22780714747416997
1	1	2	1	0	0	2	2	0	0	0	0	0.22780714747416997
1	1	2	0	1	2	2	0	2	2	1	1	0.22780714747416997
0	0	1	0	2	0	2	1	2	2	0	0	0.22780714747416997
0	1	2	1	1	2	0	1	0	2	0	0	0.22780714747416997
2	2	0	0	0	2	1	1	1	2	0	0	0.22780714747416997
0	1	1	1	0	0	1	1	2	1	0	0	0.22780714747416997
1	2	2	1	2	0	1	1	1	0	1	1	0.22780714747416997
0	2	1	2	2	1	0	1	2	1	0	0	0.22780714747416997
1	0	1	2	1	0	1	2	2	1	0	0	0.22780714747416997
2	0	2	2	2	1	0	1	2	0	1	1	0.22780714747416997
2	1	2	2	2	0	2	2	1	1	1	1	0.22780714747416997
2	1	0	0	1	2	0	0	2	1	1	1	0.22780714747416997
2	0	2	2	0	2	2	2	0	2	0	0	0.22780714747416997
0	1	1	2	0	0	0	1	1	0	1	1	0.22780714747416997
2	1	0	2	1	2	0	1	2	1	0	0	0.22780714747416997
2	2	0	1	0	2	0	1	0	2	1	1	0.22780714747416997
2	1	0	2	2	0	0	1	2	2	0	0	0.22780714747416997
2	1	0	0	0	0	1	0	0	2	1	1	0.22780714747416997
0	1	2	1	2	0	2	0	2	1	0	0	0.22780714747416997
2	1	0	2	2	2	1	2	0	1	1	1	0.22780714747416997
0	2	2	1	1	0	0	2	2	1	0	0	0.22780714747416997
2	2	0	1	1	2	2	1	1	0	0	0	0.22780714747416997
2	2	0	1	2	1	0	0	2	1	0	0	0.2345119848534668
0	0	2	0	1	1	0	2	0	0	0	0	0.2345119848534668
1	2	2	0	2	0	1	0	2	1	1	1	0.2345119848534668
0	1	1	1	2	1	2	2	0	2	0	0	0.2345119848534668
1	1	1	0	2	2	0	0	1	2	0	0	0.2345119848534668
0	0	2	1	2	2	2	2	1	0	1	1	0.2345119848534668
0	0	1	1	2	1	1	2	2	0	1	1	0.2345119848534668
2	2	2	0	2	2	2	2	2	1	0	0	0.2345119848534668
2	2	0	2	0	2	0	0	1	1	0	0	0.2345119848534668
2	1	1	2	2	2	1	2	1	0	0	0	0.2345119848534668
2	2	0	2	1	1	1	2	0	1	1	1	0.2345119848534668
2	0	2	2	1	1	0	2	0	1	0	0	0.2345119848534668
0	1	0	1	2	0	2	2	0	2	0	0	0.2345119848534668
0	1	2	2	2	0	1	2	2	1	1	1	0.2345119848534668
1	1	0	2	2	0	0	2	0	1	1	1	0.2345119848534668
0	2	0	1	1	2	2	2	1	2	0	0	0.2345119848534668
0	0	2	1	0	0	2	1	2	1	0	0	0.2345119848534668
1	0	0	0	2	1	0	1	0	0	0	0	0.2345119848534668
2	0	1	0	1	1	0	0	0	0	0	0	0.2345119848534668
2	1	0	1	2	0	0	0	2	1	1	1	0.2345119848534668
0	0	1	2	1	0	0	2	2	2	1	1	0.2345119848534668
0	1	2	0	0	0	0	1	2	0	1	1	0.2345119848534668
2	0	0	0	2	1	2	0	1	2	1	1	0.2345119848534668
1	0	1	0	1	2	0	1	2	0	1	1	0.2345119848534668
1	1	1	2	1	2	0	0	0	1	1	1	0.2345119848534668
0	0	0	2	1	2	0	2	0	1	0	0	0.2345119848534668
0	2	0	2	0	1	2	0	1	0	0	0	0.2345119848534668
2	1	0	0	0	2	1	0	2	1	1	1	0.2345119848534668
2	1	0	0	2	2	0	0	0	1	0	0	0.2345119848534668
1	1	1	0	0	1	2	2	1	2	1	1	0.2345119848534668
0	1	0	1	1	1	2	0	0	0	0	0	0.2345119848534668
1	2	1	2	2	1	0	2	1	1	0	0	0.2345119848534668
0	0	1	2	2	2	0	1	1	0	1	1	0.2345119848534668
0	1	2	1	0	1	2	1	1	0	1	1	0.2345119848534668
2	0	1	2	2	1	2	1	2	1	1	1	0.2345119848534668
0	0	0	0	2	1	1	0	0	1	0	0	0.2345119848534668
1	0	1	1	1	2	2	0	2	0	1	1	0.2345119848534668
0	2	2	2	2	2	0	2	2	1	0	0	0.2345119848534668
0	1	0	2	2	1	0	0	0	1	1	1	0.2345119848534668
1	0	2	0	2	1	2	0	2	2	1	1	0.2345119848534668
2	0	2	0	2	1	2	1	0	0	0	0	0.2345119848534668
1	2	2	2	0	1	0	0	0	1	1	1	0.2345119848534668
0	2	0	2	2	2	0	0	2	2	0	0	0.2345119848534668
1	1	1	1	2	0	0	0	1	2	0	0	0.2345119848534668
1	1	0	1	0	0	1	0	0	1	0	0	0.2345119848534668
1	1	1	2	0	1	1	2	2	2	0	0	0.2345119848534668
2	2	1	2	1	1	2	1	2	1	0	0	0.2345119848534668
1	1	0	1	1	0	1	0	2	2	0	0	0.2345119848534668
2	2	2	1	1	0	0	1	0	1	1	1	0.2345119848534668
1	2	0	1	0	2	2	2	1	1	0	0	0.2345119848534668
0	1	0	2	0	0	2	2	0	1	1	1	0.2345119848534668
2	2	1	2	1	0	2	2	0	0	1	1	0.2345119848534668
1	1	2	0	1	2	0	2	1	2	1	1	0.2345119848534668
2	2	0	2	1	1	2	0	2	1	0	0	0.2345119848534668
0	2	0	1	1	2	1	2	2	0	0	0	0.2345119848534668
2	2	0	1	0	1	2	2	2	2	0	0	0.2345119848534668
0	1	1	1	1	2	1	2	2	1	1	1	0.2345119848534668
2	0	0	2	2	0	1	1	2	1	0	0	0.2345119848534668
0	2	0	1	2	2	1	1	0	1	1	1	0.2345119848534668
1	0	2	0	1	0	1	0	2	0	0	0	0.2345119848534668
2	2	2	0	0	0	1	1	0	0	1	1	0.2345119848534668
2	0	2	1	1	2	0	0	1	1	1	1	0.2345119848534668
2	2	1	1	1	1	1	2	1	2	0	0	0.2345119848534668
1	0	2	2	0	2	2	1	2	0	1	1	0.2345119848534668
1	0	0	1	2	1	0	1	1	2	1	1	0.2345119848534668
0	2	0	0	1	1	1	0	1	0	0	0	0.2345119848534668
2	0	2	1	1	0	0	2	0	2	0	0	0.2345119848534668
2	2	2	1	1	0	1	1	1	2	1	1	0.2345119848534668
1	2	0	1	1	2	0	1	1	0	0	0	0.2345119848534668
0	1	1	0	2	0	2	1	0	1	0	0	0.2345119848534668
1	0	0	2	2	0	1	2	0	0	0	0	0.2345119848534668
0	2	2	0	0	0	2	2	1	1	1	1	0.2345119848534668
0	1	0	0	1	0	0	2	1	1	1	1	0.2345119848534668
2	2	0	0	2	0	2	2	1	0	1	1	0.2345119848534668
2	2	2	0	1	2	2	2	0	1	1	1	0.2345119848534668
0	0	0	0	0	0	1	1	1	1	0	0	0.2345119848534668
1	0	0	0	2	2	1	1	1	0	1	1	0.2345119848534668
1	2	2	0	2	1	1	1	0	0	1	1	0.2345119848534668
1	0	2	1	1	1	0	1	1	1	1	1	0.2345119848534668
2	2	1	0	2	1	0	1	1	1	0	0	0.2345119848534668
1	0	0	0	1	2	1	2	2	2	1	1	0.2345119848534668
0	0	0	2	2	1	1	2	0	1	0	0	0.2345119848534668
1	1	1	2	1	2	0	0	2	2	0	0	0.2345119848534668
1	1	0	2	0	0	1	2	0	2	1	1	0.2345119848534668
1	2	0	2	1	1	2	1	0	0	1	1	0.2345119848534668
2	1	1	0	1	1	0	1	0	1	0	0	
1	0	2	1	0	2	0	2	1	0	1	1	
0	1	1	1	2	1	0	1	2	0	1	1	
2	2	1	1	2	0	2	1	2	1	1	1	
2	0	2	1	1	0	0	0	2	0	1	1	
0	1	2	0	2	2	1	2	1	2	0	0	
0	0	1	2	2	1	2	1	1	1	1	1	
1	0	1	0	1	0	0	2	2	1	1	1	
1	1	0	0	2	2	0	2	1	2	0	0	
0	1	2	1	2	1	1	1	2	2	1	1	
0	2	0	1	2	2	1	2	2	2	0	0	
1	1	0	0	0	1	1	0	2	1	0	0	
1	0	0	1	2	1	2	0	0	2	0	0	
0	2	1	0	1	2	0	2	2	0	1	0	
2	1	1	2	2	2	2	1	0	1	1	1	
1	2	2	2	1	0	2	0	1	1	1	1	
1	0	1	2	0	1	1	1	1	0	1	1	
