X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	2	2	2	2	0	0	0	2	0	0	0.07288538590804683
1	2	1	1	2	0	0	0	1	2	0	0	0.09893990302818767
0	0	2	1	0	2	0	1	1	1	1	1	0.09893990302818767
1	0	2	0	1	1	0	2	0	0	0	0	0.09893990302818767
1	1	0	2	0	0	2	1	1	2	0	0	0.1384492835003046
2	0	1	1	1	1	1	2	2	0	0	0	0.16278448629646813
1	0	2	2	0	0	0	2	0	2	0	0	0.16278448629646813
1	2	1	1	1	1	2	1	2	0	1	1	0.16278448629646813
0	0	2	1	2	2	2	2	1	2	0	0	0.16278448629646813
0	1	0	2	0	2	1	0	2	2	1	1	0.18415613429253552
1	0	1	0	1	1	1	0	1	2	0	0	0.18415613429253552
0	1	1	2	0	0	2	0	1	0	0	0	0.21232234937558792
2	2	0	2	0	2	0	0	0	1	0	0	0.21232234937558792
0	0	2	2	2	1	1	0	2	2	1	1	0.2387276514824207
0	2	2	0	1	0	1	0	2	1	1	1	0.2387276514824207
2	1	2	0	0	1	0	0	2	0	0	0	0.2387276514824207
1	1	2	1	0	1	2	2	0	1	1	1	0.2387276514824207
1	0	2	2	2	1	0	2	1	2	0	0	0.2387276514824207
0	0	2	1	0	0	0	1	2	1	0	0	0.2387276514824207
0	0	0	2	1	2	0	2	2	2	0	0	0.2387276514824207
1	1	0	1	1	0	2	2	1	2	1	1	0.2387276514824207
2	1	2	0	2	0	0	0	0	2	0	0	0.2387276514824207
2	2	2	2	1	2	0	0	0	1	0	0	0.2387276514824207
0	1	1	2	0	1	0	0	1	0	1	1	0.2387276514824207
0	0	0	1	0	0	2	2	1	2	1	1	0.2387276514824207
1	0	2	0	2	2	1	2	2	0	1	1	0.2387276514824207
0	0	2	1	0	2	2	0	1	2	1	1	0.2387276514824207
0	0	2	1	0	1	0	0	0	1	0	0	0.2387276514824207
1	0	0	0	2	1	2	2	1	1	1	1	0.2387276514824207
1	2	0	2	0	0	0	2	0	2	0	0	0.2387276514824207
2	1	1	1	0	0	2	2	0	2	0	0	0.2387276514824207
1	1	2	1	0	2	1	2	2	0	0	0	0.2387276514824207
1	0	2	2	2	1	1	2	1	0	0	0	0.2414984963454858
1	2	2	2	1	2	1	0	0	2	0	0	0.2414984963454858
2	2	1	2	1	2	0	2	2	2	0	0	0.2414984963454858
0	1	1	2	0	0	1	1	2	0	0	0	0.2414984963454858
1	1	2	1	0	0	0	0	2	1	0	0	0.2414984963454858
0	2	2	2	0	2	0	2	1	0	0	0	0.2414984963454858
1	2	0	2	1	1	1	0	2	2	1	1	0.2414984963454858
0	2	0	1	0	0	1	2	0	0	0	0	0.245555242478237
0	1	2	0	2	1	2	1	1	1	0	0	0.245555242478237
1	2	1	1	0	1	2	0	2	1	1	1	0.245555242478237
0	2	1	0	1	2	1	0	2	2	0	0	0.245555242478237
2	1	2	1	2	1	1	1	0	1	0	0	0.245555242478237
0	0	2	0	2	1	2	2	1	2	1	1	0.245555242478237
2	1	0	2	0	0	0	1	2	1	0	0	0.245555242478237
2	0	0	2	2	2	2	1	0	2	0	0	0.245555242478237
2	2	2	2	0	0	2	1	0	0	1	1	0.245555242478237
1	1	1	1	2	2	2	1	0	0	0	0	0.245555242478237
2	0	1	2	0	1	2	0	0	1	0	0	0.245555242478237
0	0	2	2	1	0	2	2	2	1	1	1	0.245555242478237
2	1	0	0	1	1	2	0	2	0	0	0	0.2512807147073871
0	1	0	1	1	0	0	2	0	1	0	0	0.2512807147073871
2	2	2	0	1	2	1	2	2	2	1	1	0.2512807147073871
0	1	0	0	0	1	0	0	2	2	0	0	0.2512807147073871
2	2	0	2	1	0	2	1	1	2	0	0	0.2512807147073871
2	0	0	2	1	2	2	1	0	2	0	0	0.2512807147073871
0	2	1	1	0	1	2	1	1	1	1	1	0.26400784194297344
0	0	1	2	0	2	2	1	1	2	1	1	0.26400784194297344
2	0	0	2	0	2	1	1	2	2	1	1	0.26400784194297344
0	1	2	2	0	2	2	2	2	2	0	0	0.26400784194297344
1	0	2	2	1	2	1	0	1	0	1	1	0.26400784194297344
0	0	1	2	0	1	2	0	0	2	0	0	0.26400784194297344
2	1	0	1	1	1	2	1	1	1	1	1	0.26400784194297344
2	1	1	1	2	2	1	1	0	2	0	0	0.26400784194297344
0	0	2	2	2	0	2	2	0	1	0	0	0.2721167858506184
2	0	2	0	1	1	1	1	2	0	0	0	0.2721167858506184
0	2	2	2	2	1	1	0	1	2	1	1	0.2721167858506184
0	2	1	2	2	0	2	0	0	2	1	1	0.27652261819607804
1	0	0	1	0	2	1	1	0	1	0	0	0.27652261819607804
1	2	2	2	0	2	2	0	0	2	0	0	0.27652261819607804
2	2	0	1	0	2	1	2	1	0	0	0	0.27652261819607804
2	1	1	2	1	1	2	1	1	2	1	1	0.2849091091855701
2	2	0	1	1	2	0	1	2	1	1	1	0.2849091091855701
1	2	1	1	1	0	2	2	1	0	1	1	0.2898683123184417
0	2	2	1	1	1	0	2	1	1	0	0	0.2898683123184417
0	0	0	1	1	2	1	0	2	2	1	1	0.29230382692822676
2	2	0	1	1	0	2	1	1	0	0	0	0.29230382692822676
2	2	1	1	2	2	2	0	0	2	0	0	0.29230382692822676
2	2	1	0	1	0	0	2	0	2	1	1	0.30320824854139494
2	2	1	2	1	0	2	0	1	2	0	0	0.30320824854139494
1	0	2	2	0	2	1	1	0	2	0	0	0.30320824854139494
1	2	2	2	2	2	2	1	1	1	1	1	0.30320824854139494
2	0	1	0	2	2	2	0	0	2	1	1	0.30320824854139494
1	1	2	2	2	2	2	0	2	2	1	1	0.30320824854139494
1	1	0	2	1	1	2	0	0	1	0	0	0.30320824854139494
0	0	0	1	1	1	1	1	1	0	1	1	0.30320824854139494
2	0	2	2	1	2	1	2	0	2	1	1	0.30320824854139494
2	2	2	2	1	0	2	0	1	0	0	0	0.30320824854139494
2	2	1	2	1	1	2	0	2	1	1	1	0.30320824854139494
1	2	0	0	0	0	0	2	0	2	1	1	0.30320824854139494
0	1	0	1	2	2	2	0	0	0	0	0	0.30320824854139494
2	1	0	2	2	2	1	1	0	1	0	0	0.30320824854139494
2	2	2	1	0	2	1	1	0	0	0	0	0.30320824854139494
1	2	2	2	2	1	0	2	1	1	0	0	0.30320824854139494
2	1	2	0	0	1	1	0	0	1	1	1	0.30320824854139494
1	0	0	1	0	1	0	0	1	0	1	1	0.30320824854139494
1	1	2	2	2	1	1	0	1	1	1	1	0.30320824854139494
1	0	0	0	1	2	1	1	0	0	1	1	0.30320824854139494
1	1	2	2	2	2	1	0	2	2	1	1	0.30320824854139494
2	0	1	2	1	1	2	2	0	0	1	1	0.30320824854139494
0	0	1	2	1	0	0	0	0	2	1	1	0.30320824854139494
2	1	2	2	2	1	0	2	0	2	1	1	0.30320824854139494
0	1	0	1	1	2	1	1	2	0	1	1	0.3046651894980076
0	0	1	0	2	1	1	2	0	2	0	0	0.3046651894980076
0	1	0	0	2	2	0	1	2	1	0	0	0.30748178061526965
2	0	2	2	1	1	1	2	0	0	1	1	0.30748178061526965
0	0	2	0	2	0	0	1	2	1	1	1	0.30915853783074776
