X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	1	2	0	0	0	1	0	2	0	1	1	0.34674065251773944
1	1	2	1	0	2	1	2	1	2	1	1	0.34674065251773944
0	0	1	0	0	1	1	2	1	2	1	1	0.34674065251773944
0	2	0	1	0	2	1	1	2	0	0	0	0.41112056478873515
2	1	2	0	0	2	2	2	2	2	1	1	0.41112056478873515
2	1	2	1	1	0	1	0	0	1	0	0	0.41112056478873515
2	2	1	0	0	0	0	2	0	1	1	1	0.43105464138795957
0	1	1	1	2	2	0	0	0	0	1	1	0.43105464138795957
2	0	0	1	0	1	2	1	2	1	1	1	0.43105464138795957
1	2	2	1	2	2	0	1	1	1	0	0	0.44066011275323336
1	2	2	2	0	2	0	0	0	0	0	0	0.44161000285585283
0	2	1	2	0	1	1	2	0	2	0	0	0.44161000285585283
0	0	1	2	0	1	1	0	1	1	0	0	0.44161000285585283
2	2	1	2	1	1	1	2	1	1	0	0	0.4426693676678941
0	0	0	1	2	0	1	0	0	1	1	1	0.4675025258278145
2	0	0	1	2	1	2	1	0	2	0	0	0.4675025258278145
2	1	2	2	0	0	2	0	2	1	0	0	0.4675025258278145
0	0	1	0	0	0	2	1	2	0	0	0	0.4675025258278145
0	0	1	2	2	2	0	1	1	1	0	0	0.4675025258278145
1	2	2	0	2	1	2	0	1	1	0	0	0.4675025258278145
1	1	1	2	0	1	2	1	0	1	0	0	0.4675025258278145
2	1	2	0	1	1	1	1	2	1	0	0	0.4675025258278145
0	2	1	2	1	1	2	0	2	1	1	1	0.4675025258278145
2	2	2	2	2	1	1	0	2	2	0	0	0.4675025258278145
0	0	1	2	2	1	2	0	1	2	1	1	0.4675025258278145
1	0	0	0	2	1	1	1	1	2	1	1	0.4675025258278145
1	0	1	0	2	1	0	1	1	0	1	1	0.4675025258278145
2	2	1	2	1	2	1	1	0	0	0	0	0.4675025258278145
0	2	2	0	1	2	1	2	0	1	1	1	0.4725691171144779
2	0	2	1	0	0	1	0	0	1	1	1	0.4725691171144779
0	1	0	1	2	0	2	0	2	2	1	1	0.4725691171144779
0	1	2	0	2	0	2	1	0	2	1	1	0.4725691171144779
2	0	0	0	1	1	1	2	1	0	1	1	0.4725691171144779
1	0	0	1	0	2	1	1	2	1	1	1	0.4725691171144779
1	2	2	2	2	0	1	2	0	0	0	0	0.4725691171144779
2	1	2	0	0	2	0	2	1	1	0	0	0.4725691171144779
0	2	0	1	2	2	0	1	1	2	1	1	0.4725691171144779
