X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
0	0	1	0	2	2	1	1	0	2	1	1.0	0.3927206237064189
1	2	2	1	1	0	2	0	0	2	1	1.413303006131239	0.3927206237064189
0	1	1	0	0	1	2	2	1	2	1	1.0	0.3927206237064189
2	0	1	1	2	2	0	0	2	0	0	0.7066515030656195	0.43531032779604384
1	0	1	2	1	0	0	2	0	1	0	0.41330300613123905	0.4754950053506916
0	1	1	0	0	1	0	0	1	0	0	0.0	0.4987455927603301
0	1	0	1	1	2	2	1	1	0	1	1.0	0.4987455927603301
2	0	0	2	1	0	2	0	1	1	1	1.7066515030656195	0.4987455927603301
2	1	2	0	0	0	0	2	1	2	0	0.7066515030656193	0.4987455927603301
0	1	0	2	2	0	0	1	1	2	1	1.0	0.4987455927603301
0	1	2	0	0	1	0	2	1	0	0	0.0	0.5032245189853055
1	1	0	0	1	0	1	1	0	2	1	1.413303006131239	0.5032245189853055
2	1	0	0	1	1	0	0	1	1	1	1.7066515030656195	0.5133952905217225
0	2	0	0	0	0	0	0	1	0	1	1.0	0.5133952905217225
2	1	1	1	1	0	1	2	2	1	1	1.7066515030656195	0.5133952905217225
0	1	0	0	0	0	1	1	2	2	1	1.0	0.5133952905217225
1	2	0	2	2	0	2	0	0	2	1	1.413303006131239	0.5137677016060938
1	1	1	2	0	1	0	0	2	2	1	1.413303006131239	0.5137677016060938
0	1	2	0	0	1	0	2	2	0	0	0.0	0.5146162679433388
0	0	2	2	0	0	0	0	0	0	1	1.0	0.5146162679433388
2	1	1	2	2	1	1	2	0	1	1	1.7066515030656195	0.5146162679433388
0	0	2	2	1	0	2	1	2	2	1	1.0	0.517850990969922
2	1	0	0	0	1	0	0	1	0	1	1.7066515030656195	0.5186361056826616
2	0	0	0	0	0	2	1	0	2	0	0.7066515030656193	0.5186361056826616
1	2	1	2	1	1	0	0	0	1	0	0.41330300613123905	0.5186361056826616
2	2	2	0	0	1	1	2	0	0	1	1.7066515030656195	0.5186361056826616
2	1	1	2	1	0	2	1	0	0	0	0.7066515030656195	0.5186361056826616
1	1	1	1	2	2	2	2	2	1	0	0.41330300613123905	0.5267788325286631
1	1	0	0	0	1	0	1	0	2	1	1.413303006131239	0.5267788325286631
1	2	0	1	2	2	1	0	1	1	0	0.41330300613123905	0.5267788325286631
0	2	2	0	1	1	2	2	1	1	0	0.0	0.5267788325286631
0	2	1	2	1	0	1	2	2	1	0	0.0	0.5267788325286631
2	1	2	0	1	2	0	1	0	1	1	1.7066515030656195	0.5267788325286631
0	1	0	1	1	2	0	2	1	2	1	1.0	0.5267788325286631
2	2	0	1	1	2	2	2	1	1	1	1.7066515030656195	0.5267788325286631
1	0	1	1	0	1	0	1	1	1	0	0.41330300613123905	0.5267788325286631
1	1	1	0	2	2	0	1	1	2	1	1.413303006131239	0.5267788325286631
1	0	0	1	1	1	2	1	0	2	1	1.413303006131239	0.5267788325286631
1	2	0	2	1	1	1	0	1	2	1	1.413303006131239	0.5267788325286631
1	2	0	2	0	0	1	1	2	1	0	0.41330300613123905	0.5267788325286631
2	0	1	0	0	1	2	1	2	0	1	1.7066515030656195	0.5267788325286631
1	0	2	1	2	2	2	1	0	2	1	1.413303006131239	0.5267788325286631
2	0	0	1	2	0	1	2	1	2	0	0.7066515030656193	0.5267788325286631
0	1	1	2	2	2	0	2	1	1	0	0.0	0.5274804706512746
0	0	2	1	2	2	2	0	1	2	1	1.0	0.5274804706512746
2	1	1	1	2	2	2	2	0	1	1	1.7066515030656195	0.5274804706512746
1	2	1	0	1	0	2	1	2	0	1	1.413303006131239	0.5282166035117926
1	2	1	1	1	1	0	2	1	1	0	0.41330300613123905	0.5282166035117926
2	1	2	1	0	2	1	1	0	1	1	1.7066515030656195	0.5282166035117926
1	2	2	1	1	0	1	2	1	2	1	1.413303006131239	0.5282166035117926
1	0	2	1	1	1	1	2	1	1	0	0.41330300613123905	0.5282166035117926
2	1	0	2	0	2	1	1	0	2	0	0.7066515030656193	0.5282166035117926
1	1	0	0	2	0	0	2	1	2	1	1.413303006131239	0.5302012449143112
2	1	0	1	1	2	1	2	2	1	1	1.7066515030656195	0.5302012449143112
2	0	2	0	2	0	1	0	2	2	0	0.7066515030656193	0.5302012449143112
1	2	1	0	2	0	2	0	0	2	1	1.413303006131239	0.5302012449143112
0	1	0	1	0	2	2	1	2	1	0	0.0	0.5302012449143112
1	2	0	2	2	0	2	2	0	1	0	0.41330300613123905	0.5302012449143112
0	1	1	1	1	0	2	2	2	1	0	0.0	0.5302012449143112
0	0	1	0	2	1	2	2	2	0	0	0.0	0.5302012449143112
0	0	0	1	2	2	0	0	1	0	1	1.0	0.5302012449143112
2	1	1	1	1	2	0	0	0	1	1	1.7066515030656195	0.5302012449143112
1	2	1	1	1	0	1	0	0	1	0	0.41330300613123905	0.5302012449143112
2	1	2	2	2	1	0	0	1	1	1	1.7066515030656195	0.5302012449143112
2	2	0	1	2	0	2	2	2	2	0	0.7066515030656193	0.5302012449143112
2	2	2	2	1	2	1	1	1	2	0	0.7066515030656193	0.5302012449143112
1	0	2	1	1	0	2	1	1	1	0	0.41330300613123905	0.5302012449143112
1	2	2	0	0	0	0	2	2	2	1	1.413303006131239	0.5302012449143112
0	0	1	2	0	0	2	1	1	1	0	0.0	0.5302012449143112
2	0	2	1	1	1	1	0	0	2	0	0.7066515030656193	0.5311046348133652
1	0	1	1	0	1	1	0	0	0	0	0.41330300613123905	0.5311046348133652
0	0	1	0	1	0	1	0	0	1	0	0.0	0.5311046348133652
0	1	2	1	1	1	0	0	2	1	0	0.0	0.5311046348133652
0	2	0	0	1	2	1	1	2	2	1	1.0	0.5311046348133652
1	1	2	1	2	2	2	0	1	2	1	1.413303006131239	0.5311046348133652
2	1	2	1	1	0	0	1	2	0	0	0.7066515030656195	0.5311046348133652
2	2	1	2	2	1	0	2	0	2	0	0.7066515030656193	0.5311046348133652
2	0	2	1	0	1	0	2	0	0	1	1.7066515030656195	0.5311046348133652
0	2	2	2	0	1	1	1	2	1	0	0.0	0.5311046348133652
1	0	1	2	0	2	2	2	2	1	0	0.41330300613123905	0.5311046348133652
1	0	2	2	2	0	0	2	2	0	1	1.413303006131239	0.5311046348133652
0	2	0	1	1	0	1	2	1	1	0	0.0	0.5364972132157675
1	1	1	0	0	2	2	0	2	2	1	1.413303006131239	0.5364972132157675
1	2	2	2	2	0	1	2	1	2	1	1.413303006131239	0.5364972132157675
2	1	0	1	2	2	1	2	1	0	0	0.7066515030656195	0.5364972132157675
1	2	2	0	0	1	0	1	1	2	1	1.413303006131239	0.5364972132157675
2	2	0	2	2	1	2	1	0	1	1	1.7066515030656195	0.5364972132157675
1	2	2	0	2	2	2	0	0	1	0	0.41330300613123905	0.5364972132157675
1	1	0	0	2	1	1	1	1	2	1	1.413303006131239	0.5364972132157675
1	0	1	0	2	0	0	0	1	2	1	1.413303006131239	0.5364972132157675
0	1	0	2	2	1	2	0	2	2	1	1.0	0.5364972132157675
2	1	2	2	0	2	2	0	0	0	0	0.7066515030656195	0.5364972132157675
1	1	1	2	0	1	1	2	0	1	0	0.41330300613123905	0.5364972132157675
1	0	0	0	0	1	1	2	2	2	1	1.413303006131239	0.5364972132157675
1	0	1	1	0	0	0	1	0	2	1	1.413303006131239	0.5364972132157675
2	0	1	1	2	0	1	1	2	2	0	0.7066515030656193	0.5364972132157675
0	2	2	2	0	0	2	2	2	2	1	1.0	0.5364972132157675
2	1	0	1	2	0	0	1	0	2	0	0.7066515030656193	0.5364972132157675
2	2	0	0	2	1	0	0	1	1	1	1.7066515030656195	0.5364972132157675
2	0	1	0	1	0	2	1	2	2	0	0.7066515030656193	0.5364972132157675
1	1	1	2	2	0	2	0	2	0	1	1.413303006131239	0.5364972132157675
1	1	1	2	1	2	0	1	1	1	0	0.41330300613123905	0.5364972132157675
1	1	2	1	2	2	0	2	1	0	1	1.413303006131239	0.5364972132157675
1	2	1	2	1	1	1	2	0	0	0	0.41330300613123905	0.5364972132157675
1	0	0	1	2	2	2	0	2	2	1	1.413303006131239	0.5364972132157675
1	2	2	0	1	2	2	1	1	1	0	0.41330300613123905	0.5364972132157675
2	0	1	0	0	2	1	0	1	0	0	0.7066515030656195	0.5364972132157675
2	0	2	1	0	1	2	2	2	1	1	1.7066515030656195	0.5364972132157675
1	0	2	2	0	2	0	0	0	1	0	0.41330300613123905	0.5364972132157675
1	2	2	1	0	0	2	2	1	1	0	0.41330300613123905	0.5364972132157675
2	1	0	2	1	0	0	1	2	0	0	0.7066515030656195	0.5364972132157675
0	0	2	0	2	1	1	1	1	1	0	0.0	0.5364972132157675
1	0	0	1	2	0	1	0	0	1	0	0.41330300613123905	0.5364972132157675
0	0	1	0	2	0	1	0	0	0	1	1.0	0.5364972132157675
2	2	1	0	2	2	0	0	1	0	0	0.7066515030656195	0.5364972132157675
0	0	2	1	1	0	0	2	1	2	1	1.0	0.5364972132157675
0	1	1	1	1	1	0	0	0	2	1	1.0	0.5364972132157675
1	1	2	0	0	0	2	0	0	2	1	1.413303006131239	0.5364972132157675
1	2	0	0	2	2	1	2	2	2	1	1.413303006131239	0.5364972132157675
1	1	2	0	1	1	0	0	2	1	0	0.41330300613123905	0.5364972132157675
2	2	0	1	2	2	2	0	2	0	0	0.7066515030656195	0.5364972132157675
2	2	1	0	0	1	1	1	2	2	0	0.7066515030656193	0.5364972132157675
2	0	0	2	2	0	0	0	2	2	0	0.7066515030656193	0.5364972132157675
2	1	2	1	1	1	0	0	1	2	0	0.7066515030656193	0.5364972132157675
1	0	1	0	0	1	1	2	2	0	0	0.41330300613123905	0.5364972132157675
1	2	0	2	0	0	1	2	0	0	1	1.413303006131239	0.5364972132157675
0	1	0	0	2	1	2	2	2	1	0	0.0	0.5364972132157675
0	2	0	2	0	1	1	2	1	0	0	0.0	0.5364972132157675
1	2	0	0	1	1	0	1	0	1	0	0.41330300613123905	0.5364972132157675
2	2	2	2	1	1	2	1	2	0	1	1.7066515030656195	0.5364972132157675
0	0	1	2	2	2	2	2	0	2	1	1.0	0.5364972132157675
0	1	0	0	2	2	2	1	0	2	1	1.0	0.5364972132157675
0	2	1	0	1	1	2	0	2	2	1	1.0	0.5364972132157675
1	0	2	1	2	2	2	1	0	1	0	0.41330300613123905	0.5364972132157675
2	2	1	2	1	1	0	1	1	0	1	1.7066515030656195	0.5364972132157675
1	2	0	2	2	2	0	1	2	1	0	0.41330300613123905	0.5364972132157675
2	2	2	2	1	0	2	0	0	2	0	0.7066515030656193	0.5364972132157675
1	2	1	2	1	2	2	1	2	2	1	1.413303006131239	0.5364972132157675
0	0	1	2	2	1	0	1	1	2	1	1.0	0.5364972132157675
2	0	0	0	0	0	2	1	2	0	0	0.7066515030656195	0.5364972132157675
0	1	0	2	0	0	0	0	2	2	1	1.0	0.5364972132157675
2	1	0	2	0	1	1	1	0	2	0	0.7066515030656193	0.5364972132157675
1	1	1	1	1	2	2	1	1	1	0	0.41330300613123905	0.5364972132157675
1	2	1	1	0	0	1	1	0	2	1	1.413303006131239	0.5364972132157675
0	1	1	0	1	2	2	0	2	1	0	0.0	0.5364972132157675
0	2	0	2	0	0	0	1	2	1	0	0.0	0.5364972132157675
0	0	1	0	0	2	2	1	1	0	1	1.0	0.5364972132157675
0	1	2	1	1	1	1	1	1	1	0	0.0	0.5364972132157675
2	1	1	2	0	2	1	1	1	1	1	1.7066515030656195	0.5364972132157675
0	1	1	2	1	1	1	1	2	1	0	0.0	0.5364972132157675
1	1	2	1	1	2	1	0	2	2	1	1.413303006131239	0.5364972132157675
0	1	0	2	1	1	2	2	1	0	0	0.0	0.5364972132157675
2	1	0	2	1	0	1	1	0	0	0	0.7066515030656195	0.5364972132157675
0	1	0	1	1	0	0	2	2	1	0	0.0	0.5364972132157675
0	0	1	1	2	1	1	1	0	1	0	0.0	0.5364972132157675
1	2	1	1	1	2	0	2	0	0	1	1.413303006131239	0.5364972132157675
0	0	2	2	0	1	2	1	1	1	0	0.0	0.5364972132157675
0	0	2	1	0	2	1	2	1	1	0	0.0	0.5364972132157675
1	2	0	1	0	1	0	1	1	1	0	0.41330300613123905	0.5364972132157675
2	0	2	1	0	1	1	0	2	0	1	1.7066515030656195	0.5364972132157675
2	1	2	0	0	1	2	0	2	0	1	1.7066515030656195	0.5364972132157675
2	2	0	1	1	1	2	0	2	1	1	1.7066515030656195	0.5364972132157675
0	0	1	0	0	1	0	0	1	1	0	0.0	0.5364972132157675
1	1	2	0	1	2	2	2	2	0	1	1.413303006131239	0.5364972132157675
2	2	2	1	2	0	1	2	1	1	1	1.7066515030656195	0.5364972132157675
2	0	2	1	0	0	1	1	1	1	1	1.7066515030656195	0.5364972132157675
2	1	2	1	0	2	1	2	1	2	0	0.7066515030656193	0.5364972132157675
1	1	0	2	1	2	2	0	2	1	0	0.41330300613123905	0.5364972132157675
0	0	1	2	0	0	0	2	0	1	0	0.0	0.5364972132157675
1	1	1	2	0	0	1	0	2	2	1	1.413303006131239	0.5364972132157675
1	1	2	1	1	0	0	1	0	2	1	1.413303006131239	0.5364972132157675
2	1	1	1	2	1	1	1	0	2	0	0.7066515030656193	0.5364972132157675
1	0	2	2	1	2	1	2	0	1	0	0.41330300613123905	0.5364972132157675
0	2	0	2	2	2	2	0	2	2	1	1.0	0.5364972132157675
2	1	1	0	1	2	2	1	0	1	1	1.7066515030656195	0.5364972132157675
2	1	1	2	2	1	1	1	0	2	0	0.7066515030656193	0.5364972132157675
1	2	2	2	0	0	2	1	0	0	1	1.413303006131239	0.5364972132157675
1	0	2	2	2	2	1	1	2	2	1	1.413303006131239	0.5364972132157675
0	0	2	2	1	2	1	1	1	2	1	1.0	0.5364972132157675
1	1	0	0	2	2	2	0	1	1	0	0.41330300613123905	0.5364972132157675
0	1	1	1	1	0	2	1	2	0	1	1.0	0.5364972132157675
0	2	2	0	1	1	1	2	1	0	0	0.0	0.5364972132157675
1	0	0	1	0	2	0	0	1	0	1	1.413303006131239	0.5364972132157675
0	2	1	0	1	1	2	2	0	0	0	0.0	0.5364972132157675
2	0	0	2	2	0	2	2	1	0	0	0.7066515030656195	0.5364972132157675
0	2	2	0	1	1	2	0	1	2	1	1.0	0.5364972132157675
1	0	2	2	1	2	0	2	1	2	1	1.413303006131239	0.5364972132157675
2	0	0	0	1	1	2	0	0	1	1	1.7066515030656195	0.5364972132157675
1	0	0	1	0	2	1	1	2	0	1	1.413303006131239	0.5364972132157675
2	1	2	0	2	2	2	0	1	2	0	0.7066515030656193	0.5364972132157675
1	0	0	1	1	1	0	0	2	2	1	1.413303006131239	0.5364972132157675
2	2	1	2	1	0	2	0	1	2	0	0.7066515030656193	0.5364972132157675
0	0	0	0	1	0	2	2	1	0	1	1.0	0.5364972132157675
0	1	1	0	0	2	2	1	2	0	1	1.0	0.5364972132157675
1	1	2	0	1	2	2	1	1	2	1	1.413303006131239	0.5364972132157675
1	1	1	1	1	1	2	0	0	0	0	0.41330300613123905	0.5364972132157675
1	2	2	1	2	0	2	0	2	1	0	0.41330300613123905	0.5364972132157675
0	1	1	0	2	2	2	0	1	1	0	0.0	0.5364972132157675
1	1	1	0	1	0	0	2	0	1	0	0.41330300613123905	0.5364972132157675
0	0	2	1	2	2	1	0	1	1	0	0.0	0.5364972132157675
0	0	2	0	0	2	2	0	2	2	1	1.0	0.5364972132157675
1	0	1	2	2	1	1	0	2	1	0	0.41330300613123905	
2	1	2	1	1	2	2	1	2	0	0	0.7066515030656195	
1	1	2	1	0	0	0	0	2	0	1	1.413303006131239	
1	2	2	1	1	0	1	0	2	0	1	1.413303006131239	
0	1	1	0	1	2	1	1	2	1	0	0.0	
1	1	1	1	0	0	0	0	1	0	1	1.413303006131239	
0	1	1	0	2	1	2	2	1	1	0	0.0	
2	1	2	0	2	2	0	1	0	0	0	0.7066515030656195	
0	0	0	1	1	0	0	0	1	1	0	0.0	
2	2	2	2	2	2	1	1	1	1	1	1.7066515030656195	
2	0	2	2	1	1	2	0	1	2	0	0.7066515030656193	
1	1	0	2	0	2	1	1	2	1	0	0.41330300613123905	
0	0	1	2	0	0	2	1	2	1	0	0.0	
0	0	1	0	0	0	1	1	1	1	0	0.0	
1	2	0	2	1	0	2	0	0	2	1	1.413303006131239	
0	1	2	2	0	0	1	0	2	0	1	1.0	
0	1	1	0	1	2	0	0	1	0	1	1.0	
2	0	2	1	0	2	1	1	2	2	0	0.7066515030656193	
0	0	1	2	2	0	2	1	2	2	1	1.0	
0	0	2	2	0	1	2	2	0	1	0	0.0	
