X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	1	0	0	1	0	1	1	0	1	0	0.0	0.3564431853387653
1	2	0	1	0	2	0	2	0	0	0	0.0	0.38047520816798697
0	2	0	2	2	1	0	0	2	1	1	1.0	0.38047520816798697
2	1	1	1	1	2	1	0	2	2	1	1.0	0.38047520816798697
2	1	0	1	1	0	2	1	1	2	1	1.0	0.38047520816798697
2	0	0	2	0	1	2	0	2	0	0	0.0	0.42307882751900516
1	2	0	1	0	2	0	0	0	1	1	1.0	0.42307882751900516
0	0	0	2	0	2	2	0	1	0	0	0.0	0.42307882751900516
1	2	2	1	2	2	0	0	0	0	0	0.0	0.42307882751900516
2	2	1	1	0	0	2	1	1	1	0	0.0	0.42307882751900516
2	1	0	1	1	1	0	2	1	0	0	0.0	0.46708003852219176
0	2	0	2	1	2	1	1	2	0	1	1.0	0.46708003852219176
2	1	0	1	1	0	1	2	0	2	0	0.0	0.46708003852219176
2	1	1	0	0	0	1	1	0	0	1	1.0	0.46708003852219176
0	2	2	2	0	2	2	2	2	2	0	0.0	0.46708003852219176
1	2	0	1	1	1	1	2	1	1	1	1.0	0.46708003852219176
1	0	0	1	1	0	1	2	0	1	1	1.0	0.46708003852219176
0	0	1	2	1	1	2	1	1	2	1	1.0	0.4715772936820455
1	1	1	0	2	0	1	2	0	1	0	0.0	0.4715772936820455
0	0	0	2	2	2	0	0	2	2	0	0.0	0.4715772936820455
1	2	1	2	1	2	2	1	0	1	0	0.0	0.4715772936820455
1	0	0	2	2	2	0	2	0	2	0	0.0	0.4715772936820455
2	2	1	0	1	2	2	0	0	1	0	0.0	0.48453316110462713
1	2	1	0	2	0	1	2	0	0	1	1.0	0.48453316110462713
0	2	1	1	0	2	2	1	0	0	1	1.0	0.48453316110462713
0	2	2	0	1	0	0	2	1	1	1	1.0	0.48453316110462713
1	2	2	1	1	0	0	2	1	0	0	0.0	0.48453316110462713
0	1	1	1	2	0	1	0	2	1	0	0.0	0.48453316110462713
0	0	2	2	0	2	1	1	0	0	1	1.0	0.48453316110462713
1	2	2	1	1	1	2	0	0	2	0	0.0	0.48453316110462713
2	1	0	2	0	1	0	1	2	0	1	1.0	0.4877381583240148
0	0	2	1	0	1	0	0	0	1	1	1.0	0.4877381583240148
2	2	2	1	2	2	1	2	0	1	1	1.0	0.4877381583240148
0	1	2	1	2	0	2	2	2	0	0	0.0	0.4877381583240148
2	0	1	0	0	1	1	2	1	2	1	1.0	0.5171718404625183
1	0	0	1	2	2	0	1	1	0	1	1.0	0.5171718404625183
1	2	1	0	2	1	0	1	2	1	0	0.0	0.5171718404625183
0	0	1	0	1	2	0	1	0	1	0	0.0	0.5171718404625183
0	2	2	1	2	0	0	1	1	2	1	1.0	0.5171718404625183
1	1	2	0	0	2	2	1	2	1	0	0.0	0.5171718404625183
0	1	1	2	1	2	0	0	2	1	0	0.0	0.5171718404625183
1	2	2	2	1	1	0	1	0	1	0	0.0	0.5171718404625183
2	0	2	0	1	2	2	2	0	0	0	0.0	0.5171718404625183
0	0	2	2	0	1	2	2	1	1	1	1.0	0.5171718404625183
2	0	2	2	2	1	2	0	0	2	0	0.0	0.5171718404625183
1	2	2	1	1	0	2	2	1	1	1	1.0	0.5171718404625183
2	1	2	2	2	0	2	0	2	1	1	1.0	0.5171718404625183
2	1	0	2	1	2	2	0	1	2	0	0.0	0.5171718404625183
0	2	0	2	1	1	1	0	2	1	1	1.0	0.5171718404625183
0	2	0	2	0	0	0	2	1	0	0	0.0	0.5171718404625183
0	0	2	0	2	0	2	2	1	2	0	0.0	0.5171718404625183
0	0	1	1	1	1	0	2	1	1	0	0.0	0.5171718404625183
2	1	2	1	1	1	1	2	2	0	0	0.0	0.5171718404625183
2	0	1	2	0	2	0	2	2	0	1	1.0	0.5171718404625183
2	2	0	2	0	2	0	2	1	1	1	1.0	0.5171718404625183
0	2	1	1	1	0	2	1	0	0	1	1.0	0.5171718404625183
2	2	2	1	1	1	1	0	2	1	1	1.0	0.5171718404625183
2	0	2	0	2	2	0	0	2	1	1	1.0	0.5171718404625183
1	0	0	0	1	1	0	0	0	1	1	1.0	0.5171718404625183
2	1	2	2	2	1	0	0	2	0	0	0.0	0.5171718404625183
1	1	0	0	1	2	1	0	2	1	1	1.0	0.5171718404625183
1	1	2	1	0	2	0	1	0	2	1	1.0	0.5171718404625183
0	0	0	0	0	2	1	2	0	0	0	0.0	0.5171718404625183
2	0	1	2	2	2	1	1	2	1	0	0.0	0.5171718404625183
2	1	2	0	1	2	2	1	2	0	1	1.0	0.5171718404625183
0	0	0	2	1	0	1	2	2	2	0	0.0	0.5171718404625183
2	1	0	1	2	0	2	1	2	0	1	1.0	0.5171718404625183
0	2	0	0	2	2	2	2	1	1	1	1.0	0.5171718404625183
1	1	1	1	1	1	2	2	0	2	1	1.0	0.5171718404625183
2	2	0	1	2	2	2	2	1	2	0	0.0	0.5171718404625183
2	0	2	0	2	0	2	0	1	1	1	1.0	0.5171718404625183
1	0	0	0	2	2	2	0	0	1	1	1.0	0.5171718404625183
2	2	1	2	1	2	0	0	2	1	0	0.0	0.5171718404625183
2	2	0	0	2	0	0	0	0	1	1	1.0	0.5171718404625183
2	0	0	1	1	1	0	1	2	1	0	0.0	0.5171718404625183
2	0	1	2	0	1	1	1	0	0	1	1.0	0.5171718404625183
2	0	1	2	1	2	1	2	1	0	1	1.0	0.5171718404625183
1	1	1	1	1	2	2	2	2	0	1	1.0	0.5171718404625183
0	0	2	2	2	0	2	2	2	2	0	0.0	0.5171718404625183
2	1	2	0	0	1	0	0	1	0	0	0.0	0.5171718404625183
0	2	1	1	1	0	1	0	2	2	1	1.0	0.5171718404625183
1	0	2	0	1	0	0	1	2	2	1	1.0	0.5171718404625183
0	1	2	1	1	0	0	0	2	0	0	0.0	0.5171718404625183
1	0	2	0	0	1	1	0	1	0	0	0.0	0.5171718404625183
0	2	0	1	1	1	1	0	1	0	0	0.0	0.5171718404625183
0	2	1	1	1	1	2	0	2	1	0	0.0	0.5171718404625183
1	1	1	2	2	1	1	0	1	2	1	1.0	0.5171718404625183
0	2	0	2	0	2	1	0	1	0	0	0.0	0.5171718404625183
0	2	0	2	1	1	0	1	0	2	1	1.0	0.5171718404625183
1	1	0	2	2	2	1	0	1	1	1	1.0	0.5171718404625183
1	1	0	0	2	0	2	2	0	0	0	0.0	0.5171718404625183
0	1	0	1	1	0	1	2	1	2	0	0.0	0.5171718404625183
0	0	2	0	1	1	0	2	2	1	1	1.0	0.5171718404625183
2	1	1	2	1	1	2	2	0	2	1	1.0	0.5171718404625183
2	0	1	1	0	2	2	2	2	1	0	0.0	0.5171718404625183
0	1	2	0	1	1	2	1	2	0	1	1.0	0.5171718404625183
0	2	0	2	0	0	1	2	1	2	0	0.0	0.5171718404625183
1	2	1	2	2	2	2	0	2	0	1	1.0	0.5171718404625183
1	1	2	2	1	1	0	0	0	2	0	0.0	0.5171718404625183
1	1	1	0	0	1	1	2	1	2	1	1.0	0.5171718404625183
2	0	2	2	0	0	2	2	2	0	0	0.0	0.5171718404625183
1	1	1	2	0	2	0	1	2	1	0	0.0	0.5171718404625183
0	1	1	0	0	0	0	1	2	2	1	1.0	0.5171718404625183
0	0	1	2	0	0	0	2	2	0	1	1.0	0.5171718404625183
1	2	0	2	1	0	1	1	0	1	0	0.0	0.5171718404625183
0	2	2	2	2	1	2	0	0	0	0	0.0	0.5171718404625183
2	0	0	0	1	2	2	0	1	1	1	1.0	0.5171718404625183
0	1	0	2	1	2	0	0	0	0	0	0.0	0.5171718404625183
1	0	0	2	0	0	2	0	2	1	1	1.0	0.5171718404625183
2	1	0	0	2	1	0	0	2	1	1	1.0	0.5171718404625183
0	0	2	2	1	0	1	0	0	0	0	0.0	0.5171718404625183
1	0	1	0	2	1	1	0	0	1	0	0.0	0.5171718404625183
1	0	2	0	0	0	1	0	1	1	1	1.0	0.5171718404625183
2	2	0	2	2	2	2	0	2	0	0	0.0	0.5171718404625183
2	0	2	0	1	1	1	0	2	1	1	1.0	0.5171718404625183
0	0	1	2	1	0	1	1	2	0	1	1.0	0.5171718404625183
0	2	0	0	1	1	2	0	0	1	1	1.0	0.5171718404625183
2	2	2	2	0	2	1	2	2	2	0	0.0	0.5171718404625183
2	0	2	2	0	2	2	1	1	1	0	0.0	0.5171718404625183
0	1	0	0	2	1	1	0	1	0	0	0.0	0.5171718404625183
