X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	1	1	2	2	0	2	2	1	1	1	0.12749260090892944
1	0	2	2	2	0	1	0	2	2	0	0	0.12749260090892944
0	1	1	1	1	0	0	2	1	0	0	0	0.12749260090892944
1	1	1	2	1	1	2	0	1	0	0	0	0.15528583724481893
2	2	1	2	0	1	0	0	0	1	0	0	0.15528583724481893
1	1	0	2	2	0	1	1	1	0	0	0	0.15528583724481893
0	1	0	1	1	2	0	1	2	1	1	1	0.1615898287734977
1	0	1	2	0	0	1	1	1	2	0	0	0.1615898287734977
1	1	0	0	2	1	1	1	1	0	0	0	0.1615898287734977
1	2	0	0	2	2	0	1	2	2	1	1	0.17563606070566418
1	0	1	1	1	1	0	2	1	2	0	0	0.17563606070566418
0	1	0	0	1	2	0	0	2	0	0	0	0.17563606070566418
2	0	0	2	0	1	0	0	0	0	0	0	0.17563606070566418
1	1	0	1	2	0	0	2	1	1	1	1	0.17563606070566418
0	0	2	0	2	2	2	2	1	0	0	0	0.17563606070566418
0	0	1	0	2	1	1	0	1	2	0	0	0.17563606070566418
2	0	2	2	0	0	0	0	2	2	0	0	0.17563606070566418
1	1	0	1	1	2	2	1	1	2	1	1	0.17563606070566418
2	2	2	1	2	2	2	1	0	2	1	1	0.17563606070566418
0	0	2	1	1	0	1	2	2	0	0	0	0.17563606070566418
2	0	2	2	1	1	0	2	1	0	1	1	0.17563606070566418
0	0	2	0	1	2	2	0	1	2	1	1	0.17563606070566418
1	2	0	0	1	2	2	0	2	1	1	1	0.17563606070566418
0	2	2	2	0	2	2	2	2	1	0	0	0.18979604878706324
2	0	0	2	2	0	2	2	2	1	0	0	0.18979604878706324
2	1	2	1	1	1	2	1	2	0	0	0	0.18979604878706324
0	1	2	0	2	0	1	2	0	1	1	1	0.18979604878706324
0	0	2	0	1	2	0	2	2	2	0	0	0.18979604878706324
2	2	0	1	1	2	2	1	0	2	0	0	0.18979604878706324
