X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	1	2	2	0	2	2	1	2	1	1	1.0	0.017717282384582922
2	1	0	1	2	1	0	2	0	1	0	0.0	0.017717282384582922
2	1	0	0	0	0	1	2	0	2	1	1.0	0.024405863123631133
0	0	1	0	1	0	0	0	2	1	0	0.0	0.024405863123631133
1	2	2	2	1	0	0	2	1	0	0	0.0	0.024405863123631133
2	2	2	2	1	2	0	1	0	2	0	0.0	0.024405863123631133
0	2	1	2	0	2	2	0	2	1	1	1.0	0.02456743887607571
2	1	1	2	0	0	1	0	2	1	1	1.0	0.031664332248552474
1	0	1	1	0	0	1	2	1	1	1	1.0	0.031664332248552474
1	2	0	2	2	1	2	2	1	2	0	0.0	0.03203559541673828
0	2	2	1	1	2	2	0	1	1	0	0.0	0.03443923093999235
0	1	0	1	2	2	0	1	1	1	0	0.0	0.03443923093999235
0	1	1	0	2	1	2	0	1	0	0	0.0	0.03443923093999235
2	0	0	2	0	2	1	0	0	0	1	1.0	0.03443923093999235
0	0	0	1	0	0	0	2	2	1	1	1.0	0.03443923093999235
1	0	2	2	1	2	2	0	2	0	0	0.0	0.03443923093999235
0	1	2	1	1	0	1	1	2	0	0	0.0	0.03443923093999235
1	1	0	2	1	1	2	1	2	2	0	0.0	0.03443923093999235
2	1	1	2	2	2	1	1	2	2	0	0.0	0.03443923093999235
0	0	2	1	2	2	1	1	2	2	0	0.0	0.03443923093999235
1	2	0	0	0	0	1	0	0	0	1	1.0	0.03443923093999235
1	2	1	1	1	0	1	0	2	2	0	0.0	0.03443923093999235
0	0	2	1	1	1	1	1	2	2	0	0.0	0.03443923093999235
1	2	0	1	0	1	1	2	1	2	1	1.0	0.03443923093999235
0	2	1	1	0	1	0	2	0	1	1	1.0	0.03443923093999235
1	2	0	0	0	1	0	1	0	1	1	1.0	0.03443923093999235
2	2	2	0	1	0	0	2	0	2	0	0.0	0.03443923093999235
1	0	2	2	0	2	1	0	1	0	1	1.0	0.03443923093999235
1	2	2	2	2	2	2	1	0	0	0	0.0	0.035605651028572605
1	1	2	2	1	1	2	0	1	2	0	0.0	0.035605651028572605
1	2	2	1	1	1	1	1	1	1	0	0.0	0.035605651028572605
1	1	1	1	2	2	1	1	1	0	0	0.0	0.035605651028572605
2	0	2	0	2	0	0	2	2	2	0	0.0	0.035605651028572605
1	2	1	0	0	2	2	1	2	1	1	1.0	0.035605651028572605
2	1	0	1	1	1	2	2	2	0	0	0.0	0.035605651028572605
2	1	1	2	2	0	1	0	0	2	0	0.0	0.035605651028572605
2	1	2	1	1	0	2	2	1	0	0	0.0	0.035605651028572605
2	2	2	2	2	0	2	1	0	2	0	0.0	0.038791665025851074
1	0	2	2	1	2	0	2	0	1	0	0.0	0.038791665025851074
1	0	0	1	0	2	1	1	0	0	1	1.0	0.038791665025851074
0	0	1	2	1	1	2	0	0	1	0	0.0	0.038791665025851074
0	1	1	0	0	0	0	0	2	0	1	1.0	0.038791665025851074
2	1	1	0	2	0	0	1	1	0	0	0.0	0.038791665025851074
2	1	1	1	2	2	2	1	1	1	0	0.0	0.038791665025851074
2	2	2	1	1	1	0	0	2	2	0	0.0	0.038791665025851074
1	2	2	1	1	2	0	1	0	2	0	0.0	0.038791665025851074
2	1	0	2	0	2	2	0	2	0	1	1.0	0.038791665025851074
0	1	2	1	0	2	2	0	0	2	1	1.0	0.038791665025851074
0	1	2	0	1	1	0	0	1	2	0	0.0	0.038791665025851074
0	2	0	0	0	0	1	2	2	2	1	1.0	0.038791665025851074
0	1	2	0	0	0	2	1	2	2	1	1.0	0.038791665025851074
