X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
2	0	1	1	2	2	0	2	2	1	1	1	0.10653920851036158
1	0	2	2	2	0	1	0	2	2	0	0	0.10698590890192783
0	1	1	1	1	0	0	2	1	0	1	1	0.12407356865673769
1	1	1	2	1	1	2	0	1	0	1	1	0.17398267908853282
2	2	1	2	0	1	0	0	0	1	1	1	0.17398267908853282
1	1	0	2	2	0	1	1	1	0	0	0	0.17398267908853282
0	1	0	1	1	2	0	1	2	1	1	1	0.17398267908853282
1	0	1	2	0	0	1	1	1	2	1	1	0.17398267908853282
1	1	0	0	2	1	1	1	1	0	0	0	0.17398267908853282
1	2	0	0	2	2	0	1	2	2	0	0	0.1906744127846839
1	0	1	1	1	1	0	2	1	2	1	1	0.1906744127846839
0	1	0	0	1	2	0	0	2	0	0	0	0.1906744127846839
2	0	0	2	0	1	0	0	0	0	0	0	0.1906744127846839
1	1	0	1	2	0	0	2	1	1	1	1	0.1906744127846839
0	0	2	0	2	2	2	2	1	0	0	0	0.1906744127846839
0	0	1	0	2	1	1	0	1	2	1	1	0.20332899998460763
2	0	2	2	0	0	0	0	2	2	0	0	0.20332899998460763
1	1	0	1	1	2	2	1	1	2	0	0	0.22277875117398926
2	2	2	1	2	2	2	1	0	2	0	0	0.22277875117398926
0	0	2	1	1	0	1	2	2	0	0	0	0.22277875117398926
2	0	2	2	1	1	0	2	1	0	0	0	0.22277875117398926
0	0	2	0	1	2	2	0	1	2	0	0	0.22277875117398926
1	2	0	0	1	2	2	0	2	1	1	1	0.22277875117398926
0	2	2	2	0	2	2	2	2	1	1	1	0.22277875117398926
2	0	0	2	2	0	2	2	2	1	1	1	0.22277875117398926
2	1	2	1	1	1	2	1	2	0	0	0	0.22277875117398926
0	1	2	0	2	0	1	2	0	1	1	1	0.22277875117398926
0	0	2	0	1	2	0	2	2	2	0	0	0.22277875117398926
2	2	0	1	1	2	2	1	0	2	0	0	0.22277875117398926
2	0	0	2	2	1	2	1	0	0	0	0	0.22277875117398926
0	2	1	1	2	1	1	2	1	0	1	1	0.22631877250151167
0	2	2	0	0	0	2	0	0	0	0	0	0.23047992137489537
1	2	0	2	1	2	0	2	2	2	0	0	0.23047992137489537
1	1	1	0	0	2	0	2	1	2	1	1	0.23047992137489537
0	1	0	0	0	2	1	2	2	2	0	0	0.23047992137489537
2	2	2	0	2	1	2	2	2	2	0	0	0.23047992137489537
2	1	1	0	2	1	0	1	0	1	1	1	0.23047992137489537
0	0	0	2	1	1	1	1	2	2	0	0	0.23047992137489537
0	2	2	2	2	2	0	2	0	1	1	1	0.2306895111016085
1	0	2	2	1	0	1	0	1	1	1	1	0.2306895111016085
1	1	1	0	0	0	1	2	0	0	1	1	0.2306895111016085
1	0	2	0	0	0	0	1	0	0	0	0	0.2306895111016085
1	1	0	2	1	2	2	1	1	0	0	0	0.2306895111016085
0	2	1	2	0	2	1	0	0	1	1	1	0.2310089522272295
1	1	1	2	0	0	0	1	1	2	1	1	0.23402255854470333
2	1	2	0	1	1	2	1	2	0	0	0	0.23402255854470333
1	0	0	2	0	2	2	2	0	0	0	0	0.23402255854470333
1	2	2	0	2	1	0	0	1	0	0	0	0.23402255854470333
2	1	1	0	0	2	1	1	0	0	1	1	0.23402255854470333
2	0	2	1	0	1	1	0	0	0	0	0	0.23642383443876525
2	0	2	1	2	0	0	2	1	2	0	0	0.23642383443876525
0	1	1	2	2	0	0	2	0	2	1	1	0.23642383443876525
1	1	2	2	2	1	1	1	0	0	0	0	0.23642383443876525
1	1	1	1	2	1	1	1	2	2	1	1	0.23642383443876525
0	2	0	0	0	2	2	2	0	2	0	0	0.23642383443876525
2	2	0	0	1	1	0	1	0	2	0	0	0.23642383443876525
2	1	1	0	2	0	2	2	1	0	1	1	0.23642383443876525
2	1	0	1	2	0	0	2	2	1	1	1	0.23642383443876525
1	1	0	0	0	1	0	0	1	1	1	1	0.23754757394396542
1	1	1	1	2	1	1	2	1	2	1	1	0.23754757394396542
2	1	2	2	2	1	1	2	0	1	1	1	0.23754757394396542
1	0	2	0	2	1	1	2	2	0	0	0	0.23754757394396542
0	1	1	1	1	2	2	2	0	1	1	1	0.23754757394396542
2	1	2	1	0	1	0	1	2	2	0	0	0.23754757394396542
2	2	0	0	2	2	1	0	1	0	0	0	0.23754757394396542
2	1	1	1	2	0	0	2	2	1	1	1	0.23754757394396542
2	0	1	0	1	2	2	2	2	2	1	1	0.23754757394396542
2	1	1	2	0	2	1	0	0	0	1	1	0.23754757394396542
0	1	0	2	1	2	1	1	1	0	0	0	0.23754757394396542
0	1	0	1	0	1	2	2	2	0	0	0	0.23754757394396542
1	1	2	1	0	0	1	2	0	1	1	1	0.23754757394396542
1	2	2	1	0	0	1	0	0	1	1	1	0.23754757394396542
1	1	2	0	2	0	2	2	2	0	0	0	0.23754757394396542
2	2	0	0	2	1	1	1	1	2	0	0	0.23754757394396542
0	0	1	2	1	0	0	2	2	1	1	1	0.23754757394396542
0	1	0	1	2	2	2	2	1	0	0	0	0.23754757394396542
2	1	0	1	0	2	0	1	0	2	0	0	0.23754757394396542
2	0	1	1	0	1	2	0	0	1	1	1	0.23754757394396542
0	0	1	2	1	1	2	0	2	0	1	1	0.23754757394396542
1	2	2	2	0	0	2	2	1	0	0	0	0.23829940778938608
2	1	2	2	0	2	0	2	2	1	1	1	0.23829940778938608
2	1	0	1	2	0	2	0	2	2	0	0	0.23829940778938608
0	1	1	0	2	2	0	2	0	0	1	1	0.23829940778938608
1	2	0	0	0	0	0	1	2	2	0	0	0.23829940778938608
2	0	2	1	2	1	2	2	0	2	0	0	0.23829940778938608
2	1	0	2	0	2	0	0	0	0	0	0	0.23829940778938608
0	2	1	2	2	2	0	0	0	2	1	1	0.23829940778938608
2	1	0	2	1	2	0	0	1	2	0	0	0.23829940778938608
1	0	1	0	0	1	2	0	1	1	1	1	0.23829940778938608
1	0	0	0	0	1	2	2	2	0	0	0	0.23829940778938608
0	0	0	0	0	0	0	1	2	2	0	0	0.24042478231181685
1	1	0	2	0	2	0	1	2	0	0	0	0.24042478231181685
