X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	0	0	2	2	2	1	2	1	0	0	0	0.3638898476115603
0	2	0	0	0	0	2	0	2	1	0	0	0.3638898476115603
1	0	1	2	0	2	1	1	2	1	0	0	0.3638898476115603
2	1	1	1	2	2	1	0	2	2	1	1	0.370203564259583
2	2	2	1	1	1	2	1	0	2	1	1	0.370203564259583
2	2	2	2	2	1	2	1	2	2	1	1	0.370203564259583
0	2	2	2	0	2	0	0	1	1	0	0	0.43037808839338004
1	2	1	1	2	2	2	2	2	1	1	1	0.43037808839338004
1	1	2	1	1	2	0	2	2	0	1	1	0.45896837716414934
1	1	1	0	0	2	0	1	0	0	0	0	0.45896837716414934
2	1	0	0	2	0	1	1	0	0	0	0	0.45896837716414934
2	0	0	0	1	0	2	0	2	0	1	1	0.45896837716414934
2	0	2	1	1	2	2	1	0	1	1	1	0.45896837716414934
2	2	2	1	1	2	0	1	1	0	1	1	0.45896837716414934
1	2	1	1	1	0	1	2	0	0	1	1	0.45896837716414934
0	1	0	2	0	2	0	1	0	1	0	0	0.45896837716414934
1	2	1	0	2	0	2	1	2	2	0	0	0.46314787148303405
0	0	0	1	0	2	1	2	0	0	1	1	0.4655078608326274
1	1	2	2	1	2	1	0	1	1	0	0	0.4881904622178969
0	0	1	2	2	1	1	2	1	2	1	1	0.4881904622178969
1	1	0	1	2	0	2	1	2	1	1	1	0.4881904622178969
1	0	1	1	0	1	2	0	2	0	1	1	0.5001471260662161
0	0	0	1	2	2	0	1	1	1	1	1	0.5001471260662161
2	2	0	1	0	1	1	0	1	0	1	1	0.5001471260662161
0	2	2	2	2	0	1	1	0	1	0	0	0.5001471260662161
2	0	1	1	1	2	1	1	0	1	1	1	0.5001471260662161
2	0	1	0	1	1	2	2	2	0	1	1	0.5040323695924978
1	2	0	1	0	0	0	0	1	1	1	1	0.5040323695924978
1	1	2	2	0	2	1	1	1	2	1	1	0.5040323695924978
1	0	0	0	1	1	1	0	0	2	0	0	0.5040323695924978
2	2	1	2	1	1	2	0	0	1	0	0	0.5040323695924978
0	2	1	1	0	2	2	2	1	0	1	1	0.5040323695924978
1	2	1	0	0	2	2	0	1	2	0	0	0.5040323695924978
1	1	0	1	2	2	1	0	2	2	1	1	0.519963572662878
1	1	1	2	2	2	2	0	2	1	0	0	0.519963572662878
2	0	1	0	0	2	2	2	2	2	0	0	0.519963572662878
0	2	2	1	2	1	0	0	2	0	1	1	0.519963572662878
0	1	0	0	2	2	2	1	2	0	1	1	0.519963572662878
0	1	2	2	1	2	1	0	1	2	1	1	0.519963572662878
2	0	2	2	1	2	2	1	2	1	0	0	0.519963572662878
0	2	1	0	2	0	1	1	2	0	1	1	0.519963572662878
0	0	0	1	1	1	1	1	0	2	1	1	0.519963572662878
0	0	1	1	0	0	0	0	1	1	1	1	0.519963572662878
1	1	1	1	1	0	2	1	1	2	1	1	0.519963572662878
1	1	2	0	0	2	0	1	2	0	1	1	0.519963572662878
0	0	2	2	0	1	1	1	0	0	0	0	0.519963572662878
0	2	1	1	0	0	0	2	0	1	1	1	0.519963572662878
1	2	1	1	2	1	1	0	2	0	1	1	0.519963572662878
1	2	2	2	1	0	0	1	1	0	0	0	0.519963572662878
0	2	0	2	2	1	2	0	0	2	1	1	0.519963572662878
1	1	1	0	2	0	1	1	0	2	0	0	0.519963572662878
1	2	1	0	0	1	1	1	0	1	0	0	0.519963572662878
0	1	1	0	2	0	1	2	2	1	0	0	0.519963572662878
2	1	1	2	0	1	1	0	1	0	0	0	0.5255223608404002
1	1	1	0	1	1	1	1	2	0	1	1	0.5255223608404002
0	1	0	2	1	1	2	1	2	1	0	0	0.5255223608404002
1	1	1	2	0	0	1	2	2	1	0	0	0.5255223608404002
2	2	0	1	1	0	1	2	1	1	1	1	0.5255223608404002
2	2	1	2	1	2	1	2	2	2	1	1	0.5329316288895829
2	2	1	2	2	0	2	1	0	2	1	1	0.5329316288895829
2	1	1	1	0	2	1	2	1	2	1	1	0.5329316288895829
0	1	1	1	2	0	0	0	0	0	1	1	0.5329316288895829
2	1	2	1	2	2	1	0	0	0	1	1	0.5329316288895829
1	2	2	0	2	2	2	2	2	2	0	0	0.5329316288895829
2	0	2	0	0	2	1	0	0	2	0	0	0.5329316288895829
1	0	1	1	0	2	2	1	0	1	1	1	0.5329316288895829
1	0	0	1	0	2	2	0	0	0	1	1	0.5329316288895829
1	2	0	0	2	0	2	1	0	2	0	0	0.5329316288895829
2	1	2	2	1	0	1	1	2	2	1	1	0.5329316288895829
0	2	2	1	2	0	0	2	1	2	1	1	0.5329316288895829
0	1	1	2	0	0	2	1	1	0	0	0	0.5329316288895829
1	1	2	0	2	2	1	0	0	1	0	0	0.5329316288895829
1	2	1	2	2	2	0	0	1	2	1	1	0.5363417548671373
1	1	2	0	0	1	0	1	2	2	0	0	0.5390942748280572
0	1	1	1	2	1	1	0	1	1	1	1	0.5390942748280572
0	0	0	1	1	1	1	1	2	2	1	1	0.5390942748280572
2	0	1	0	0	1	2	0	0	1	0	0	0.5390942748280572
1	2	0	1	0	0	1	1	1	2	1	1	0.5423470660507913
0	0	1	1	0	1	0	2	2	0	1	1	0.5423470660507913
1	1	1	1	0	2	2	0	1	0	1	1	0.5423470660507913
1	0	0	2	0	2	2	1	1	2	1	1	0.5423470660507913
1	0	1	2	0	0	0	1	2	0	0	0	0.5423470660507913
1	1	2	1	1	2	1	2	0	0	1	1	0.5423470660507913
0	2	1	0	2	1	1	2	2	2	0	0	0.5423470660507913
1	2	1	1	2	1	2	0	2	2	0	1	0.5423470660507913
1	0	0	1	1	2	1	1	2	2	0	1	0.5423470660507913
1	0	0	0	1	0	0	0	0	2	0	0	0.5423470660507913
0	2	2	0	0	2	0	1	0	2	0	0	0.5423470660507913
1	0	0	0	2	2	0	0	0	1	0	0	0.5423470660507913
1	0	1	0	1	0	2	2	0	2	0	0	0.5423470660507913
0	1	2	2	0	1	2	0	1	1	0	0	0.5423470660507913
2	0	0	0	0	0	1	0	2	0	0	1	0.5423470660507913
0	2	0	0	0	0	1	1	2	1	0	0	0.5423470660507913
2	2	2	2	1	0	1	1	1	2	0	1	0.5423470660507913
2	0	2	1	0	1	2	1	2	2	0	1	0.5423470660507913
0	0	1	0	0	0	2	1	1	1	0	0	0.5423470660507913
1	1	1	2	0	1	0	0	0	1	0	0	0.5423470660507913
1	2	1	2	0	2	2	2	2	2	0	1	0.5423470660507913
0	0	0	2	0	1	2	2	0	0	0	0	0.5423470660507913
2	2	2	0	1	2	0	1	0	0	0	0	0.5423470660507913
1	0	2	0	2	0	2	0	0	1	0	0	0.5423470660507913
2	1	1	2	0	0	2	0	2	0	0	0	0.5423470660507913
2	0	1	1	0	2	1	1	0	0	1	1	0.5423470660507913
1	0	0	2	1	2	1	2	0	1	0	0	0.5423470660507913
2	2	2	2	0	1	1	2	0	2	1	1	0.5423470660507913
0	1	2	1	1	2	0	1	1	0	1	1	0.5423470660507913
0	1	2	0	0	1	0	1	0	2	0	0	0.5423470660507913
0	2	1	1	1	0	0	0	2	1	1	1	0.5423470660507913
2	0	1	1	0	0	2	0	1	2	1	1	0.5423470660507913
1	1	1	1	0	2	0	0	0	1	1	1	0.5423470660507913
2	0	1	2	2	0	1	0	0	0	0	0	0.5423470660507913
1	0	0	2	2	0	1	0	0	0	0	0	0.5423470660507913
1	2	1	0	2	2	1	0	2	2	0	0	0.5423470660507913
0	2	0	1	2	0	2	0	2	0	1	1	0.5423470660507913
0	1	2	1	1	2	1	1	0	0	1	1	0.5423470660507913
1	1	0	1	1	1	2	2	0	1	1	1	0.5423470660507913
2	0	2	1	2	2	1	0	0	0	1	1	0.5423470660507913
1	0	0	1	0	0	0	2	1	0	1	1	0.5423470660507913
0	2	0	1	2	0	1	2	2	0	1	1	0.5423470660507913
0	2	2	1	1	1	0	0	1	0	1	1	0.5423470660507913
0	0	0	2	2	2	2	2	1	0	0	0	0.5423470660507913
2	1	0	2	0	1	0	2	2	1	0	0	0.5423470660507913
2	1	1	2	0	0	1	0	1	1	0	0	0.5423470660507913
0	2	0	0	2	2	0	1	2	1	0	0	0.5423470660507913
0	0	2	1	2	1	0	2	0	0	0	1	0.5423470660507913
2	0	2	0	1	1	2	1	0	2	0	0	0.5423470660507913
0	2	2	2	2	0	1	2	0	0	0	0	0.5423470660507913
1	2	0	1	1	2	0	1	2	0	1	1	0.5423470660507913
2	1	0	2	2	0	1	2	2	0	0	0	0.5423470660507913
1	0	2	1	1	1	2	2	2	1	1	1	0.5423470660507913
2	1	1	1	1	2	0	2	1	1	1	1	0.5423470660507913
0	0	2	0	1	2	2	2	0	1	0	0	0.5423470660507913
0	0	2	2	2	0	1	2	2	1	0	0	0.5423470660507913
0	2	1	2	0	2	1	2	2	2	1	1	0.5423470660507913
0	1	1	2	2	1	2	0	2	1	0	0	0.5423470660507913
2	0	2	1	0	1	2	0	1	0	1	1	0.5423470660507913
1	2	0	1	2	2	1	1	0	0	1	1	0.5423470660507913
0	2	0	0	0	0	2	1	1	1	0	0	0.5423470660507913
0	2	2	0	0	0	1	0	1	2	0	0	0.5423470660507913
1	2	0	0	2	1	2	2	0	1	0	0	0.5423470660507913
0	0	1	1	2	2	1	0	2	0	1	1	0.5423470660507913
2	2	2	0	0	2	2	0	0	2	0	0	0.5423470660507913
0	0	1	1	0	0	1	1	1	1	1	1	0.5423470660507913
2	0	2	0	2	1	1	0	1	2	0	0	0.5423470660507913
1	2	1	0	0	2	1	2	0	2	0	0	0.5423470660507913
2	1	2	2	1	1	1	1	1	1	0	0	0.5423470660507913
