dataset,ghasemi_dnn_r2,ma_dnn_median_r2,ma_dnn_tuned_r2,ma_dnn_best_r2,ghasemi_cd_r,ghasemi_pcd_r,ghasemi_fpcd_r,ghasemi_dnn_r
3A4,0.312,0.515,0.521,0.55,0.625,0.61,0.619,0.559
CB1,0.566,0.331,0.345,0.377,0.857,0.69,0.811,0.752
DPP4,0.755,0.224,0.194,0.259,0.901,0.844,0.896,0.869
HIVINT,0.247,0.316,0.403,0.393,0.657,0.613,0.663,0.497
HIVPROT,0.637,0.524,0.543,0.581,0.853,0.84,0.864,0.798
LOGD,0.493,0.808,0.822,0.836,0.774,0.726,0.763,0.702
METAB,0.355,0.661,0.687,0.69,0.675,0.634,0.738,0.596
NK1,0.57,0.414,0.448,0.449,0.86,0.736,0.787,0.755
OX1,0.613,0.584,0.657,0.628,0.85,0.794,0.827,0.783
OX2,0.646,0.621,0.707,0.695,0.868,0.81,0.837,0.804
PGP,0.354,0.592,0.616,0.622,0.712,0.689,0.709,0.595
PPB,0.406,0.561,0.598,0.615,0.761,0.67,0.713,0.637
RAT_F,0.378,0.138,0.168,0.187,0.797,0.646,0.676,0.615
TDI,0.297,0.339,0.35,0.377,0.652,0.59,0.654,0.545
THROMBIN,0.643,0.351,0.375,0.38,0.867,0.82,0.871,0.802
