dataset random_forest dnn_tuned dnn_median dnn_worst dnn_best
3A4 0.469 0.521 0.515 0.476 0.550
CB1 0.283 0.345 0.331 0.294 0.377
DPP4 0.232 0.194 0.224 0.186 0.259
HIVINT 0.353 0.403 0.316 0.263 0.393
HIVPROT 0.530 0.543 0.524 0.467 0.581
LOGD 0.685 0.822 0.808 0.769 0.836
METAB 0.631 0.687 0.661 0.603 0.690
NK1 0.403 0.448 0.414 0.373 0.449
OX1 0.501 0.657 0.584 0.484 0.628
OX2 0.580 0.707 0.621 0.540 0.695
PGP 0.550 0.616 0.592 0.521 0.622
PPB 0.420 0.598 0.561 0.508 0.615
RAT_F 0.098 0.168 0.138 0.065 0.187
TDI 0.381 0.350 0.339 0.319 0.377
THROMBIN 0.222 0.375 0.351 0.315 0.380
mean 0.423 0.496 0.465 0.412 0.509
